,Level,Name,TRU,TOT_P,TOT_M,TOT_F
0,India,India,Total,1210854977,623270258,587584719
3,STATE,JK,Total,12541302,6640662,5900640
6,DISTRICT,JK_Kupwara,Total,870354,474190,396164
9,DISTRICT,JK_Budgam,Total,753745,398041,355704
12,DISTRICT,LA_Leh,Total,133487,78971,54516
19,STATE,LA,Total,274289,156756,117533
15,DISTRICT,LA_Kargil,Total,140802,77785,63017
18,DISTRICT,JK_Punch,Total,476835,251899,224936
21,DISTRICT,JK_Rajouri,Total,642415,345351,297064
24,DISTRICT,JK_Kathua,Total,616435,326109,290326
27,DISTRICT,JK_Baramulla,Total,1008039,534733,473306
30,DISTRICT,JK_Bandipora,Total,392232,207680,184552
33,DISTRICT,JK_Srinagar,Total,1236829,651124,585705
36,DISTRICT,JK_Ganderbal,Total,297446,158720,138726
39,DISTRICT,JK_Pulwama,Total,560440,293064,267376
42,DISTRICT,JK_Shopiyan,Total,266215,136480,129735
45,DISTRICT,JK_Anantnag,Total,1078692,559767,518925
48,DISTRICT,JK_Kulgam,Total,424483,217620,206863
51,DISTRICT,JK_Doda,Total,409936,213641,196295
54,DISTRICT,JK_Ramban,Total,283713,149132,134581
57,DISTRICT,JK_Kishtwar,Total,230696,120165,110531
60,DISTRICT,JK_Udhampur,Total,554985,296784,258201
63,DISTRICT,JK_Reasi,Total,314667,166461,148206
66,DISTRICT,JK_Jammu,Total,1529958,813821,716137
69,DISTRICT,JK_Samba,Total,318898,169124,149774
72,STATE,HP,Total,6864602,3481873,3382729
75,DISTRICT,HP_Chamba,Total,519080,261320,257760
78,DISTRICT,HP_Kangra,Total,1510075,750591,759484
81,DISTRICT,HP_Lahaul and Spiti,Total,31564,16588,14976
84,DISTRICT,HP_Kullu,Total,437903,225452,212451
87,DISTRICT,HP_Mandi,Total,999777,498065,501712
90,DISTRICT,HP_Hamirpur,Total,454768,217070,237698
93,DISTRICT,HP_Una,Total,521173,263692,257481
96,DISTRICT,HP_Bilaspur,Total,381956,192764,189192
99,DISTRICT,HP_Solan,Total,580320,308754,271566
102,DISTRICT,HP_Sirmaur,Total,529855,276289,253566
105,DISTRICT,HP_Shimla,Total,814010,425039,388971
108,DISTRICT,HP_Kinnaur,Total,84121,46249,37872
111,STATE,PB,Total,27743338,14639465,13103873
114,DISTRICT,PB_Gurdaspur,Total,2298323,1212617,1085706
117,DISTRICT,PB_Kapurthala,Total,815168,426311,388857
120,DISTRICT,PB_Jalandhar,Total,2193590,1145211,1048379
123,DISTRICT,PB_Hoshiarpur,Total,1586625,809057,777568
126,DISTRICT,PB_Shahid Bhagat Singh Nagar,Total,612310,313291,299019
129,DISTRICT,PB_Fatehgarh Sahib,Total,600163,320795,279368
132,DISTRICT,PB_Ludhiana,Total,3498739,1867816,1630923
135,DISTRICT,PB_Moga,Total,995746,525920,469826
138,DISTRICT,PB_Ferozepur,Total,2029074,1071637,957437
141,DISTRICT,PB_Sri Muktsar Sahib,Total,901896,475622,426274
144,DISTRICT,PB_Faridkot,Total,617508,326671,290837
147,DISTRICT,PB_Bathinda,Total,1388525,743197,645328
150,DISTRICT,PB_Mansa,Total,769751,408732,361019
153,DISTRICT,PB_Patiala,Total,1895686,1002522,893164
156,DISTRICT,PB_Amritsar,Total,2490656,1318408,1172248
159,DISTRICT,PB_Tarn Taran,Total,1119627,589369,530258
162,DISTRICT,PB_Rupnagar,Total,684627,357485,327142
165,DISTRICT,PB_S.A.S. Nagar,Total,994628,529253,465375
168,DISTRICT,PB_Sangrur,Total,1655169,878029,777140
171,DISTRICT,PB_Barnala,Total,595527,317522,278005
174,STATE,CH,Total,1055450,580663,474787
177,DISTRICT,CH_Chandigarh,Total,1055450,580663,474787
180,STATE,UT,Total,10086292,5137773,4948519
183,DISTRICT,UT_Uttarkashi,Total,330086,168597,161489
186,DISTRICT,UT_Chamoli,Total,391605,193991,197614
189,DISTRICT,UT_Rudraprayag,Total,242285,114589,127696
192,DISTRICT,UT_Tehri Garhwal,Total,618931,297986,320945
195,DISTRICT,UT_Dehradun,Total,1696694,892199,804495
198,DISTRICT,UT_Pauri Garhwal,Total,687271,326829,360442
201,DISTRICT,UT_Pithoragarh,Total,483439,239306,244133
204,DISTRICT,UT_Bageshwar,Total,259898,124326,135572
207,DISTRICT,UT_Almora,Total,622506,291081,331425
210,DISTRICT,UT_Champawat,Total,259648,131125,128523
213,DISTRICT,UT_Nainital,Total,954605,493666,460939
216,DISTRICT,UT_Udham Singh Nagar,Total,1648902,858783,790119
219,DISTRICT,UT_Haridwar,Total,1890422,1005295,885127
222,STATE,HR,Total,25351462,13494734,11856728
225,DISTRICT,HR_Panchkula,Total,561293,299679,261614
228,DISTRICT,HR_Ambala,Total,1128350,598703,529647
231,DISTRICT,HR_Yamunanagar,Total,1214205,646718,567487
234,DISTRICT,HR_Kurukshetra,Total,964655,510976,453679
237,DISTRICT,HR_Kaithal,Total,1074304,571003,503301
240,DISTRICT,HR_Karnal,Total,1505324,797712,707612
243,DISTRICT,HR_Panipat,Total,1205437,646857,558580
246,DISTRICT,HR_Sonipat,Total,1450001,781299,668702
249,DISTRICT,HR_Jind,Total,1334152,713006,621146
252,DISTRICT,HR_Fatehabad,Total,942011,495360,446651
255,DISTRICT,HR_Sirsa,Total,1295189,682582,612607
258,DISTRICT,HR_Hisar,Total,1743931,931562,812369
261,DISTRICT,HR_Bhiwani,Total,1634445,866672,767773
264,DISTRICT,HR_Rohtak,Total,1061204,568479,492725
267,DISTRICT,HR_Jhajjar,Total,958405,514667,443738
270,DISTRICT,HR_Mahendragarh,Total,922088,486665,435423
273,DISTRICT,HR_Rewari,Total,900332,474335,425997
276,DISTRICT,HR_Gurugram,Total,1514432,816690,697742
