,districtid,monthid,cases
0,AP_Anantapur,1,0
1,AP_Anantapur,2,122
2,AP_Anantapur,3,458
3,AP_Anantapur,4,3924
4,AP_Anantapur,5,27126
5,AP_Anantapur,6,21207
6,AP_Anantapur,7,10274
7,AP_Anantapur,8,3363
8,AP_Anantapur,9,722
9,AP_Anantapur,10,418
10,AP_Anantapur,11,126
11,AP_Anantapur,12,439
12,AP_Anantapur,13,9802
13,AP_Anantapur,14,57334
14,AP_Anantapur,15,18477
15,AP_Anantapur,16,2433
16,AP_Anantapur,17,901
17,AP_Chittoor,1,0
18,AP_Chittoor,2,173
19,AP_Chittoor,3,215
20,AP_Chittoor,4,3819
21,AP_Chittoor,5,21530
22,AP_Chittoor,6,29116
23,AP_Chittoor,7,20078
24,AP_Chittoor,8,8163
25,AP_Chittoor,9,2563
26,AP_Chittoor,10,1287
27,AP_Chittoor,11,442
28,AP_Chittoor,12,1576
29,AP_Chittoor,13,23852
30,AP_Chittoor,14,72866
31,AP_Chittoor,15,33668
32,AP_Chittoor,16,11366
33,AP_Chittoor,17,7453
34,AP_East Godavari,1,0
35,AP_East Godavari,2,52
36,AP_East Godavari,3,352
37,AP_East Godavari,4,5095
38,AP_East Godavari,5,38500
39,AP_East Godavari,6,42508
40,AP_East Godavari,7,25187
41,AP_East Godavari,8,9930
42,AP_East Godavari,9,1772
43,AP_East Godavari,10,780
44,AP_East Godavari,11,250
45,AP_East Godavari,12,744
46,AP_East Godavari,13,11653
47,AP_East Godavari,14,81991
48,AP_East Godavari,15,43282
49,AP_East Godavari,16,14918
50,AP_East Godavari,17,8650
51,AP_Guntur,1,0
52,AP_Guntur,2,413
53,AP_Guntur,3,281
54,AP_Guntur,4,3850
55,AP_Guntur,5,23821
56,AP_Guntur,6,21081
57,AP_Guntur,7,14018
58,AP_Guntur,8,8597
59,AP_Guntur,9,2320
60,AP_Guntur,10,1017
61,AP_Guntur,11,288
62,AP_Guntur,12,1064
63,AP_Guntur,13,22208
64,AP_Guntur,14,48544
65,AP_Guntur,15,14506
66,AP_Guntur,16,5879
67,AP_Guntur,17,4616
68,AP_Krishna,1,0
69,AP_Krishna,2,367
70,AP_Krishna,3,454
71,AP_Krishna,4,2330
72,AP_Krishna,5,9890
73,AP_Krishna,6,10989
74,AP_Krishna,7,11586
75,AP_Krishna,8,8861
76,AP_Krishna,9,2889
77,AP_Krishna,10,1124
78,AP_Krishna,11,401
79,AP_Krishna,12,796
80,AP_Krishna,13,9986
81,AP_Krishna,14,27018
82,AP_Krishna,15,14695
