,districtid,cases
0,AP_Anantapur,156771
1,AP_Chittoor,234871
2,AP_East Godavari,282389
3,AP_Guntur,170493
4,AP_Krishna,111599
5,AP_Kurnool,123572
6,AP_Prakasam,131787
7,AP_S.P.S. Nellore,137357
8,AP_Srikakulam,121390
9,AP_Visakhapatnam,153698
10,AP_Vizianagaram,81776
11,AP_West Godavari,171987
12,AP_Y.S.R. Kadapa,111606
13,AR_Anjaw,994
14,AR_Changlang,3655
15,AR_East Kameng,1071
16,AR_East Siang,2963
17,AR_Kamle,478
18,AR_Kra Daadi,260
19,AR_Kurung Kumey,507
20,AR_Lepa Rada,792
21,AR_Lohit,2688
22,AR_Longding,731
23,AR_Lower Dibang Valley,2168
24,AR_Lower Siang,709
25,AR_Lower Subansiri,2647
26,AR_Namsai,1969
27,AR_Pakke Kessang,396
28,AR_Papum Pare,17303
29,AR_Shi Yomi,224
30,AR_Siang,393
31,AR_Tawang,2299
32,AR_Tirap,1008
33,AR_Upper Dibang Valley,290
34,AR_Upper Siang,896
35,AR_Upper Subansiri,1914
36,AR_West Kameng,3207
37,AR_West Siang,1738
38,AS_Dibrugarh,0
39,AS_Udalguri,0
40,BR_Araria,14963
41,BR_Arwal,7379
42,BR_Aurangabad,20010
43,BR_Banka,7379
44,BR_Begusarai,27183
45,BR_Bhagalpur,25827
46,BR_Bhojpur,10174
47,BR_Buxar,9248
48,BR_Darbhanga,10908
49,BR_East Champaran,19000
50,BR_Gaya,33940
51,BR_Gopalganj,16671
52,BR_Jamui,9413
53,BR_Jehanabad,10774
54,BR_Kaimur,4983
55,BR_Katihar,18129
56,BR_Khagaria,10057
57,BR_Kishanganj,10107
58,BR_Lakhisarai,7771
59,BR_Madhepura,12523
60,BR_Madhubani,18339
61,BR_Munger,15102
62,BR_Muzaffarpur,31382
63,BR_Nalanda,23424
64,BR_Nawada,10345
65,BR_Patna,146846
66,BR_Purnia,24413
67,BR_Rohtas,13962
68,BR_Saharsa,17592
69,BR_Samastipur,19988
70,BR_Saran,23267
71,BR_Sheikhpura,7690
72,BR_Sheohar,4397
73,BR_Sitamarhi,9174
74,BR_Siwan,15195
75,BR_Supaul,17205
76,BR_Vaishali,19809
77,BR_West Champaran,20886
78,CH_Chandigarh,62028
79,CT_Balod,27258
80,CT_Baloda Bazar,43007
81,CT_Balrampur,20280
82,CT_Bametara,19945
83,CT_Bastar,20953
84,CT_Bijapur,8269
85,CT_Bilaspur,65471
86,CT_Dakshin Bastar Dantewada,10754
87,CT_Dhamtari,27197
88,CT_Durg,96652
89,CT_Gariaband,19673
90,CT_Janjgir Champa,57461
91,CT_Jashpur,26950
92,CT_Kabeerdham,22770
93,CT_Kondagaon,13072
94,CT_Korba,54592
95,CT_Koriya,26923
96,CT_Mahasamund,31324
97,CT_Mungeli,23893
98,CT_Narayanpur,4006
99,CT_Raigarh,62486
100,CT_Raipur,157803
101,CT_Rajnandgaon,56012
102,CT_Sukma,7975
103,CT_Surajpur,29016
104,CT_Surguja,33641
105,CT_Uttar Bastar Kanker,23542
106,DN_Dadra and Nagar Haveli,5905
107,DN_Daman,3535
108,DN_Diu,1218
109,GJ_Ahmedabad,238044
110,GJ_Amreli,10806
111,GJ_Anand,9624
112,GJ_Aravalli,5184
113,GJ_Banaskantha,13631
114,GJ_Bharuch,11425
115,GJ_Bhavnagar,21413
116,GJ_Botad,2218
117,GJ_Chhota Udaipur,3395
118,GJ_Dahod,9944
119,GJ_Dang,864
120,GJ_Devbhumi Dwarka,4173
121,GJ_Gandhinagar,20741
122,GJ_Gir Somnath,8557
123,GJ_Jamnagar,34951
124,GJ_Junagadh,20470
125,GJ_Kheda,10422
126,GJ_Kutch,12587
127,GJ_Mahisagar,8192
128,GJ_Mehsana,24414
129,GJ_Morbi,6502
130,GJ_Narmada,5952
131,GJ_Navsari,7156
132,GJ_Panchmahal,11770
133,GJ_Patan,11624
134,GJ_Porbandar,3477
135,GJ_Rajkot,57925
136,GJ_Sabarkantha,9314
137,GJ_Surat,143502
138,GJ_Surendranagar,8121
139,GJ_Tapi,4438
140,GJ_Vadodara,77924
141,GJ_Valsad,6244
142,HP_Bilaspur,13165
143,HP_Chamba,12993
144,HP_Hamirpur,14883
145,HP_Kangra,46992
146,HP_Kinnaur,3348
147,HP_Kullu,9321
148,HP_Lahaul and Spiti,2829
149,HP_Mandi,28890
150,HP_Shimla,26157
