,districtid,weekid,cases
0,AP_Anantapur,1,0
1,AP_Anantapur,2,0
2,AP_Anantapur,3,0
3,AP_Anantapur,4,0
4,AP_Anantapur,5,0
5,AP_Anantapur,6,53
6,AP_Anantapur,7,25
7,AP_Anantapur,8,29
8,AP_Anantapur,9,15
9,AP_Anantapur,10,14
10,AP_Anantapur,11,80
11,AP_Anantapur,12,72
12,AP_Anantapur,13,175
13,AP_Anantapur,14,337
14,AP_Anantapur,15,571
15,AP_Anantapur,16,815
16,AP_Anantapur,17,1104
17,AP_Anantapur,18,1851
18,AP_Anantapur,19,4582
19,AP_Anantapur,20,6800
20,AP_Anantapur,21,7584
21,AP_Anantapur,22,5420
22,AP_Anantapur,23,5266
23,AP_Anantapur,24,5362
24,AP_Anantapur,25,5145
25,AP_Anantapur,26,4006
26,AP_Anantapur,27,3531
27,AP_Anantapur,28,3372
28,AP_Anantapur,29,2525
29,AP_Anantapur,30,2213
30,AP_Anantapur,31,1522
31,AP_Anantapur,32,1229
32,AP_Anantapur,33,1031
33,AP_Anantapur,34,849
34,AP_Anantapur,35,595
35,AP_Anantapur,36,301
36,AP_Anantapur,37,196
37,AP_Anantapur,38,192
38,AP_Anantapur,39,144
39,AP_Anantapur,40,135
40,AP_Anantapur,41,138
41,AP_Anantapur,42,112
42,AP_Anantapur,43,113
43,AP_Anantapur,44,54
44,AP_Anantapur,45,56
45,AP_Anantapur,46,30
46,AP_Anantapur,47,32
47,AP_Anantapur,48,19
48,AP_Anantapur,49,26
49,AP_Anantapur,50,36
50,AP_Anantapur,51,58
51,AP_Anantapur,52,42
52,AP_Anantapur,53,129
53,AP_Anantapur,54,264
54,AP_Anantapur,55,354
55,AP_Anantapur,56,936
56,AP_Anantapur,57,1913
57,AP_Anantapur,58,5431
58,AP_Anantapur,59,8833
59,AP_Anantapur,60,13060
60,AP_Anantapur,61,15440
61,AP_Anantapur,62,14477
62,AP_Anantapur,63,9060
63,AP_Anantapur,64,6906
64,AP_Anantapur,65,4934
65,AP_Anantapur,66,2439
66,AP_Anantapur,67,1503
67,AP_Anantapur,68,929
68,AP_Anantapur,69,623
69,AP_Anantapur,70,490
70,AP_Anantapur,71,400
71,AP_Anantapur,72,353
72,AP_Anantapur,73,247
73,AP_Anantapur,74,216
74,AP_Chittoor,1,0
75,AP_Chittoor,2,0
76,AP_Chittoor,3,0
77,AP_Chittoor,4,0
78,AP_Chittoor,5,0
79,AP_Chittoor,6,73
80,AP_Chittoor,7,8
81,AP_Chittoor,8,31
82,AP_Chittoor,9,65
83,AP_Chittoor,10,31
84,AP_Chittoor,11,49
85,AP_Chittoor,12,42
86,AP_Chittoor,13,54
87,AP_Chittoor,14,209
88,AP_Chittoor,15,329
89,AP_Chittoor,16,433
90,AP_Chittoor,17,1344
91,AP_Chittoor,18,1979
92,AP_Chittoor,19,2795
93,AP_Chittoor,20,4666
94,AP_Chittoor,21,4989
95,AP_Chittoor,22,6362
96,AP_Chittoor,23,6371
97,AP_Chittoor,24,5883
98,AP_Chittoor,25,6848
99,AP_Chittoor,26,6837
100,AP_Chittoor,27,5455
101,AP_Chittoor,28,4967
102,AP_Chittoor,29,5541
103,AP_Chittoor,30,4961
104,AP_Chittoor,31,3333
105,AP_Chittoor,32,2905
106,AP_Chittoor,33,2205
107,AP_Chittoor,34,2001
108,AP_Chittoor,35,1296
109,AP_Chittoor,36,1032
110,AP_Chittoor,37,549
111,AP_Chittoor,38,623
112,AP_Chittoor,39,580
113,AP_Chittoor,40,615
114,AP_Chittoor,41,475
115,AP_Chittoor,42,368
116,AP_Chittoor,43,271
117,AP_Chittoor,44,210
118,AP_Chittoor,45,159
119,AP_Chittoor,46,91
120,AP_Chittoor,47,90
121,AP_Chittoor,48,84
122,AP_Chittoor,49,107
123,AP_Chittoor,50,166
124,AP_Chittoor,51,211
125,AP_Chittoor,52,377
126,AP_Chittoor,53,319
127,AP_Chittoor,54,937
128,AP_Chittoor,55,1513
129,AP_Chittoor,56,3321
130,AP_Chittoor,57,6094
131,AP_Chittoor,58,9718
132,AP_Chittoor,59,15125
133,AP_Chittoor,60,14840
134,AP_Chittoor,61,17000
135,AP_Chittoor,62,18073
136,AP_Chittoor,63,14796
137,AP_Chittoor,64,10562
138,AP_Chittoor,65,7750
139,AP_Chittoor,66,6070
140,AP_Chittoor,67,4300
141,AP_Chittoor,68,3477
142,AP_Chittoor,69,2620
143,AP_Chittoor,70,2502
144,AP_Chittoor,71,2063
145,AP_Chittoor,72,2225
146,AP_Chittoor,73,2252
147,AP_Chittoor,74,1461
148,AP_East Godavari,1,0
149,AP_East Godavari,2,0
150,AP_East Godavari,3,0
151,AP_East Godavari,4,0
152,AP_East Godavari,5,0
153,AP_East Godavari,6,39
154,AP_East Godavari,7,6
155,AP_East Godavari,8,1
156,AP_East Godavari,9,6
157,AP_East Godavari,10,7
158,AP_East Godavari,11,147
159,AP_East Godavari,12,69
160,AP_East Godavari,13,77
161,AP_East Godavari,14,203
162,AP_East Godavari,15,447
163,AP_East Godavari,16,605
164,AP_East Godavari,17,1035
165,AP_East Godavari,18,3504
166,AP_East Godavari,19,7340
167,AP_East Godavari,20,8715
168,AP_East Godavari,21,9502
169,AP_East Godavari,22,8590
170,AP_East Godavari,23,8952
171,AP_East Godavari,24,8775
172,AP_East Godavari,25,8928
173,AP_East Godavari,26,9860
174,AP_East Godavari,27,9699
175,AP_East Godavari,28,7683
176,AP_East Godavari,29,6595
177,AP_East Godavari,30,5258
178,AP_East Godavari,31,4049
179,AP_East Godavari,32,3268
180,AP_East Godavari,33,2675
181,AP_East Godavari,34,2554
182,AP_East Godavari,35,1852
183,AP_East Godavari,36,1183
184,AP_East Godavari,37,622
185,AP_East Godavari,38,404
186,AP_East Godavari,39,338
187,AP_East Godavari,40,317
188,AP_East Godavari,41,278
189,AP_East Godavari,42,183
190,AP_East Godavari,43,174
191,AP_East Godavari,44,127
192,AP_East Godavari,45,109
193,AP_East Godavari,46,84
194,AP_East Godavari,47,57
195,AP_East Godavari,48,43
196,AP_East Godavari,49,37
197,AP_East Godavari,50,52
198,AP_East Godavari,51,61
199,AP_East Godavari,52,136
200,AP_East Godavari,53,177
201,AP_East Godavari,54,430
202,AP_East Godavari,55,191
203,AP_East Godavari,56,373
204,AP_East Godavari,57,3495
205,AP_East Godavari,58,5956
206,AP_East Godavari,59,12024
207,AP_East Godavari,60,15901
208,AP_East Godavari,61,19869
209,AP_East Godavari,62,22794
210,AP_East Godavari,63,17857
211,AP_East Godavari,64,14989
212,AP_East Godavari,65,9145
213,AP_East Godavari,66,7504
214,AP_East Godavari,67,5829
215,AP_East Godavari,68,4470
216,AP_East Godavari,69,4327
217,AP_East Godavari,70,3165
218,AP_East Godavari,71,2546
219,AP_East Godavari,72,2100
220,AP_East Godavari,73,2655
221,AP_East Godavari,74,2265
222,AP_Guntur,1,0
223,AP_Guntur,2,0
224,AP_Guntur,3,0
225,AP_Guntur,4,0
226,AP_Guntur,5,0
227,AP_Guntur,6,214
228,AP_Guntur,7,105
229,AP_Guntur,8,63
230,AP_Guntur,9,35
231,AP_Guntur,10,9
232,AP_Guntur,11,63
233,AP_Guntur,12,69
234,AP_Guntur,13,65
235,AP_Guntur,14,145
