,districtid,weekid,dose1,dose2
0,AP_Anantapur,1,287,0
1,AP_Anantapur,2,3802,0
2,AP_Anantapur,3,3115,0
3,AP_Anantapur,4,5029,0
4,AP_Anantapur,5,3090,730
5,AP_Anantapur,6,7823,6535
6,AP_Anantapur,7,12487,2936
7,AP_Anantapur,8,5747,1603
8,AP_Anantapur,9,11607,1665
9,AP_Anantapur,10,36732,2275
10,AP_Anantapur,11,76134,8658
11,AP_Anantapur,12,41180,2254
12,AP_Anantapur,13,56584,3931
13,AP_Anantapur,14,36573,2764
14,AP_Anantapur,15,63040,33895
15,AP_Anantapur,16,49088,38962
16,AP_Anantapur,17,28427,54745
17,AP_Anantapur,18,4609,11140
18,AP_Anantapur,19,5383,5770
19,AP_Anantapur,20,117444,7162
20,AP_Anantapur,21,60972,8832
21,AP_Anantapur,22,50427,8729
22,AP_Anantapur,23,25728,736
23,AP_Anantapur,24,122622,21682
24,AP_Anantapur,25,105115,28536
25,AP_Anantapur,26,19108,979
26,AP_Anantapur,27,85573,93324
27,AP_Anantapur,28,29879,59407
28,AP_Anantapur,29,84350,66175
29,AP_Anantapur,30,107455,64406
30,AP_Anantapur,31,104964,59515
31,AP_Chittoor,1,424,0
32,AP_Chittoor,2,5540,0
33,AP_Chittoor,3,5056,0
34,AP_Chittoor,4,11874,0
35,AP_Chittoor,5,7110,340
36,AP_Chittoor,6,8949,6661
37,AP_Chittoor,7,11346,3951
38,AP_Chittoor,8,13430,4543
39,AP_Chittoor,9,17754,6309
40,AP_Chittoor,10,53306,4930
41,AP_Chittoor,11,75213,5476
42,AP_Chittoor,12,54834,3539
43,AP_Chittoor,13,50493,9503
44,AP_Chittoor,14,69936,7093
45,AP_Chittoor,15,56746,49413
46,AP_Chittoor,16,62590,40254
47,AP_Chittoor,17,18804,39680
48,AP_Chittoor,18,2349,9929
49,AP_Chittoor,19,4244,19053
50,AP_Chittoor,20,141915,3213
51,AP_Chittoor,21,72600,18788
52,AP_Chittoor,22,51933,2287
53,AP_Chittoor,23,32733,3007
54,AP_Chittoor,24,155841,30046
55,AP_Chittoor,25,106254,24087
56,AP_Chittoor,26,10327,2505
57,AP_Chittoor,27,88924,49385
58,AP_Chittoor,28,19278,64035
59,AP_Chittoor,29,79977,149687
60,AP_Chittoor,30,153299,76380
61,AP_Chittoor,31,122512,6770
62,AP_East Godavari,1,1012,0
63,AP_East Godavari,2,11148,0
64,AP_East Godavari,3,9677,0
65,AP_East Godavari,4,13061,0
66,AP_East Godavari,5,5468,301
67,AP_East Godavari,6,6711,4189
68,AP_East Godavari,7,9612,7603
69,AP_East Godavari,8,14003,7046
70,AP_East Godavari,9,27104,6763
71,AP_East Godavari,10,53331,6364
72,AP_East Godavari,11,61245,7423
73,AP_East Godavari,12,38013,2478
74,AP_East Godavari,13,62966,14795
75,AP_East Godavari,14,72392,10523
76,AP_East Godavari,15,44552,61242
77,AP_East Godavari,16,52050,37828
78,AP_East Godavari,17,11738,30496
79,AP_East Godavari,18,4967,8374
80,AP_East Godavari,19,3298,26204
81,AP_East Godavari,20,196451,17126
82,AP_East Godavari,21,81984,4767
83,AP_East Godavari,22,123698,1250
84,AP_East Godavari,23,60655,572
85,AP_East Godavari,24,191003,17470
86,AP_East Godavari,25,152745,22813
87,AP_East Godavari,26,39974,39850
88,AP_East Godavari,27,101683,57558
89,AP_East Godavari,28,54724,51655
90,AP_East Godavari,29,182868,56708
91,AP_East Godavari,30,188187,37474
92,AP_East Godavari,31,51170,13601
93,AP_Guntur,1,303,0
94,AP_Guntur,2,3174,0
95,AP_Guntur,3,5396,0
96,AP_Guntur,4,6811,0
97,AP_Guntur,5,6595,1086
98,AP_Guntur,6,13785,5895
99,AP_Guntur,7,13238,3060
100,AP_Guntur,8,12115,3825
101,AP_Guntur,9,14562,5088
102,AP_Guntur,10,33485,7243
103,AP_Guntur,11,51973,7934
104,AP_Guntur,12,47332,5396
105,AP_Guntur,13,63977,9129
106,AP_Guntur,14,68230,6355
107,AP_Guntur,15,61606,42091
108,AP_Guntur,16,60285,21237
109,AP_Guntur,17,29194,32102
110,AP_Guntur,18,7299,22036
111,AP_Guntur,19,9247,15162
112,AP_Guntur,20,152440,22906
113,AP_Guntur,21,81969,9366
114,AP_Guntur,22,88154,7647
115,AP_Guntur,23,58124,8600
116,AP_Guntur,24,182062,28971
117,AP_Guntur,25,124702,28917
118,AP_Guntur,26,40069,12451
119,AP_Guntur,27,125905,60879
120,AP_Guntur,28,38329,56945
121,AP_Guntur,29,126988,64637
122,AP_Guntur,30,141089,60748
123,AP_Guntur,31,90097,42735
124,AP_Krishna,1,144,0
125,AP_Krishna,2,4393,0
126,AP_Krishna,3,5503,0
127,AP_Krishna,4,7259,0
128,AP_Krishna,5,7360,525
129,AP_Krishna,6,5112,6561
130,AP_Krishna,7,10344,4324
131,AP_Krishna,8,10622,3201
132,AP_Krishna,9,21069,6327
133,AP_Krishna,10,42785,4674
134,AP_Krishna,11,51408,6327
135,AP_Krishna,12,48922,4496
136,AP_Krishna,13,65440,6132
137,AP_Krishna,14,83044,4742
138,AP_Krishna,15,50683,49445
139,AP_Krishna,16,58323,35153
140,AP_Krishna,17,20323,42632
141,AP_Krishna,18,5469,37842
142,AP_Krishna,19,7482,20487
143,AP_Krishna,20,168626,11410
144,AP_Krishna,21,86588,5265
145,AP_Krishna,22,128215,5890
146,AP_Krishna,23,56532,3695
147,AP_Krishna,24,204267,27920
148,AP_Krishna,25,99712,41564
149,AP_Krishna,26,29328,19280
150,AP_Krishna,27,40128,63668
151,AP_Krishna,28,85962,47349
152,AP_Krishna,29,127294,45350
153,AP_Krishna,30,153529,32553
154,AP_Krishna,31,70395,20777
155,AP_Kurnool,1,214,0
156,AP_Kurnool,2,3572,0
157,AP_Kurnool,3,3057,0
158,AP_Kurnool,4,9757,0
159,AP_Kurnool,5,4804,507
160,AP_Kurnool,6,6159,5033
161,AP_Kurnool,7,6973,2790
162,AP_Kurnool,8,6273,3637
163,AP_Kurnool,9,11088,3614
164,AP_Kurnool,10,30788,4010
165,AP_Kurnool,11,59180,3822
166,AP_Kurnool,12,39595,3154
167,AP_Kurnool,13,67498,5689
168,AP_Kurnool,14,43961,3888
169,AP_Kurnool,15,37187,41220
170,AP_Kurnool,16,43758,28287
171,AP_Kurnool,17,12550,35190
172,AP_Kurnool,18,3352,13041
173,AP_Kurnool,19,9545,14680
174,AP_Kurnool,20,108733,4713
175,AP_Kurnool,21,62562,4565
176,AP_Kurnool,22,60533,1417
177,AP_Kurnool,23,28129,416
178,AP_Kurnool,24,119318,11516
179,AP_Kurnool,25,94180,20846
180,AP_Kurnool,26,9569,9939
181,AP_Kurnool,27,94945,57333
182,AP_Kurnool,28,29049,41838
183,AP_Kurnool,29,75143,79479
