,districtid,monthid,dose1,dose2
0,AP_Anantapur,1,15323,730
1,AP_Anantapur,2,37664,12739
2,AP_Anantapur,3,247138,19856
3,AP_Anantapur,4,145179,138488
4,AP_Anantapur,5,255680,31260
5,AP_Anantapur,6,331417,101799
6,AP_Anantapur,7,331973,292474
7,AP_Chittoor,1,30004,340
8,AP_Chittoor,2,51481,21464
9,AP_Chittoor,3,301198,29836
10,AP_Chittoor,4,142743,138756
11,AP_Chittoor,5,290964,46657
12,AP_Chittoor,6,344063,84497
13,AP_Chittoor,7,405138,319314
14,AP_East Godavari,1,40366,301
15,AP_East Godavari,2,57430,25601
16,AP_East Godavari,3,284349,39754
17,AP_East Godavari,4,117227,139769
18,AP_East Godavari,5,449337,49546
19,AP_East Godavari,6,459931,110817
20,AP_East Godavari,7,518850,186685
21,AP_Guntur,1,22279,1086
22,AP_Guntur,2,53718,17868
23,AP_Guntur,3,259840,33024
24,AP_Guntur,4,161797,112864
25,AP_Guntur,5,368959,65573
26,AP_Guntur,6,464820,115211
27,AP_Guntur,7,427122,246815
28,AP_Krishna,1,24659,525
29,AP_Krishna,2,47857,20469
30,AP_Krishna,3,289038,25617
31,AP_Krishna,4,133678,142162
32,AP_Krishna,5,440711,68656
33,AP_Krishna,6,375048,131110
34,AP_Krishna,7,445270,169050
35,AP_Kurnool,1,21404,507
36,AP_Kurnool,2,30493,15074
37,AP_Kurnool,3,238431,20149
38,AP_Kurnool,4,99290,117334
39,AP_Kurnool,5,261402,26473
40,AP_Kurnool,6,284107,73875
41,AP_Kurnool,7,307565,239216
42,AP_Prakasam,1,21893,137
43,AP_Prakasam,2,26572,10598
44,AP_Prakasam,3,220967,23417
45,AP_Prakasam,4,106198,107527
46,AP_Prakasam,5,290723,53990
47,AP_Prakasam,6,321230,62132
48,AP_Prakasam,7,244329,257990
49,AP_S.P.S. Nellore,1,32205,656
50,AP_S.P.S. Nellore,2,41369,23078
51,AP_S.P.S. Nellore,3,208389,34130
52,AP_S.P.S. Nellore,4,109506,117798
53,AP_S.P.S. Nellore,5,260743,25673
54,AP_S.P.S. Nellore,6,260949,148451
55,AP_S.P.S. Nellore,7,244915,178903
56,AP_Srikakulam,1,25982,713
57,AP_Srikakulam,2,31735,19604
58,AP_Srikakulam,3,180152,18037
59,AP_Srikakulam,4,79204,73897
60,AP_Srikakulam,5,273621,19623
61,AP_Srikakulam,6,263582,87996
62,AP_Srikakulam,7,174293,117102
63,AP_Visakhapatnam,1,28630,241
64,AP_Visakhapatnam,2,53082,23442
65,AP_Visakhapatnam,3,283951,31362
66,AP_Visakhapatnam,4,144540,127856
67,AP_Visakhapatnam,5,452250,49829
68,AP_Visakhapatnam,6,453246,109245
69,AP_Visakhapatnam,7,459875,281184
70,AP_Vizianagaram,1,14857,342
71,AP_Vizianagaram,2,22691,12208
72,AP_Vizianagaram,3,163208,14968
73,AP_Vizianagaram,4,64345,69226
74,AP_Vizianagaram,5,215990,14838
75,AP_Vizianagaram,6,223189,47235
76,AP_Vizianagaram,7,216806,61200
77,AP_West Godavari,1,20160,104
78,AP_West Godavari,2,47196,17098
79,AP_West Godavari,3,219748,34808
80,AP_West Godavari,4,104282,109868
81,AP_West Godavari,5,400025,55813
82,AP_West Godavari,6,451595,55349
83,AP_West Godavari,7,399541,158923
84,AP_Y.S.R. Kadapa,1,15747,552
85,AP_Y.S.R. Kadapa,2,34619,11892
86,AP_Y.S.R. Kadapa,3,227708,22896
87,AP_Y.S.R. Kadapa,4,93022,115574
88,AP_Y.S.R. Kadapa,5,248502,31663
89,AP_Y.S.R. Kadapa,6,274484,85325
90,AP_Y.S.R. Kadapa,7,149352,127378
91,AR_Anjaw,1,387,0
92,AR_Anjaw,2,391,288
93,AR_Anjaw,3,971,325
94,AR_Anjaw,4,1253,625
95,AR_Anjaw,5,2368,21
96,AR_Anjaw,6,4370,334
97,AR_Anjaw,7,1182,956
98,AR_Changlang,1,968,0
99,AR_Changlang,2,2114,813
100,AR_Changlang,3,7617,1387
101,AR_Changlang,4,8032,2038
102,AR_Changlang,5,11005,396
103,AR_Changlang,6,35250,4923
104,AR_Changlang,7,10604,7349
105,AR_East Kameng,1,260,0
106,AR_East Kameng,2,676,256
107,AR_East Kameng,3,2351,516
108,AR_East Kameng,4,3264,1049
109,AR_East Kameng,5,5195,38
110,AR_East Kameng,6,5214,1392
111,AR_East Kameng,7,3461,2932
112,AR_East Siang,1,919,76
113,AR_East Siang,2,1647,891
114,AR_East Siang,3,8343,1464
115,AR_East Siang,4,6560,6033
116,AR_East Siang,5,5425,35
117,AR_East Siang,6,25956,3016
118,AR_East Siang,7,2471,4565
119,AR_Kamle,1,168,0
120,AR_Kamle,2,91,142
121,AR_Kamle,3,485,107
122,AR_Kamle,4,969,286
123,AR_Kamle,5,888,2
124,AR_Kamle,6,2143,269
125,AR_Kamle,7,1455,731
126,AR_Kra Daadi,1,205,0
127,AR_Kra Daadi,2,177,218
128,AR_Kra Daadi,3,764,83
129,AR_Kra Daadi,4,664,416
130,AR_Kra Daadi,5,1527,12
131,AR_Kra Daadi,6,1749,182
132,AR_Kra Daadi,7,751,830
133,AR_Kurung Kumey,1,467,0
134,AR_Kurung Kumey,2,310,276
135,AR_Kurung Kumey,3,2004,231
