,districtid,dose1,dose2
0,AP_Anantapur,1386606,608213
1,AP_Chittoor,1565334,640911
2,AP_East Godavari,1926575,552579
3,AP_Guntur,1758610,592647
4,AP_Krishna,1758706,558595
5,AP_Kurnool,1244376,493004
6,AP_Prakasam,1235747,517769
7,AP_S.P.S. Nellore,1158248,529078
8,AP_Srikakulam,1028405,336986
9,AP_Visakhapatnam,1882377,625093
10,AP_Vizianagaram,921238,220104
11,AP_West Godavari,1642729,432053
12,AP_Y.S.R. Kadapa,1043258,395295
13,AR_Anjaw,10935,2559
14,AR_Changlang,75591,16913
15,AR_East Kameng,20524,6211
16,AR_East Siang,51315,16080
17,AR_Kamle,6200,1545
18,AR_Kra Daadi,5837,1741
19,AR_Kurung Kumey,8574,2847
20,AR_Lepa Rada,12956,4959
21,AR_Lohit,27886,6710
22,AR_Longding,17965,3265
23,AR_Lower Dibang Valley,29771,8146
24,AR_Lower Siang,15692,4567
25,AR_Lower Subansiri,24807,8160
26,AR_Namsai,57826,12607
27,AR_Pakke Kessang,7668,2984
28,AR_Papum Pare,123330,38349
29,AR_Shi Yomi,6720,2319
30,AR_Siang,13879,4273
31,AR_Tawang,27666,9183
32,AR_Tirap,29033,5636
33,AR_Upper Dibang Valley,3915,1234
34,AR_Upper Siang,17469,6358
35,AR_Upper Subansiri,23117,7269
36,AR_West Kameng,50178,13724
37,AR_West Siang,32649,12329
38,AS_Baksa,271126,43836
39,AS_Barpeta,512574,134665
40,AS_Biswanath,344303,51573
41,AS_Bongaigaon,276302,57794
42,AS_Cachar,495732,101674
43,AS_Charaideo,201262,31838
44,AS_Chirang,154166,33010
45,AS_Darrang,287838,58503
46,AS_Dhemaji,281202,56604
47,AS_Dhubri,331364,74066
48,AS_Dibrugarh,570908,141058
49,AS_Dima Hasao,81975,21626
50,AS_Goalpara,294256,53583
51,AS_Golaghat,497085,90268
52,AS_Hailakandi,239659,44619
53,AS_Hojai,309011,69052
54,AS_Jorhat,511745,100322
55,AS_Kamrup,616698,145683
56,AS_Kamrup Metropolitan,1025341,317069
57,AS_Karbi Anglong,151054,37412
58,AS_Karimganj,284271,60587
59,AS_Kokrajhar,264502,51377
60,AS_Lakhimpur,441757,76241
61,AS_Majuli,103264,28970
62,AS_Morigaon,354767,51555
63,AS_Nagaon,611036,132959
64,AS_Nalbari,266546,51355
65,AS_Sivasagar,350833,65974
66,AS_Sonitpur,574064,136686
67,AS_South Salmara Mankachar,151081,8644
68,AS_Tinsukia,402398,81947
69,AS_Udalguri,221889,44510
70,AS_West Karbi Anglong,74344,13144
71,BR_Araria,571724,104177
72,BR_Arwal,213926,28476
73,BR_Aurangabad,541816,71382
74,BR_Banka,490960,77842
75,BR_Begusarai,713835,112568
76,BR_Bhagalpur,900875,172592
77,BR_Bhojpur,598181,99751
78,BR_Buxar,412073,75792
79,BR_Darbhanga,977750,186119
80,BR_East Champaran,1194914,209622
81,BR_Gaya,956839,204442
82,BR_Gopalganj,538090,84699
83,BR_Jamui,388644,59865
84,BR_Jehanabad,282948,53225
85,BR_Kaimur,344480,45785
86,BR_Katihar,626346,90132
87,BR_Khagaria,368651,56978
88,BR_Kishanganj,337389,50334
89,BR_Lakhisarai,220928,33930
90,BR_Madhepura,413733,70384
91,BR_Madhubani,949629,186818
92,BR_Munger,386286,65326
93,BR_Muzaffarpur,1068635,193621
94,BR_Nalanda,770651,169946
95,BR_Nawada,488183,84679
96,BR_Patna,2512230,856413
97,BR_Purnia,837187,167935
98,BR_Rohtas,673143,110050
99,BR_Saharsa,428464,77936
100,BR_Samastipur,965826,176286
101,BR_Saran,1034997,213121
102,BR_Sheikhpura,166492,29858
103,BR_Sheohar,169606,38051
104,BR_Sitamarhi,723859,121248
105,BR_Siwan,911577,181456
106,BR_Supaul,463054,79968
107,BR_Vaishali,794698,138124
108,BR_West Champaran,812239,98558
109,CH_Chandigarh,738480,247413
110,CT_Balod,340557,104584
111,CT_Baloda Bazar,346138,84686
112,CT_Balrampur,194733,39974
113,CT_Bametara,178449,44883
114,CT_Bastar,269674,70849
115,CT_Bijapur,79458,28123
116,CT_Bilaspur,576122,192418
117,CT_Dakshin Bastar Dantewada,111796,35266
118,CT_Dhamtari,310665,91439
119,CT_Durg,612165,258779
120,CT_Gariaband,167264,39254
121,CT_Janjgir Champa,449733,131719
122,CT_Jashpur,261680,65103
123,CT_Kabeerdham,256099,63259
124,CT_Kondagaon,170155,32747
125,CT_Korba,418253,123405
126,CT_Koriya,182035,47771
127,CT_Mahasamund,462187,144539
128,CT_Mungeli,194435,50088
129,CT_Narayanpur,34797,11994
130,CT_Raigarh,901165,270841
131,CT_Raipur,1158272,397639
132,CT_Rajnandgaon,684349,171029
133,CT_Sukma,106229,33333
134,CT_Surajpur,229340,49171
135,CT_Surguja,334141,101547
136,CT_Uttar Bastar Kanker,245268,72130
137,DL_Central Delhi,818686,308025
138,DL_East Delhi,640437,239554
139,DL_New Delhi,648023,320148
140,DL_North Delhi,664383,226815
141,DL_North East Delhi,521949,164763
142,DL_North West Delhi,958386,388400
