,districtid,vaccineratio
0,AR_Anjaw,NA
1,AR_Changlang,NA
2,AR_East Kameng,NA
3,AR_East Siang,NA
4,AR_Kamle,NA
5,AR_Kra Daadi,NA
6,AR_Kurung Kumey,NA
7,AR_Lepa Rada,NA
8,AR_Lohit,NA
9,AR_Longding,NA
10,AR_Lower Dibang Valley,NA
11,AR_Lower Siang,NA
12,AR_Lower Subansiri,NA
13,AR_Namsai,NA
14,AR_Pakke Kessang,NA
15,AR_Papum Pare,NA
16,AR_Shi Yomi,NA
17,AR_Siang,NA
18,AR_Tawang,NA
19,AR_Tirap,NA
20,AR_Upper Dibang Valley,NA
21,AR_Upper Siang,NA
22,AR_Upper Subansiri,NA
23,AR_West Kameng,NA
24,AR_West Siang,NA
25,BR_Arwal,NA
26,BR_Begusarai,NA
27,BR_Bhojpur,NA
28,BR_Gopalganj,NA
29,BR_Jamui,NA
30,BR_Kaimur,NA
31,BR_Katihar,NA
32,BR_Khagaria,NA
33,BR_Kishanganj,NA
34,BR_Lakhisarai,NA
35,BR_Madhepura,NA
36,BR_Saharsa,NA
37,BR_Sheikhpura,NA
38,BR_Sheohar,NA
39,BR_Sitamarhi,NA
40,BR_West Champaran,NA
41,DN_Daman,NA
42,DN_Diu,NA
43,HP_Bilaspur,NA
44,HP_Hamirpur,NA
45,HP_Kinnaur,NA
46,HP_Kullu,NA
47,HP_Lahaul and Spiti,NA
48,HP_Mandi,NA
49,HP_Shimla,NA
50,HP_Sirmaur,NA
51,HP_Solan,NA
52,JK_Bandipora,NA
53,JK_Budgam,NA
54,JK_Doda,NA
55,JK_Ganderbal,NA
56,JK_Kathua,NA
57,JK_Kishtwar,NA
58,JK_Kulgam,NA
59,JK_Punch,NA
60,JK_Ramban,NA
61,JK_Reasi,NA
62,JK_Shopiyan,NA
63,JK_Udhampur,NA
64,LA_Kargil,NA
65,LA_Leh,NA
66,LD_Lakshadweep,NA
67,ML_East Garo Hills,NA
68,ML_East Jaintia Hills,NA
69,ML_East Khasi Hills,NA
70,ML_North Garo Hills,NA
71,ML_Ribhoi,NA
72,ML_South Garo Hills,NA
73,ML_South West Garo Hills,NA
74,ML_South West Khasi Hills,NA
75,ML_West Garo Hills,NA
76,ML_West Jaintia Hills,NA
77,ML_West Khasi Hills,NA
78,MN_Bishnupur,NA
79,MN_Chandel,NA
80,MN_Churachandpur,NA
81,MN_Imphal East,NA
82,MN_Imphal West,NA
83,MN_Jiribam,NA
84,MN_Kakching,NA
85,MN_Kamjong,NA
86,MN_Kangpokpi,NA
87,MN_Noney,NA
88,MN_Pherzawl,NA
89,MN_Senapati,NA
90,MN_Tamenglong,NA
91,MN_Tengnoupal,NA
92,MN_Thoubal,NA
93,MN_Ukhrul,NA
94,MZ_Aizawl,NA
95,MZ_Champhai,NA
96,MZ_Kolasib,NA
97,MZ_Lawngtlai,NA
98,MZ_Lunglei,NA
99,MZ_Mamit,NA
100,MZ_Saiha,NA
101,MZ_Serchhip,NA
102,NL_Dimapur,NA
103,NL_Kiphire,NA
104,NL_Kohima,NA
105,NL_Longleng,NA
106,NL_Mokokchung,NA
107,NL_Mon,NA
108,NL_Peren,NA
109,NL_Phek,NA
110,NL_Tuensang,NA
111,NL_Wokha,NA
112,NL_Zunheboto,NA
113,OR_Angul,NA
114,OR_Balangir,NA
115,OR_Balasore,NA
116,OR_Bargarh,NA
117,OR_Bhadrak,NA
118,OR_Boudh,NA
119,OR_Cuttack,NA
120,OR_Deogarh,NA
121,OR_Dhenkanal,NA
122,OR_Gajapati,NA
123,OR_Jagatsinghpur,NA
124,OR_Jajpur,NA
125,OR_Jharsuguda,NA
126,OR_Kalahandi,NA
127,OR_Kandhamal,NA
128,OR_Kendrapara,NA
129,OR_Malkangiri,NA
130,OR_Mayurbhanj,NA
131,OR_Nabarangapur,NA
132,OR_Nayagarh,NA
133,OR_Nuapada,NA
134,OR_Puri,NA
135,OR_Rayagada,NA
136,OR_Sambalpur,NA
137,OR_Subarnapur,NA
138,PY_Karaikal,NA
139,PY_Mahe,NA
140,PY_Puducherry,NA
141,SK_East Sikkim,NA
142,SK_North Sikkim,NA
143,SK_South Sikkim,NA
144,SK_West Sikkim,NA
145,TR_Dhalai,NA
146,TR_Khowai,NA
147,TR_North Tripura,NA
148,TR_South Tripura,NA
149,TR_Unokoti,NA
150,OR_Khordha,0.231380666528669
151,AS_Barpeta,0.829982979637766
152,BR_Patna,0.9299125519565001
153,MH_Bhandara,1.180795011581763
154,AS_Sonitpur,1.4040228777070882
155,MH_Gondia,1.409577999704149
156,MH_Washim,1.5147599651543333
157,DL_New Delhi,1.7858394450406696
158,TG_Ranga Reddy,2.090198553818687
159,TG_Hyderabad,2.1946094914484666
160,DL_South East Delhi,2.2102438790666477
161,MH_Sindhudurg,2.5243195041628774
162,TG_Medchal Malkajgiri,2.5541765213541674
163,GJ_Chhota Udaipur,2.67338684625803
164,TN_Chennai,2.693743762501316
165,OR_Ganjam,2.708728339547124
166,DL_West Delhi,2.727396228734767
167,MH_Ratnagiri,2.7617757977480926
168,MP_Jabalpur,2.7791966235501864
169,MH_Parbhani,2.7949406632759968
170,DL_North West Delhi,2.8523573626826226
171,GJ_Amreli,2.8535855299235915
172,RJ_Jaipur,2.949052979027574
173,GJ_Aravalli,2.9520415843447174
174,MH_Buldhana,2.9588780804727617
175,TN_Vellore,2.9617770150242375
176,UP_Sonbhadra,3.0489503061204783
