,i,j
0,AP_Anantapur,AP_Chittoor
1,AP_Anantapur,AP_Kurnool
2,AP_Anantapur,AP_Y.S.R. Kadapa
3,AP_Anantapur,KA_Ballari
4,AP_Anantapur,KA_Chikkaballapura
5,AP_Anantapur,KA_Chitradurga
6,AP_Anantapur,KA_Tumakuru
7,AP_Chittoor,AP_S.P.S. Nellore
8,AP_Chittoor,AP_Y.S.R. Kadapa
9,AP_Chittoor,KA_Chikkaballapura
10,AP_Chittoor,KA_Kolar
11,AP_Chittoor,TN_Krishnagiri
12,AP_Chittoor,TN_Thiruvallur
13,AP_Chittoor,TN_Vellore
14,AP_East Godavari,AP_Visakhapatnam
15,AP_East Godavari,AP_West Godavari
16,AP_East Godavari,CT_Sukma
17,AP_East Godavari,OR_Malkangiri
18,AP_East Godavari,TG_Bhadradri Kothagudem
19,AP_Guntur,AP_Krishna
20,AP_Guntur,AP_Prakasam
21,AP_Guntur,TG_Nagarkurnool
22,AP_Guntur,TG_Nalgonda
23,AP_Guntur,TG_Suryapet
24,AP_Krishna,AP_West Godavari
25,AP_Krishna,TG_Khammam
26,AP_Krishna,TG_Suryapet
27,AP_Kurnool,AP_Prakasam
28,AP_Kurnool,AP_Y.S.R. Kadapa
29,AP_Kurnool,KA_Ballari
30,AP_Kurnool,KA_Raichur
31,AP_Kurnool,TG_Jogulamba Gadwal
32,AP_Kurnool,TG_Nagarkurnool
33,AP_Kurnool,TG_Wanaparthy
34,AP_Prakasam,AP_S.P.S. Nellore
35,AP_Prakasam,AP_Y.S.R. Kadapa
36,AP_Prakasam,TG_Nagarkurnool
37,AP_S.P.S. Nellore,AP_Y.S.R. Kadapa
38,AP_S.P.S. Nellore,TN_Thiruvallur
39,AP_Srikakulam,AP_Vizianagaram
40,AP_Srikakulam,OR_Gajapati
41,AP_Srikakulam,OR_Ganjam
42,AP_Srikakulam,OR_Rayagada
43,AP_Visakhapatnam,AP_Vizianagaram
44,AP_Visakhapatnam,OR_Koraput
45,AP_Visakhapatnam,OR_Malkangiri
46,AP_Vizianagaram,OR_Koraput
47,AP_Vizianagaram,OR_Rayagada
48,AP_West Godavari,TG_Bhadradri Kothagudem
49,AP_West Godavari,TG_Khammam
50,AR_Anjaw,AR_Changlang
51,AR_Anjaw,AR_Lohit
52,AR_Changlang,AR_Lohit
53,AR_Changlang,AR_Namsai
54,AR_Changlang,AR_Tirap
55,AR_Changlang,AS_Tinsukia
56,AR_East Kameng,AR_Kurung Kumey
57,AR_East Kameng,AR_Pakke Kessang
58,AR_East Kameng,AR_Papum Pare
59,AR_East Kameng,AR_Tawang
60,AR_East Kameng,AR_West Kameng
61,AR_East Siang,AR_Lower Dibang Valley
62,AR_East Siang,AR_Lower Siang
63,AR_East Siang,AR_Siang
64,AR_East Siang,AR_Upper Siang
65,AR_East Siang,AS_Dhemaji
66,AR_East Siang,AS_Tinsukia
67,AR_Kamle,AR_Kra Daadi
68,AR_Kamle,AR_Lower Siang
69,AR_Kamle,AR_Lower Subansiri
70,AR_Kamle,AR_Papum Pare
71,AR_Kamle,AR_Upper Subansiri
72,AR_Kamle,AS_Assam
73,AR_Kamle,AS_Dhemaji
74,AR_Kra Daadi,AR_Kurung Kumey
75,AR_Kra Daadi,AR_Lower Subansiri
76,AR_Kra Daadi,AR_Papum Pare
77,AR_Kra Daadi,AR_Upper Subansiri
78,AR_Kurung Kumey,AR_Papum Pare
79,AR_Kurung Kumey,AR_Upper Subansiri
80,AR_Lepa Rada,AR_Lower Siang
81,AR_Lepa Rada,AR_Upper Subansiri
82,AR_Lepa Rada,AR_West Siang
83,AR_Lohit,AR_Lower Dibang Valley
84,AR_Lohit,AR_Namsai
85,AR_Lohit,AS_Tinsukia
86,AR_Longding,AR_Tirap
87,AR_Longding,AS_Charaideo
88,AR_Longding,AS_Dibrugarh
89,AR_Longding,NL_Mon
90,AR_Lower Dibang Valley,AR_Upper Dibang Valley
91,AR_Lower Dibang Valley,AR_Upper Siang
92,AR_Lower Dibang Valley,AS_Dhemaji
93,AR_Lower Dibang Valley,AS_Tinsukia
94,AR_Lower Siang,AR_Siang
95,AR_Lower Siang,AR_Upper Subansiri
96,AR_Lower Siang,AR_West Siang
97,AR_Lower Siang,AS_Dhemaji
98,AR_Lower Subansiri,AR_Papum Pare
99,AR_Namsai,AS_Tinsukia
100,AR_Pakke Kessang,AR_Papum Pare
101,AR_Pakke Kessang,AR_West Kameng
102,AR_Pakke Kessang,AS_Biswanath
103,AR_Pakke Kessang,AS_Sonitpur
104,AR_Papum Pare,AS_Assam
105,AR_Papum Pare,AS_Biswanath
106,AR_Shi Yomi,AR_Siang
107,AR_Shi Yomi,AR_Upper Siang
108,AR_Shi Yomi,AR_Upper Subansiri
109,AR_Shi Yomi,AR_West Siang
110,AR_Siang,AR_Upper Siang
111,AR_Siang,AR_West Siang
112,AR_Tawang,AR_West Kameng
113,AR_Tirap,AS_Dibrugarh
114,AR_Tirap,AS_Tinsukia
115,AR_Upper Dibang Valley,AR_Upper Siang
116,AR_Upper Subansiri,AR_West Siang
117,AR_West Kameng,AS_Sonitpur
118,AR_West Kameng,AS_Udalguri
119,AS_Assam,AS_Biswanath
120,AS_Assam,AS_Dhemaji
121,AS_Assam,AS_Dibrugarh
122,AS_Assam,AS_Golaghat
123,AS_Assam,AS_Majuli
124,AS_Baksa,AS_Barpeta
125,AS_Baksa,AS_Chirang
126,AS_Baksa,AS_Darrang
127,AS_Baksa,AS_Kamrup
128,AS_Baksa,AS_Nalbari
129,AS_Baksa,AS_Udalguri
130,AS_Barpeta,AS_Bongaigaon
131,AS_Barpeta,AS_Chirang
132,AS_Barpeta,AS_Goalpara
133,AS_Barpeta,AS_Kamrup
134,AS_Barpeta,AS_Nalbari
135,AS_Biswanath,AS_Golaghat
136,AS_Biswanath,AS_Nagaon
137,AS_Biswanath,AS_Sonitpur
138,AS_Bongaigaon,AS_Chirang
139,AS_Bongaigaon,AS_Dhubri
140,AS_Bongaigaon,AS_Goalpara
141,AS_Bongaigaon,AS_Kokrajhar
142,AS_Cachar,AS_Dima Hasao
143,AS_Cachar,AS_Hailakandi
144,AS_Cachar,AS_Karimganj
145,AS_Cachar,ML_East Jaintia Hills
146,AS_Cachar,MN_Jiribam
147,AS_Cachar,MN_Pherzawl
148,AS_Cachar,MN_Tamenglong
149,AS_Cachar,MZ_Aizawl
150,AS_Cachar,MZ_Kolasib
151,AS_Charaideo,AS_Dibrugarh
152,AS_Charaideo,AS_Sivasagar
153,AS_Charaideo,NL_Mon
154,AS_Chirang,AS_Kokrajhar
155,AS_Darrang,AS_Kamrup
156,AS_Darrang,AS_Kamrup Metropolitan
157,AS_Darrang,AS_Morigaon
158,AS_Darrang,AS_Sonitpur
159,AS_Darrang,AS_Udalguri
160,AS_Dhemaji,AS_Dibrugarh
161,AS_Dhemaji,AS_Tinsukia
162,AS_Dhubri,AS_Goalpara
163,AS_Dhubri,AS_Kokrajhar
164,AS_Dhubri,AS_South Salmara Mankachar
165,AS_Dhubri,WB_Cooch Behar
166,AS_Dibrugarh,AS_Majuli
167,AS_Dibrugarh,AS_Sivasagar
168,AS_Dibrugarh,AS_Tinsukia
169,AS_Dima Hasao,AS_Hojai
170,AS_Dima Hasao,AS_Karbi Anglong
171,AS_Dima Hasao,AS_West Karbi Anglong
172,AS_Dima Hasao,ML_East Jaintia Hills
173,AS_Dima Hasao,ML_West Jaintia Hills
174,AS_Dima Hasao,MN_Tamenglong
175,AS_Dima Hasao,NL_Peren
176,AS_Goalpara,AS_Kamrup
177,AS_Goalpara,AS_South Salmara Mankachar
178,AS_Goalpara,ML_North Garo Hills
179,AS_Goalpara,ML_West Garo Hills
180,AS_Golaghat,AS_Jorhat
181,AS_Golaghat,AS_Karbi Anglong
182,AS_Golaghat,AS_Majuli
183,AS_Golaghat,AS_Nagaon
184,AS_Golaghat,NL_Dimapur
185,AS_Golaghat,NL_Kohima
186,AS_Golaghat,NL_Wokha
187,AS_Hailakandi,AS_Karimganj
188,AS_Hailakandi,MZ_Kolasib
189,AS_Hailakandi,MZ_Mamit
190,AS_Hojai,AS_Karbi Anglong
191,AS_Hojai,AS_Nagaon
192,AS_Hojai,AS_West Karbi Anglong
193,AS_Jorhat,AS_Majuli
194,AS_Jorhat,AS_Sivasagar
195,AS_Jorhat,NL_Mokokchung
196,AS_Jorhat,NL_Wokha
197,AS_Kamrup,AS_Kamrup Metropolitan
198,AS_Kamrup,AS_Nalbari
199,AS_Kamrup,ML_North Garo Hills
200,AS_Kamrup,ML_Ribhoi
201,AS_Kamrup,ML_West Khasi Hills
202,AS_Kamrup Metropolitan,AS_Morigaon
203,AS_Kamrup Metropolitan,ML_Ribhoi
204,AS_Karbi Anglong,AS_Nagaon
205,AS_Karbi Anglong,NL_Dimapur
206,AS_Karbi Anglong,NL_Peren
207,AS_Karimganj,MZ_Mamit
208,AS_Karimganj,TR_North Tripura
209,AS_Kokrajhar,WB_Alipurduar
210,AS_Kokrajhar,WB_Cooch Behar
211,AS_Majuli,AS_Sivasagar
212,AS_Morigaon,AS_Nagaon
213,AS_Morigaon,AS_Sonitpur
214,AS_Morigaon,AS_West Karbi Anglong
215,AS_Morigaon,ML_Ribhoi
216,AS_Nagaon,AS_Sonitpur
217,AS_Nagaon,AS_West Karbi Anglong
218,AS_Sivasagar,NL_Longleng
219,AS_Sivasagar,NL_Mokokchung
220,AS_Sivasagar,NL_Mon
221,AS_Sonitpur,AS_Udalguri
222,AS_South Salmara Mankachar,ML_North Garo Hills
223,AS_South Salmara Mankachar,ML_South West Garo Hills
224,AS_South Salmara Mankachar,ML_West Garo Hills
225,AS_West Karbi Anglong,ML_Ribhoi
226,AS_West Karbi Anglong,ML_West Jaintia Hills
227,BR_Araria,BR_Kishanganj
228,BR_Araria,BR_Madhepura
229,BR_Araria,BR_Purnia
230,BR_Araria,BR_Supaul
231,BR_Arwal,BR_Aurangabad
232,BR_Arwal,BR_Bhojpur
233,BR_Arwal,BR_Gaya
234,BR_Arwal,BR_Jehanabad
235,BR_Arwal,BR_Patna
236,BR_Arwal,BR_Rohtas
237,BR_Aurangabad,BR_Gaya
238,BR_Aurangabad,BR_Rohtas
239,BR_Aurangabad,JH_Palamu
240,BR_Banka,BR_Bhagalpur
241,BR_Banka,BR_Jamui
242,BR_Banka,BR_Munger
243,BR_Banka,JH_Deoghar
244,BR_Banka,JH_Dumka
245,BR_Banka,JH_Godda
246,BR_Begusarai,BR_Khagaria
247,BR_Begusarai,BR_Lakhisarai
248,BR_Begusarai,BR_Munger
249,BR_Begusarai,BR_Patna
250,BR_Begusarai,BR_Samastipur
251,BR_Bhagalpur,BR_Katihar
252,BR_Bhagalpur,BR_Khagaria
253,BR_Bhagalpur,BR_Madhepura
254,BR_Bhagalpur,BR_Munger
255,BR_Bhagalpur,BR_Purnia
256,BR_Bhagalpur,JH_Godda
257,BR_Bhagalpur,JH_Sahibganj
258,BR_Bhojpur,BR_Buxar
259,BR_Bhojpur,BR_Patna
260,BR_Bhojpur,BR_Rohtas
261,BR_Bhojpur,BR_Saran
262,BR_Bhojpur,UP_Ballia
263,BR_Buxar,BR_Kaimur
264,BR_Buxar,BR_Rohtas
265,BR_Buxar,UP_Ballia
266,BR_Buxar,UP_Ghazipur
267,BR_Darbhanga,BR_Madhubani
268,BR_Darbhanga,BR_Muzaffarpur
269,BR_Darbhanga,BR_Saharsa
270,BR_Darbhanga,BR_Samastipur
271,BR_Darbhanga,BR_Sitamarhi
272,BR_East Champaran,BR_Gopalganj
273,BR_East Champaran,BR_Muzaffarpur
274,BR_East Champaran,BR_Sheohar
275,BR_East Champaran,BR_Sitamarhi
276,BR_East Champaran,BR_West Champaran
277,BR_Gaya,BR_Jehanabad
278,BR_Gaya,BR_Nalanda
279,BR_Gaya,BR_Nawada
280,BR_Gaya,JH_Chatra
281,BR_Gaya,JH_Hazaribagh
282,BR_Gaya,JH_Koderma
283,BR_Gaya,JH_Palamu
284,BR_Gopalganj,BR_Muzaffarpur
285,BR_Gopalganj,BR_Saran
286,BR_Gopalganj,BR_Siwan
287,BR_Gopalganj,BR_West Champaran
288,BR_Gopalganj,UP_Deoria
289,BR_Gopalganj,UP_Kushinagar
290,BR_Jamui,BR_Lakhisarai
291,BR_Jamui,BR_Munger
292,BR_Jamui,BR_Nawada
293,BR_Jamui,BR_Sheikhpura
294,BR_Jamui,JH_Deoghar
295,BR_Jamui,JH_Giridih
296,BR_Jehanabad,BR_Nalanda
297,BR_Jehanabad,BR_Patna
298,BR_Kaimur,BR_Rohtas
299,BR_Kaimur,UP_Chandauli
300,BR_Kaimur,UP_Ghazipur
301,BR_Kaimur,UP_Sonbhadra
302,BR_Katihar,BR_Purnia
303,BR_Katihar,JH_Sahibganj
304,BR_Katihar,WB_Malda
305,BR_Katihar,WB_Uttar Dinajpur
306,BR_Khagaria,BR_Madhepura
307,BR_Khagaria,BR_Munger
308,BR_Khagaria,BR_Saharsa
309,BR_Khagaria,BR_Samastipur
310,BR_Kishanganj,BR_Purnia
311,BR_Kishanganj,WB_Darjeeling
312,BR_Kishanganj,WB_Uttar Dinajpur
313,BR_Lakhisarai,BR_Munger
314,BR_Lakhisarai,BR_Nalanda
