,stateid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
0,AP,49,122,6,14
1,AR,55,125,7,15
2,AS,49,123,6,15
3,BR,42,118,5,14
4,CH,52,119,6,14
5,CT,53,116,7,14
6,DN,42,115,5,14
7,DL,52,79,8,14
8,GA,52,119,7,14
9,GJ,73,116,9,14
10,HR,52,119,9,14
11,HP,52,120,9,14
12,JK,52,119,7,14
13,JH,49,117,6,14
14,KA,59,119,7,14
15,KL,59,120,8,14
16,LA,26,72,8,14
17,LD,123,123,12,15
18,MP,54,116,7,14
19,MH,52,115,6,14
20,MN,56,85,8,15
21,ML,58,86,7,15
22,MZ,51,125,6,8
23,NL,40,120,5,15
24,OR,54,123,7,15
25,PY,47,121,6,14
26,PB,53,120,6,14
27,RJ,72,119,9,14
28,SK,55,125,7,15
29,TN,38,123,6,15
30,TG,48,117,6,14
31,TR,50,83,6,15
32,UP,51,116,6,14
33,UT,53,119,6,14
34,WB,63,121,8,14
