,stateid,monthid,dose1,dose2
0,AP,1,313509,6234
1,AP,2,535907,231135
2,AP,3,3124117,347854
3,AP,4,1501011,1511119
4,AP,5,4208907,539594
5,AP,6,4507661,1213042
6,AP,7,4325029,2636234
7,AR,1,13274,456
8,AR,2,32895,12113
9,AR,3,78143,21131
10,AR,4,93077,43945
11,AR,5,124434,1467
12,AR,6,269940,45372
13,AR,7,89214,75253
14,AS,1,122161,2016
15,AS,2,348789,81914
16,AS,3,805990,193006
17,AS,4,1301599,450517
18,AS,5,1358147,226842
19,AS,6,3105574,477937
20,AS,7,4387793,1010668
21,BR,1,452936,55
22,BR,2,623967,293370
23,BR,3,3531752,323566
24,BR,4,2429528,1058089
25,BR,5,3170701,247486
26,BR,6,6268222,902798
27,BR,7,8690272,2033903
28,CH,1,6712,117
29,CH,2,31697,5656
30,CH,3,70394,15804
31,CH,4,97769,50550
32,CH,5,129710,3766
33,CH,6,184220,50248
34,CH,7,213077,118210
35,CT,1,247094,905
36,CT,2,453217,190068
37,CT,3,3436929,252981
38,CT,4,840867,598673
39,CT,5,126810,112717
40,CT,6,2546674,717330
41,CT,7,1621252,880384
42,DL,1,178176,1967
43,DL,2,320119,118839
44,DL,3,1472979,284907
45,DL,4,1410375,603230
46,DL,5,1308922,455142
47,DL,6,2311893,687169
48,DL,7,1248538,1113747
49,DN,1,4060,71
50,DN,2,10272,3171
51,DN,3,53527,6759
52,DN,4,20697,14769
53,DN,5,157228,1645
54,DN,6,247439,37276
55,DN,7,105157,26730
56,GA,1,13277,309
57,GA,2,42529,11400
58,GA,3,111637,23973
59,GA,4,165547,56849
60,GA,5,226676,5992
61,GA,6,395037,91750
62,GA,7,158112,139636
63,GJ,1,761549,6
64,GJ,2,1202758,515401
65,GJ,3,6658269,728804
66,GJ,4,2558194,2594915
67,GJ,5,4797791,768634
68,GJ,6,6006127,1911418
69,GJ,7,8234620,3104341
70,HP,1,76743,449
71,HP,2,90811,62871
72,HP,3,872123,54881
73,HP,4,727578,305945
74,HP,5,411546,11840
75,HP,6,1313152,519336
76,HP,7,1458836,558373
77,HR,1,177689,590
78,HR,2,194033,102275
79,HR,3,2172518,157879
80,HR,4,1387228,641485
81,HR,5,1865921,175245
82,HR,6,2526546,785815
83,HR,7,2168171,1328216
84,JH,1,196885,2122
85,JH,2,256157,138839
86,JH,3,1754463,165178
