,stateid,weekid,dose1,dose2
0,AP,1,4216,0
1,AP,2,66164,0
2,AP,3,63191,0
3,AP,4,112367,0
4,AP,5,67569,6233
5,AP,6,100311,81237
6,AP,7,122137,50342
7,AP,8,117103,45307
8,AP,9,195605,54193
9,AP,10,445838,61917
10,AP,11,667934,73728
11,AP,12,604379,47066
12,AP,13,714537,101863
13,AP,14,728589,76034
14,AP,15,533378,528629
15,AP,16,631642,392788
16,AP,17,261632,454871
17,AP,18,48122,193005
18,AP,19,79646,180783
19,AP,20,1710375,133539
20,AP,21,956613,90939
21,AP,22,1025779,47528
22,AP,23,593828,32276
23,AP,24,2069992,254321
24,AP,25,1251921,361815
25,AP,26,299752,204683
26,AP,27,1035127,644884
27,AP,28,402582,537279
28,AP,29,1186472,917332
29,AP,30,1380322,567504
30,AP,31,1039018,345116
31,AR,1,81,0
32,AR,2,2365,0
33,AR,3,4045,0
34,AR,4,2797,0
35,AR,5,3963,456
36,AR,6,6767,3764
37,AR,7,5885,2742
38,AR,8,11346,2690
39,AR,9,8860,2904
40,AR,10,10377,3944
41,AR,11,11366,3469
42,AR,12,10262,2651
43,AR,13,23642,6926
44,AR,14,32191,7263
45,AR,15,28718,9706
46,AR,16,27245,9099
47,AR,17,17836,14280
48,AR,18,11013,7987
49,AR,19,26396,191
50,AR,20,9292,198
51,AR,21,39729,330
52,AR,22,37188,429
53,AR,23,67181,593
54,AR,24,71623,1717
55,AR,25,64082,8122
56,AR,26,55752,22204
57,AR,27,37351,24789
58,AR,28,25971,22686
59,AR,29,17741,15395
60,AR,30,16958,8849
61,AR,31,12954,16353
62,AS,1,401,0
63,AS,2,3660,0
64,AS,3,26512,0
65,AS,4,47925,0
66,AS,5,43552,2006
67,AS,6,31279,8584
68,AS,7,42047,17168
69,AS,8,148225,24810
70,AS,9,126257,31299
71,AS,10,87796,24516
72,AS,11,332813,33017
73,AS,12,140106,32003
74,AS,13,205557,76554
75,AS,14,59332,40762
76,AS,15,297490,122152
77,AS,16,427578,140664
78,AS,17,325788,103004
79,AS,18,285358,74338
80,AS,19,306857,46646
81,AS,20,308167,49656
82,AS,21,220749,20593
83,AS,22,374072,69556
84,AS,23,427672,138079
85,AS,24,1389486,127319
86,AS,25,643862,111854
87,AS,26,263231,50524
88,AS,27,671272,181569
89,AS,28,720674,184910
90,AS,29,751281,217665
91,AS,30,1480218,220949
92,AS,31,1240836,292703
93,BR,1,2967,0
94,BR,2,35442,0
95,BR,3,67342,0
96,BR,4,224576,0
97,BR,5,121379,55
98,BR,6,67654,38347
99,BR,7,39961,39826
100,BR,8,84363,106740
101,BR,9,429095,107410
102,BR,10,379926,75699
103,BR,11,637591,40374
104,BR,12,672940,24127
105,BR,13,1190747,104666
106,BR,14,941202,145577
107,BR,15,585058,199000
108,BR,16,448482,237224
109,BR,17,375673,359313
110,BR,18,875670,211098
111,BR,19,612349,40111
112,BR,20,638997,43592
113,BR,21,652055,65897
114,BR,22,948946,67327
115,BR,23,1439227,131631
116,BR,24,2036374,137168
117,BR,25,1215113,220262
118,BR,26,1158201,278383
119,BR,27,1671900,436012
120,BR,28,1098865,293284
121,BR,29,1899663,487583
122,BR,30,2393761,508959
123,BR,31,2221859,459602
124,CH,1,120,0
125,CH,2,670,0
126,CH,3,1416,0
127,CH,4,1652,0
128,CH,5,2851,117
129,CH,6,3670,629
130,CH,7,6548,894
131,CH,8,10599,1513
132,CH,9,10773,2549
133,CH,10,9532,3134
134,CH,11,7357,2411
135,CH,12,19340,2062
136,CH,13,22216,4955
137,CH,14,20990,7256
138,CH,15,20260,11207
139,CH,16,25605,12890
140,CH,17,23846,13379
141,CH,18,23717,10676
142,CH,19,26558,950
143,CH,20,27027,232
144,CH,21,38028,244
145,CH,22,22874,633
146,CH,23,47250,1427
147,CH,24,44405,4400
148,CH,25,39330,13394
149,CH,26,33578,20091
150,CH,27,48697,22202
151,CH,28,38004,30968
152,CH,29,45069,26949
153,CH,30,64627,23069
154,CH,31,46970,26120
155,CT,1,1001,0
156,CT,2,10862,0
157,CT,3,44729,0
158,CT,4,95417,0
159,CT,5,94083,841
160,CT,6,92098,19581
161,CT,7,35240,30549
162,CT,8,133808,68503
163,CT,9,186249,70839
164,CT,10,376762,76392
165,CT,11,346289,37823
166,CT,12,868490,30943
167,CT,13,1394756,67377
168,CT,14,644864,86564
169,CT,15,332694,108307
170,CT,16,153667,140814
171,CT,17,81557,138946
172,CT,18,99283,193632
173,CT,19,33664,11220
174,CT,20,33832,11242
175,CT,21,23811,28498
176,CT,22,16590,26277
177,CT,23,20757,28275
178,CT,24,1015573,203500
179,CT,25,942359,262681
180,CT,26,324093,182849
181,CT,27,392510,146820
182,CT,28,370054,165567
183,CT,29,367534,164757
184,CT,30,483921,239660
185,CT,31,256296,210601
186,DL,1,892,0
187,DL,2,11420,0
188,DL,3,32446,0
189,DL,4,52734,0
190,DL,5,80682,1967
191,DL,6,112963,16306
192,DL,7,76562,20459
193,DL,8,59191,29532
194,DL,9,71391,52494
195,DL,10,80893,70747
196,DL,11,99515,51811
197,DL,12,532730,38432
198,DL,13,493931,75593
199,DL,14,415749,94245
200,DL,15,274836,114710
201,DL,16,216007,145011
202,DL,17,432516,150147
203,DL,18,420102,185393
204,DL,19,472965,104987
205,DL,20,211070,52037
206,DL,21,222480,81145
207,DL,22,267860,155638
208,DL,23,304796,137733
209,DL,24,685715,121819
210,DL,25,837050,206630
211,DL,26,347699,169735
212,DL,27,320221,135129
213,DL,28,155109,172376
214,DL,29,93217,280822
215,DL,30,361519,270569
