,stateid,vaccineratio
0,AR,NA
1,LA,NA
2,LD,NA
3,ML,NA
4,MN,NA
5,MZ,NA
6,NL,NA
7,PY,NA
8,SK,NA
9,DL,3.2226358859613375
10,TG,3.9342922614713425
11,JH,5.068698281285804
12,AP,5.130830187689343
13,TN,5.472254869147856
14,HR,5.971999336768843
15,PB,6.420520871690155
16,KA,6.517029515827747
17,MH,6.581431645641243
18,OR,6.60426715793856
19,WB,6.648719772578818
20,RJ,6.989184788656752
21,AS,7.02686555543597
22,UP,7.463291643377835
23,CT,7.700473841078766
24,MP,7.757634351540403
25,BR,7.840898433671514
26,GJ,8.367400018972639
27,KL,8.975497404781985
28,UT,12.731521753587913
29,JK,26.273585843143252
30,TR,48.21305489332166
31,GA,51.32934413189674
32,CH,216.75905477031802
33,HP,1948.8076575218572
34,DN,14669.404255319148
