state/ut,age-group-males,ratio-males,age-group-females,ratio-females
0.0,20-24,0.1227,20-24,0.1071
1.0,20-24,0.3175,20-24,0.2723
2.0,20-24,0.0835,15-19,0.0807
3.0,15-19,0.4462,15-19,0.4721
4.0,70+,0.5389,15-19,0.4242
5.0,20-24,0.0343,20-24,0.0276
6.0,20-24,0.0736,15-19,0.074
7.0,70+,0.2036,50-69,0.1201
8.0,20-24,0.0322,15-19,0.0256
9.0,20-24,0.0259,20-24,0.0227
10.0,20-24,0.0314,15-19,0.0287
11.0,15-19,0.437,15-19,0.4796
12.0,15-19,0.4805,15-19,0.4712
13.0,25-29,0.4219,20-24,0.3903
14.0,30-49,0.3522,20-24,0.2911
15.0,30-49,0.101,25-29,0.0563
16.0,25-29,0.1008,20-24,0.0655
17.0,30-49,0.1837,20-24,0.1283
18.0,30-49,0.2395,15-19,0.186
19.0,50-69,0.0605,20-24,0.0378
20.0,20-24,0.0834,15-19,0.0693
21.0,20-24,0.2491,15-19,0.2101
22.0,30-49,0.0266,20-24,0.0209
23.0,20-24,0.0312,15-19,0.0287
24.0,15-19,0.2581,15-19,0.2187
25.0,50-69,0.2234,15-19,0.2592
26.0,10-14,0.3297,15-19,0.3582
27.0,20-24,0.2853,15-19,0.2626
28.0,20-24,0.1438,15-19,0.1273
29.0,25-29,0.1939,20-24,0.1661
30.0,15-19,0.6625,15-19,0.7015
31.0,25-29,0.267,20-24,0.2571
32.0,20-24,0.1674,20-24,0.1714
33.0,20-24,0.0481,20-24,0.0437
34.0,50-69,0.0979,20-24,0.0773
35.0,15-19,0.2771,15-19,0.2988
