state-code,urban-percentage,rural-percentage,p-value
0.0,59.6009,80.4927,0.3324
1.0,41.2814,54.2467,0.5686
2.0,62.0673,84.1076,0.2795
3.0,42.7641,59.1611,0.5238
4.0,44.6449,59.5633,0.5921
5.0,69.7467,88.1308,0.2639
6.0,67.5437,83.2971,0.2708
7.0,58.9557,76.4432,0.3991
8.0,81.0762,91.7534,0.2366
9.0,73.1303,92.9706,0.2172
10.0,75.9184,84.9144,0.3161
11.0,25.2699,39.9933,0.8293
12.0,28.3859,38.2324,0.8676
13.0,25.7086,42.7692,0.7476
14.0,48.3618,52.6187,0.7458
15.0,67.3831,76.551,0.3326
16.0,71.9321,63.1795,0.5841
17.0,41.4524,80.0249,0.3474
18.0,39.0995,56.0494,0.5569
19.0,72.3052,88.7935,0.3564
20.0,62.0276,72.1081,0.3959
21.0,45.8336,71.3148,0.468
22.0,78.2826,89.3165,0.3035
23.0,77.6808,89.8599,0.2617
24.0,43.8961,67.0025,0.4294
25.0,51.9664,52.3163,0.6387
26.0,44.7984,39.7469,0.8652
27.0,34.9816,60.396,0.4905
28.0,62.0083,80.7273,0.3592
29.0,42.8165,71.33,0.4287
30.0,21.3389,25.1733,0.7214
31.0,70.1065,75.1997,0.3869
32.0,72.702,78.1728,0.3817
33.0,64.7,78.2688,0.3651
34.0,63.4934,79.5089,0.3932
35.0,26.9451,35.6371,0.7208
