state-code,male-percentage,female-percentage,p-value
0,71.7767,76.5411,0.3402
1,43.9409,55.9342,0.5498
2,80.3564,83.4826,0.3063
3,50.2428,56.1119,0.569
4,44.3915,45.8658,0.733
5,80.8718,84.3389,0.2707
6,75.8599,80.0137,0.2936
7,78.9011,80.6121,0.3641
8,87.6518,90.656,0.2682
9,87.0697,89.8135,0.2358
10,82.6017,85.3109,0.3022
11,33.9648,38.9027,0.8832
12,32.9871,39.1575,0.8541
13,35.4024,40.4705,0.8004
14,47.1504,55.664,0.5889
15,68.6383,74.9867,0.3854
16,61.9341,69.1531,0.402
17,70.4337,74.1542,0.4479
18,49.9393,57.5453,0.5183
19,81.2379,85.9593,0.2748
20,66.5919,70.8666,0.3957
21,62.9193,71.2966,0.4147
22,84.4046,86.5084,0.3029
23,85.4444,87.6223,0.2976
24,52.178,62.5797,0.4592
25,52.5885,51.1878,0.8479
26,41.5715,42.7992,0.7041
27,43.0924,51.4499,0.6019
28,50.7076,61.9074,0.4611
29,56.347,61.3943,0.5033
30,20.5314,25.1092,0.7316
31,92.7671,93.8613,0.4384
32,73.2139,77.7298,0.336
33,69.5586,73.8528,0.3462
34,70.7207,76.5019,0.3214
35,29.8185,35.2614,0.8146
