state-code,urban-percentage,rural-percentage,p-value
0.0,26.9743,15.2633,0.3324
1.0,34.3249,31.9334,0.5686
2.0,28.2793,11.3455,0.2795
3.0,22.6269,16.4453,0.5238
4.0,24.4112,25.4217,0.5921
5.0,26.4095,10.8658,0.2639
6.0,25.5846,13.2929,0.2708
7.0,32.7801,22.2505,0.3991
8.0,16.5937,7.0631,0.2366
9.0,23.908,6.2131,0.2172
10.0,20.5105,13.7182,0.3161
11.0,33.5614,34.1476,0.8293
12.0,31.901,34.3365,0.8676
13.0,33.782,35.4775,0.7476
14.0,22.7784,28.7784,0.7458
15.0,26.522,20.001,0.3326
16.0,19.0083,32.7108,0.5841
17.0,33.0832,14.7756,0.3474
18.0,29.4554,32.8738,0.5569
19.0,20.0747,10.1386,0.3564
20.0,29.6422,24.1713,0.3959
21.0,23.2652,19.0741,0.468
22.0,17.9256,9.6765,0.3035
23.0,18.8551,9.0694,0.2617
24.0,34.588,24.2604,0.4294
25.0,33.3807,34.754,0.6387
26.0,35.3641,38.5956,0.8652
27.0,38.1545,29.7382,0.4905
28.0,23.8776,15.0828,0.3592
29.0,32.7022,23.2037,0.4287
30.0,25.7872,27.3795,0.7214
31.0,14.0507,10.6075,0.3869
32.0,15.8234,14.041,0.3817
33.0,29.9202,20.2037,0.3651
34.0,28.6924,19.2186,0.3932
35.0,48.9609,48.2781,0.7208
