,State_Code,District_code,Area_name,Type,Age_grp,Total_Person,Total_Male,Total_Female,Illiterate_Person,Illiterate_Male,Illiterate_Female,Literate_Person,Literate_Male,Literate_Female,Literate but below primary_Person,Literate but below primary_Male,Literate but below primary_Female,Primary but below middle_Person,Primary but below middle_Male,Primary but below middle_Female,Middle but below matric/secondary_Person,Middle but below matric/secondary_Male,Middle but below matric/secondary_Female,Matric/Secondary but below graduate_Person,Matric/Secondary but below graduate_Male,Matric/Secondary but below graduate_Female,Graduate and above_Person,Graduate and above_Male,Graduate and above_Female
6,00,000,INDIA,Total,All ages,1210854977,623270258,587584719,447216165,188506636,258709529,763638812,434763622,328875190,146897597,78445099,68452498,184170833,99311072,84859761,133903266,77629578,56273688,192193344,116331881,75861463,68288971,42120460,26168511
7,00,000,INDIA,Total,0-6,164515253,85752254,78762999,164515253,85752254,78762999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,00,000,INDIA,Total,7,24826640,12903364,11923276,6748214,3388683,3359531,18078426,9514681,8563745,17517756,9190737,8327019,0,0,0,0,0,0,0,0,0,0,0,0
9,00,000,INDIA,Total,8,26968373,14061937,12906436,4131414,2013742,2117672,22836959,12048195,10788764,22389155,11793414,10595741,0,0,0,0,0,0,0,0,0,0,0,0
10,00,000,INDIA,Total,9,23424638,12214985,11209653,2491904,1198339,1293565,20932734,11016646,9916088,18171490,9579169,8592321,2399511,1231973,1167538,0,0,0,0,0,0,0,0,0
11,00,000,INDIA,Total,10,30552107,16089436,14462671,3454505,1661124,1793381,27097602,14428312,12669290,17762078,9528882,8233196,8861158,4627154,4234004,0,0,0,0,0,0,0,0,0
12,00,000,INDIA,Total,11,24740946,12962604,11778342,1988473,929328,1059145,22752473,12033276,10719197,7836217,4237528,3598689,14544842,7585285,6959557,0,0,0,0,0,0,0,0,0
13,00,000,INDIA,Total,12,27877307,14637892,13239415,2391529,1087320,1304209,25485778,13550572,11935206,4793012,2596541,2196471,17571686,9301648,8270038,2696535,1413978,1282557,0,0,0,0,0,0
14,00,000,INDIA,Total,13,24280683,12563775,11716908,1810476,790923,1019553,22470207,11772852,10697355,2237783,1194584,1043199,13011657,6853656,6158001,6844794,3518523,3326271,0,0,0,0,0,0
15,00,000,INDIA,Total,14,25258169,13165128,12093041,2100785,920460,1180325,23157384,12244668,10912716,1539790,817001,722789,8222860,4387739,3835121,12956804,6800377,6156427,0,0,0,0,0,0
16,00,000,INDIA,Total,15,25899454,13739746,12159708,2599957,1176626,1423331,23299497,12563120,10736377,1325607,722299,603308,5390635,2927513,2463122,10600612,5764655,4835957,5455958,2855043,2600915,0,0,0
17,00,000,INDIA,Total,16,24592293,13027935,11564358,2512487,1110878,1401609,22079806,11917057,10162749,1190288,645759,544529,3965107,2134030,1831077,7107478,3939977,3167501,9253218,4885541,4367677,0,0,0
18,00,000,INDIA,Total,17,21217467,11349449,9868018,2038455,880041,1158414,19179012,10469408,8709604,932441,512329,420112,2905770,1579151,1326619,4319163,2433895,1885268,10472756,5639883,4832873,0,0,0
19,00,000,INDIA,Total,18,27958147,15020851,12937296,3727975,1532188,2195787,24230172,13488663,10741509,1337978,742554,595424,4152873,2287038,1865835,4824720,2763224,2061496,13053864,7219535,5834329,0,0,0
20,00,000,INDIA,Total,19,20859088,10844415,10014673,2578674,935454,1643220,18280414,9908961,8371453,920256,479153,441103,2888656,1507317,1381339,3236136,1783164,1452972,10531272,5766025,4765247,0,0,0
21,00,000,INDIA,Total,20-24,111424222,57584693,53839529,18679492,6467026,12212466,92744730,51117667,41627063,5410189,2791396,2618793,16574003,8704663,7869340,16872720,9533146,7339574,36287019,20694910,15592109,13170028,7029489,6140539
22,00,000,INDIA,Total,25-29,101413965,51344208,50069757,22634440,7562339,15072101,78779525,43781869,34997656,5500554,2737935,2762619,15210359,7884838,7325521,14878622,8527972,6350650,24283160,14164990,10118170,14119774,7903752,6216022
23,00,000,INDIA,Total,30-34,88594951,44660674,43934277,24329560,8030750,16298810,64265391,36629924,27635467,5300109,2612830,2687279,12951372,6703962,6247410,11970932,7032851,4938081,19645021,11993462,7651559,10341988,6112575,4229413
24,00,000,INDIA,Total,35-39,85140684,42919381,42221303,27863127,9338968,18524159,57277557,33580413,23697144,5659501,2856229,2803272,12288099,6434966,5853133,10283749,6201133,4082616,17086577,10922007,6164570,8173370,5121959,3051411
25,00,000,INDIA,Total,40-44,72438112,37545386,34892726,26806872,9655032,17151840,45631240,27890354,17740886,5284019,2833671,2450348,10103182,5521883,4581299,7775277,4895118,2880159,13008751,8693881,4314870,6326586,4202356,2124230
26,00,000,INDIA,Total,45-49,62318327,32138114,30180213,25077763,9015516,16062247,37240564,23122598,14117966,4959760,2749378,2210382,8795402,4933720,3861682,6019029,3858714,2160315,9903233,6716866,3186367,4919451,3395939,1523512
27,00,000,INDIA,Total,50-54,49069254,25843266,23225988,20822208,7801013,13021195,28247046,18042253,10204793,4008855,2284410,1724445,6808270,3971123,2837147,4350307,2885435,1464872,7332358,5108225,2224133,3694020,2628625,1065395
28,00,000,INDIA,Total,55-59,39146055,19456012,19690043,17682081,5705728,11976353,21463974,13750284,7713690,3186098,1764346,1421752,5167170,2972493,2194677,3089459,2058127,1031332,5541272,3953366,1587906,2868480,2120540,747940
29,00,000,INDIA,Total,60-64,37663707,18701749,18961958,19989439,7024725,12964714,17674268,11677024,5997244,3067703,1782876,1284827,4587619,2803327,1784292,2396768,1662081,734687,4133573,3075929,1057644,1973967,1514324,459643
30,00,000,INDIA,Total,65-69,26454983,12944326,13510657,14829607,5145133,9684474,11625376,7799193,3826183,2381245,1430887,950358,3033591,1922936,1110655,1477355,1041615,435740,2557373,1943825,613548,1089553,864263,225290
31,00,000,INDIA,Total,70-74,19208842,9651499,9557343,11568624,4369752,7198872,7640218,5281747,2358471,1726047,1094774,631273,2048788,1368272,680516,887026,646602,240424,1525383,1192867,332516,661941,535931,126010
32,00,000,INDIA,Total,75-79,9232503,4490603,4741900,5361192,1890685,3470507,3871311,2599918,1271393,950043,582371,367672,1020269,655496,364773,427468,301083,126385,744997,575919,169078,327998,268932,59066
