,State_code,District_code,Area_name,Age_grp,T_P,T_M,T_F,R_P,R_M,R_F,U_P,U_M,U_F
1,00,000,India,0-4,112806778,58632074,54174704,82986660,43036377,39950283,29820118,15595697,14224421
3,00,000,India,10-14,132709212,69418835,63290377,96804494,50488158,46316336,35904718,18930677,16974041
4,00,000,India,15-19,120526449,63982396,56544053,83902472,44570557,39331915,36623977,19411839,17212138
5,00,000,India,20-24,111424222,57584693,53839529,73835046,38138662,35696384,37589176,19446031,18143145
6,00,000,India,25-29,101413965,51344208,50069757,66068270,33375989,32692281,35345695,17968219,17377476
684,00,000,India,30-49,308492074,157263555,151228519,202243722,102489258,99754464,106248352,54774297,51474055
2,00,000,India,5-9,126928126,66300466,60627660,93807612,48825259,44982353,33120514,17475207,15645307
685,00,000,India,50-69,152333999,76945353,75388646,103100817,51465979,51634838,49233182,25479374,23753808
686,00,000,India,70+,39730350,19425797,20304553,28086307,13857399,14228908,11644043,5568398,6075645
18,00,000,India,Age not stated,4489802,2372881,2116921,2913452,1533420,1380032,1576350,839461,736889
0,00,000,India,All ages,1210854977,623270258,587584719,833748852,427781058,405967794,377106125,195489200,181616925
20,01,000,State - JAMMU & KASHMIR (01),0-4,1414884,763501,651383,1115289,600891,514398,299595,162610,136985
22,01,000,State - JAMMU & KASHMIR (01),10-14,1413853,744855,668998,1097236,575511,521725,316617,169344,147273
23,01,000,State - JAMMU & KASHMIR (01),15-19,1237462,640362,597100,926108,477098,449010,311354,163264,148090
24,01,000,State - JAMMU & KASHMIR (01),20-24,1160913,603578,557335,827361,423292,404069,333552,180286,153266
25,01,000,State - JAMMU & KASHMIR (01),25-29,1086122,584559,501563,738568,385544,353024,347554,199015,148539
687,01,000,State - JAMMU & KASHMIR (01),30-49,3069723,1636310,1433413,2084143,1089354,994789,985580,546956,438624
21,01,000,State - JAMMU & KASHMIR (01),5-9,1411973,746818,665155,1109056,584994,524062,302917,161824,141093
688,01,000,State - JAMMU & KASHMIR (01),50-69,1335288,704522,630766,914212,480465,433747,421076,224057,197019
689,01,000,State - JAMMU & KASHMIR (01),70+,395965,206410,189555,285244,150469,134775,110721,55941,54780
37,01,000,State - JAMMU & KASHMIR (01),Age not stated,15119,9747,5372,10843,6859,3984,4276,2888,1388
19,01,000,State - JAMMU & KASHMIR (01),All ages,12541302,6640662,5900640,9108060,4774477,4333583,3433242,1866185,1567057
39,02,000,State - HIMACHAL PRADESH (02),0-4,544984,285011,259973,500931,261743,239188,44053,23268,20785
41,02,000,State - HIMACHAL PRADESH (02),10-14,639224,338240,300984,580265,305500,274765,58959,32740,26219
42,02,000,State - HIMACHAL PRADESH (02),15-19,640461,336729,303732,575991,300554,275437,64470,36175,28295
43,02,000,State - HIMACHAL PRADESH (02),20-24,643866,323720,320146,573439,285167,288272,70427,38553,31874
44,02,000,State - HIMACHAL PRADESH (02),25-29,589160,290125,299035,523605,255016,268589,65555,35109,30446
690,02,000,State - HIMACHAL PRADESH (02),30-49,1905011,949394,955617,1690078,835804,854274,214933,113590,101343
40,02,000,State - HIMACHAL PRADESH (02),5-9,591177,311457,279720,537559,282441,255118,53618,29016,24602
691,02,000,State - HIMACHAL PRADESH (02),50-69,987526,494820,492706,893863,443071,450792,93663,51749,41914
692,02,000,State - HIMACHAL PRADESH (02),70+,313030,147024,166006,290933,136150,154783,22097,10874,11223
56,02,000,State - HIMACHAL PRADESH (02),Age not stated,10163,5353,4810,9386,4899,4487,777,454,323
38,02,000,State - HIMACHAL PRADESH (02),All ages,6864602,3481873,3382729,6176050,3110345,3065705,688552,371528,317024
58,03,000,State - PUNJAB (03),0-4,2133529,1149956,983573,1351369,729984,621385,782160,419972,362188
60,03,000,State - PUNJAB (03),10-14,2583402,1445530,1137872,1668828,931366,737462,914574,514164,400410
61,03,000,State - PUNJAB (03),15-19,2817683,1570180,1247503,1814427,1003831,810596,1003256,566349,436907
62,03,000,State - PUNJAB (03),20-24,2776636,1465531,1311105,1706833,888739,818094,1069803,576792,493011
63,03,000,State - PUNJAB (03),25-29,2463861,1270405,1193456,1455456,738196,717260,1008405,532209,476196
693,03,000,State - PUNJAB (03),30-49,7481850,3820738,3661112,4533934,2292006,2241928,2947916,1528732,1419184
59,03,000,State - PUNJAB (03),5-9,2368019,1301682,1066337,1507022,827905,679117,860997,473777,387220
694,03,000,State - PUNJAB (03),50-69,3927197,2004798,1922399,2469843,1249308,1220535,1457354,755490,701864
