,State,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F
0,0,India,Total,249501663,1210854977,623270258,587584719
1,0,India,Rural,168612897,833748852,427781058,405967794
2,0,India,Urban,80888766,377106125,195489200,181616925
3,1,JAMMU & KASHMIR,Total,2119718,12541302,6640662,5900640
4,1,JAMMU & KASHMIR,Rural,1553433,9108060,4774477,4333583
5,1,JAMMU & KASHMIR,Urban,566285,3433242,1866185,1567057
72,2,HIMACHAL PRADESH,Total,1483280,6864602,3481873,3382729
73,2,HIMACHAL PRADESH,Rural,1312510,6176050,3110345,3065705
74,2,HIMACHAL PRADESH,Urban,170770,688552,371528,317024
111,3,PUNJAB,Total,5513071,27743338,14639465,13103873
112,3,PUNJAB,Rural,3358113,17344192,9093476,8250716
113,3,PUNJAB,Urban,2154958,10399146,5545989,4853157
174,4,CHANDIGARH,Total,241173,1055450,580663,474787
175,4,CHANDIGARH,Rural,7140,28991,17150,11841
176,4,CHANDIGARH,Urban,234033,1026459,563513,462946
180,5,UTTARAKHAND,Total,2056975,10086292,5137773,4948519
181,5,UTTARAKHAND,Rural,1425086,7036954,3519042,3517912
182,5,UTTARAKHAND,Urban,631889,3049338,1618731,1430607
222,6,HARYANA,Total,4857524,25351462,13494734,11856728
223,6,HARYANA,Rural,3043756,16509359,8774006,7735353
224,6,HARYANA,Urban,1813768,8842103,4720728,4121375
288,7,NCT OF DELHI,Total,3435999,16787941,8987326,7800615
289,7,NCT OF DELHI,Rural,79574,419042,226321,192721
290,7,NCT OF DELHI,Urban,3356425,16368899,8761005,7607894
318,8,RAJASTHAN,Total,12711146,68548437,35550997,32997440
319,8,RAJASTHAN,Rural,9494903,51500352,26641747,24858605
320,8,RAJASTHAN,Urban,3216243,17048085,8909250,8138835
420,9,UTTAR PRADESH,Total,33448035,199812341,104480510,95331831
421,9,UTTAR PRADESH,Rural,25685942,155317278,80992995,74324283
422,9,UTTAR PRADESH,Urban,7762093,44495063,23487515,21007548
636,10,BIHAR,Total,18913565,104099452,54278157,49821295
637,10,BIHAR,Rural,16862940,92341436,48073850,44267586
638,10,BIHAR,Urban,2050625,11758016,6204307,5553709
753,11,SIKKIM,Total,129006,610577,323070,287507
754,11,SIKKIM,Rural,93288,456999,242797,214202
755,11,SIKKIM,Urban,35718,153578,80273,73305
768,12,ARUNACHAL PRADESH,Total,270577,1383727,713912,669815
769,12,ARUNACHAL PRADESH,Rural,200210,1066358,546011,520347
770,12,ARUNACHAL PRADESH,Urban,70367,317369,167901,149468
819,13,NAGALAND,Total,396002,1978502,1024649,953853
820,13,NAGALAND,Rural,277491,1407536,725472,682064
821,13,NAGALAND,Urban,118511,570966,299177,271789
855,14,MANIPUR,Total,557859,2855794,1438586,1417208
856,14,MANIPUR,Rural,385520,2021640,1026884,994756
857,14,MANIPUR,Urban,172339,834154,411702,422452
885,15,MIZORAM,Total,222853,1097206,555339,541867
886,15,MIZORAM,Rural,105812,525435,269135,256300
887,15,MIZORAM,Urban,117041,571771,286204,285567
912,16,TRIPURA,Total,855556,3673917,1874376,1799541
913,16,TRIPURA,Rural,616582,2712464,1387173,1325291
914,16,TRIPURA,Urban,238974,961453,487203,474250
927,17,MEGHALAYA,Total,548059,2966889,1491832,1475057
928,17,MEGHALAYA,Rural,430573,2371439,1194260,1177179
929,17,MEGHALAYA,Urban,117486,595450,297572,297878
951,18,ASSAM,Total,6406471,31205576,15939443,15266133
952,18,ASSAM,Rural,5420877,26807034,13678989,13128045
953,18,ASSAM,Urban,985594,4398542,2260454,2138088
1035,19,WEST BENGAL,Total,20380315,91276115,46809027,44467088
1036,19,WEST BENGAL,Rural,13813165,62183113,31844945,30338168
1037,19,WEST BENGAL,Urban,6567150,29093002,14964082,14128920
1095,20,JHARKHAND,Total,6254781,32988134,16930315,16057819
1096,20,JHARKHAND,Rural,4729369,25055073,12776486,12278587
1097,20,JHARKHAND,Urban,1525412,7933061,4153829,3779232
1170,21,ODISHA,Total,9637820,41974218,21212136,20762082
1171,21,ODISHA,Rural,8089987,34970562,17586203,17384359
1172,21,ODISHA,Urban,1547833,7003656,3625933,3377723
1263,22,CHHATTISGARH,Total,5650724,25545198,12832895,12712303
1264,22,CHHATTISGARH,Rural,4365568,19607961,9797426,9810535
1265,22,CHHATTISGARH,Urban,1285156,5937237,3035469,2901768
1320,23,MADHYA PRADESH,Total,15093256,72626809,37612306,35014503
1321,23,MADHYA PRADESH,Rural,11080278,52557404,27149388,25408016
1322,23,MADHYA PRADESH,Urban,4012978,20069405,10462918,9606487
1473,24,GUJARAT,Total,12248428,60439692,31491260,28948432
1474,24,GUJARAT,Rural,6773558,34694609,17799159,16895450
1475,24,GUJARAT,Urban,5474870,25745083,13692101,12052982
1554,25,DAMAN & DIU,Total,60956,243247,150301,92946
1555,25,DAMAN & DIU,Rural,12744,60396,32395,28001
1556,25,DAMAN & DIU,Urban,48212,182851,117906,64945
1563,26,DADRA & NAGAR HAVELI,Total,76458,343709,193760,149949
1564,26,DADRA & NAGAR HAVELI,Rural,36094,183114,98305,84809
1565,26,DADRA & NAGAR HAVELI,Urban,40364,160595,95455,65140
1569,27,MAHARASHTRA,Total,24421519,112374333,58243056,54131277
1570,27,MAHARASHTRA,Rural,13214738,61556074,31539034,30017040
1571,27,MAHARASHTRA,Urban,11206781,50818259,26704022,24114237
1677,28,ANDHRA PRADESH,Total,21022588,84580777,42442146,42138631
1678,28,ANDHRA PRADESH,Rural,14234387,56361702,28243241,28118461
1679,28,ANDHRA PRADESH,Urban,6788201,28219075,14198905,14020170
1749,29,KARNATAKA,Total,13357027,61095297,30966657,30128640
1750,29,KARNATAKA,Rural,7946657,37469335,18929354,18539981
1751,29,KARNATAKA,Urban,5410370,23625962,12037303,11588659
1842,30,GOA,Total,343611,1458545,739140,719405
1843,30,GOA,Rural,128208,551731,275436,276295
1844,30,GOA,Urban,215403,906814,463704,443110
1851,31,LAKSHADWEEP,Total,11574,64473,33123,31350
1852,31,LAKSHADWEEP,Rural,2710,14141,7243,6898
1853,31,LAKSHADWEEP,Urban,8864,50332,25880,24452
1857,32,KERALA,Total,7853754,33406061,16027412,17378649
1858,32,KERALA,Rural,4149641,17471135,8408054,9063081
1859,32,KERALA,Urban,3704113,15934926,7619358,8315568
1902,33,TAMIL NADU,Total,18524982,72147030,36137975,36009055
1903,33,TAMIL NADU,Rural,9528495,37229590,18679065,18550525
1904,33,TAMIL NADU,Urban,8996487,34917440,17458910,17458530
2001,34,PUDUCHERRY,Total,302450,1247953,612511,635442
2002,34,PUDUCHERRY,Rural,95018,395200,194907,200293
2003,34,PUDUCHERRY,Urban,207432,852753,417604,435149
2016,35,ANDAMAN & NICOBAR ISLANDS,Total,94551,380581,202871,177710
