,state,code,language,first,second,third
0,ANDAMAN & NICOBAR ISLANDS,35,ASSAMESE,115,26,66
1,ANDAMAN & NICOBAR ISLANDS,35,BENGALI ,108432,1353,1408
2,ANDAMAN & NICOBAR ISLANDS,35,BODO ,5,0,0
3,ANDAMAN & NICOBAR ISLANDS,35,DOGRI ,67,3,4
4,ANDAMAN & NICOBAR ISLANDS,35,GUJARATI,241,28,37
5,ANDAMAN & NICOBAR ISLANDS,35,HINDI ,73424,222554,7991
6,ANDAMAN & NICOBAR ISLANDS,35,KANNADA,239,21,39
7,ANDAMAN & NICOBAR ISLANDS,35,KASHMIRI ,34,0,0
8,ANDAMAN & NICOBAR ISLANDS,35,KONKANI,99,5,7
9,ANDAMAN & NICOBAR ISLANDS,35,MAITHILI ,134,13,8
10,ANDAMAN & NICOBAR ISLANDS,35,MALAYALAM,27475,606,605
11,ANDAMAN & NICOBAR ISLANDS,35,MANIPURI ,43,1,2
12,ANDAMAN & NICOBAR ISLANDS,35,MARATHI ,639,48,69
13,ANDAMAN & NICOBAR ISLANDS,35,NEPALI ,949,22,20
14,ANDAMAN & NICOBAR ISLANDS,35,ODIA ,1106,104,119
15,ANDAMAN & NICOBAR ISLANDS,35,PUNJABI ,1565,137,149
16,ANDAMAN & NICOBAR ISLANDS,35,SANSKRIT ,1,24,90
17,ANDAMAN & NICOBAR ISLANDS,35,SANTALI ,307,3,0
18,ANDAMAN & NICOBAR ISLANDS,35,SINDHI,14,1,2
19,ANDAMAN & NICOBAR ISLANDS,35,TAMIL ,57830,1654,5509
20,ANDAMAN & NICOBAR ISLANDS,35,TELUGU ,50404,487,1684
21,ANDAMAN & NICOBAR ISLANDS,35,URDU,1277,465,330
22,ANDAMAN & NICOBAR ISLANDS,35,ANGAMI ,1,0,0
23,ANDAMAN & NICOBAR ISLANDS,35,ARABIC/ARBI ,4,55,92
24,ANDAMAN & NICOBAR ISLANDS,35,BHILI/BHILODI ,3,0,0
25,ANDAMAN & NICOBAR ISLANDS,35,BHOTIA ,1,0,0
26,ANDAMAN & NICOBAR ISLANDS,35,BHUMIJ ,378,0,2
27,ANDAMAN & NICOBAR ISLANDS,35,CHAKRU/CHOKRI ,5,0,0
28,ANDAMAN & NICOBAR ISLANDS,35,COORGI/KODAGU ,26,0,0
29,ANDAMAN & NICOBAR ISLANDS,35,DIMASA ,2,1,0
30,ANDAMAN & NICOBAR ISLANDS,35,ENGLISH ,69,29250,54188
31,ANDAMAN & NICOBAR ISLANDS,35,GARO ,1,0,0
32,ANDAMAN & NICOBAR ISLANDS,35,GONDI,4,0,0
33,ANDAMAN & NICOBAR ISLANDS,35,HO,3,0,0
34,ANDAMAN & NICOBAR ISLANDS,35,KARBI/MIKIR ,1,0,0
35,ANDAMAN & NICOBAR ISLANDS,35,KHARIA ,4069,43,4
36,ANDAMAN & NICOBAR ISLANDS,35,KHASI ,10,0,0
37,ANDAMAN & NICOBAR ISLANDS,35,KHOND/KONDH ,1,0,0
38,ANDAMAN & NICOBAR ISLANDS,35,KISAN ,1,0,0
39,ANDAMAN & NICOBAR ISLANDS,35,KORKU ,1,0,0
40,ANDAMAN & NICOBAR ISLANDS,35,KUKI,5,0,0
41,ANDAMAN & NICOBAR ISLANDS,35,KURUKH/ORAON ,15064,213,22
42,ANDAMAN & NICOBAR ISLANDS,35,LAKHER,1,0,0
43,ANDAMAN & NICOBAR ISLANDS,35,LEPCHA ,1,0,0
44,ANDAMAN & NICOBAR ISLANDS,35,LOTHA ,6,0,0
45,ANDAMAN & NICOBAR ISLANDS,35,LUSHAI/MIZO ,11,0,0
46,ANDAMAN & NICOBAR ISLANDS,35,MAO,2,0,0
47,ANDAMAN & NICOBAR ISLANDS,35,MARING ,1,0,0
48,ANDAMAN & NICOBAR ISLANDS,35,MUNDA,3797,30,5
49,ANDAMAN & NICOBAR ISLANDS,35,MUNDARI ,833,13,4
50,ANDAMAN & NICOBAR ISLANDS,35,NICOBARESE ,28912,30,39
51,ANDAMAN & NICOBAR ISLANDS,35,PAITE,1,0,0
52,ANDAMAN & NICOBAR ISLANDS,35,PHOM ,2,0,0
53,ANDAMAN & NICOBAR ISLANDS,35,RAI ,1,0,0
54,ANDAMAN & NICOBAR ISLANDS,35,SAVARA,9,0,0
55,ANDAMAN & NICOBAR ISLANDS,35,THADO ,4,0,0
56,ANDAMAN & NICOBAR ISLANDS,35,TIBETAN ,1,0,0
57,ANDAMAN & NICOBAR ISLANDS,35,TRIPURI ,26,0,0
58,ANDAMAN & NICOBAR ISLANDS,35,VAIPHEI ,5,0,0
59,ANDAMAN & NICOBAR ISLANDS,35,ZEMI ,2,0,0
60,ANDAMAN & NICOBAR ISLANDS,35,ZOU ,2,0,0
61,ANDAMAN & NICOBAR ISLANDS,35,OTHERS,2915,234,210
