,state,code,language,first,second,third
0,ANDHRA PRADESH,28,ASSAMESE,2648,251,391
1,ANDHRA PRADESH,28,BENGALI ,57804,5321,6319
2,ANDHRA PRADESH,28,BODO ,606,109,12
3,ANDHRA PRADESH,28,DOGRI ,769,110,55
4,ANDHRA PRADESH,28,GUJARATI,58946,4413,3042
5,ANDHRA PRADESH,28,HINDI ,3120413,4525353,3000569
6,ANDHRA PRADESH,28,KANNADA,534144,625794,82201
7,ANDHRA PRADESH,28,KASHMIRI ,576,15,16
8,ANDHRA PRADESH,28,KONKANI,2729,154,141
9,ANDHRA PRADESH,28,MAITHILI ,2827,136,74
10,ANDHRA PRADESH,28,MALAYALAM,61147,3922,3687
11,ANDHRA PRADESH,28,MANIPURI ,1356,25,49
12,ANDHRA PRADESH,28,MARATHI ,674928,151567,62553
13,ANDHRA PRADESH,28,NEPALI ,11551,582,281
14,ANDHRA PRADESH,28,ODIA ,361471,112163,20864
15,ANDHRA PRADESH,28,PUNJABI ,24413,1824,1872
16,ANDHRA PRADESH,28,SANSKRIT ,493,7528,5772
17,ANDHRA PRADESH,28,SANTALI ,226,5,5
18,ANDHRA PRADESH,28,SINDHI,11299,248,92
19,ANDHRA PRADESH,28,TAMIL ,713848,369407,67285
20,ANDHRA PRADESH,28,TELUGU ,70667780,7134028,373591
21,ANDHRA PRADESH,28,URDU,7505623,186227,23820
22,ANDHRA PRADESH,28,ADI ,50,1,0
23,ANDHRA PRADESH,28,AFGHANI/KABULI/PASHTO ,15,0,1
24,ANDHRA PRADESH,28,ANAL ,2,0,0
25,ANDHRA PRADESH,28,ANGAMI ,19,3,1
26,ANDHRA PRADESH,28,AO ,29,0,0
27,ANDHRA PRADESH,28,ARABIC/ARBI ,1278,15823,12594
28,ANDHRA PRADESH,28,BHILI/BHILODI ,5329,99,74
29,ANDHRA PRADESH,28,BHOTIA ,141,8,1
30,ANDHRA PRADESH,28,BHUMIJ ,8,3,1
31,ANDHRA PRADESH,28,CHAKHESANG ,1,0,0
32,ANDHRA PRADESH,28,CHAKRU/CHOKRI ,2,0,0
33,ANDHRA PRADESH,28,CHANG ,4,0,1
34,ANDHRA PRADESH,28,COORGI/KODAGU ,62,1,0
35,ANDHRA PRADESH,28,DEORI ,8,0,0
36,ANDHRA PRADESH,28,DIMASA ,17,82,44
37,ANDHRA PRADESH,28,ENGLISH ,13049,8366481,2668251
38,ANDHRA PRADESH,28,GADABA ,7589,2018,113
39,ANDHRA PRADESH,28,GARO ,151,121,0
40,ANDHRA PRADESH,28,GONDI,214233,4819,4614
41,ANDHRA PRADESH,28,HALABI,7,2,5
42,ANDHRA PRADESH,28,HALAM ,6,0,0
43,ANDHRA PRADESH,28,HMAR,16,0,0
44,ANDHRA PRADESH,28,HO,15,0,1
45,ANDHRA PRADESH,28,JATAPU ,19913,8730,71
46,ANDHRA PRADESH,28,KABUI ,33,0,0
47,ANDHRA PRADESH,28,KHANDESHI,9,1,2
48,ANDHRA PRADESH,28,KHARIA ,77,5,1
49,ANDHRA PRADESH,28,KHASI ,31,2,4
50,ANDHRA PRADESH,28,KHEZHA ,7,0,0
51,ANDHRA PRADESH,28,KHOND/KONDH ,39564,10126,301
52,ANDHRA PRADESH,28,KINNAURI ,12,1,1
53,ANDHRA PRADESH,28,KOCH ,11,0,0
54,ANDHRA PRADESH,28,KODA/KORA ,78,2,0
55,ANDHRA PRADESH,28,KOLAMI ,39120,497,139
56,ANDHRA PRADESH,28,KOM,7,0,0
57,ANDHRA PRADESH,28,KONDA,58115,8331,867
58,ANDHRA PRADESH,28,KONYAK ,6,0,0
59,ANDHRA PRADESH,28,KORKU ,3,8,0
60,ANDHRA PRADESH,28,KORWA ,22,15,0
61,ANDHRA PRADESH,28,KOYA ,262560,13514,499
62,ANDHRA PRADESH,28,KUI ,1549,753,5
63,ANDHRA PRADESH,28,KUKI,79,1,3
64,ANDHRA PRADESH,28,KURUKH/ORAON ,66,7,3
65,ANDHRA PRADESH,28,LADAKHI ,5,0,0
66,ANDHRA PRADESH,28,LAHAULI ,2,0,0
67,ANDHRA PRADESH,28,LAHNDA ,6007,97,79
