,state,code,language,first,second,third
0,ARUNACHAL PRADESH,12,ASSAMESE,53951,98171,87230
1,ARUNACHAL PRADESH,12,BENGALI ,100579,1181,1929
2,ARUNACHAL PRADESH,12,BODO ,7095,68,68
3,ARUNACHAL PRADESH,12,DOGRI ,994,71,31
4,ARUNACHAL PRADESH,12,GUJARATI,362,13,10
5,ARUNACHAL PRADESH,12,HINDI ,98187,630555,139733
6,ARUNACHAL PRADESH,12,KANNADA,536,22,31
7,ARUNACHAL PRADESH,12,KASHMIRI ,108,4,2
8,ARUNACHAL PRADESH,12,KONKANI,55,0,0
9,ARUNACHAL PRADESH,12,MAITHILI ,2963,77,58
10,ARUNACHAL PRADESH,12,MALAYALAM,4012,28,35
11,ARUNACHAL PRADESH,12,MANIPURI ,2835,44,70
12,ARUNACHAL PRADESH,12,MARATHI ,2297,65,51
13,ARUNACHAL PRADESH,12,NEPALI ,95317,1887,4409
14,ARUNACHAL PRADESH,12,ODIA ,6820,77,90
15,ARUNACHAL PRADESH,12,PUNJABI ,3674,349,272
16,ARUNACHAL PRADESH,12,SANSKRIT ,28,91,385
17,ARUNACHAL PRADESH,12,SANTALI ,1689,30,22
18,ARUNACHAL PRADESH,12,SINDHI,12,0,0
19,ARUNACHAL PRADESH,12,TAMIL ,1246,49,78
20,ARUNACHAL PRADESH,12,TELUGU ,1653,32,56
21,ARUNACHAL PRADESH,12,URDU,1294,386,166
22,ARUNACHAL PRADESH,12,ADI ,240026,1043,583
23,ARUNACHAL PRADESH,12,AFGHANI/KABULI/PASHTO ,202,0,0
24,ARUNACHAL PRADESH,12,ANAL ,12,0,0
25,ARUNACHAL PRADESH,12,ANGAMI ,44,0,0
26,ARUNACHAL PRADESH,12,AO ,1891,0,3
27,ARUNACHAL PRADESH,12,ARABIC/ARBI ,12,4,7
28,ARUNACHAL PRADESH,12,BALTI ,2,0,0
29,ARUNACHAL PRADESH,12,BHILI/BHILODI ,8,5,0
30,ARUNACHAL PRADESH,12,BHOTIA ,62458,90,117
31,ARUNACHAL PRADESH,12,BHUMIJ ,2,0,0
32,ARUNACHAL PRADESH,12,BISHNUPURIYA,64,0,1
33,ARUNACHAL PRADESH,12,CHAKHESANG ,2,0,0
34,ARUNACHAL PRADESH,12,CHAKRU/CHOKRI ,3,0,0
35,ARUNACHAL PRADESH,12,CHANG ,762,1,0
36,ARUNACHAL PRADESH,12,COORGI/KODAGU ,1,0,0
37,ARUNACHAL PRADESH,12,DEORI ,4844,6,5
38,ARUNACHAL PRADESH,12,DIMASA ,215,5,0
39,ARUNACHAL PRADESH,12,ENGLISH ,108,138744,180503
40,ARUNACHAL PRADESH,12,GADABA ,1,0,0
41,ARUNACHAL PRADESH,12,GANGTE ,4,0,0
42,ARUNACHAL PRADESH,12,GARO ,6597,17,4
43,ARUNACHAL PRADESH,12,GONDI,46,0,1
44,ARUNACHAL PRADESH,12,HALABI,1,0,3
45,ARUNACHAL PRADESH,12,HALAM ,31,2,2
46,ARUNACHAL PRADESH,12,HMAR,14,0,0
47,ARUNACHAL PRADESH,12,HO,6,0,0
48,ARUNACHAL PRADESH,12,KABUI ,44,0,0
49,ARUNACHAL PRADESH,12,KARBI/MIKIR ,1536,16,0
50,ARUNACHAL PRADESH,12,KHARIA ,218,0,0
51,ARUNACHAL PRADESH,12,KHASI ,210,14,27
52,ARUNACHAL PRADESH,12,KHEZHA ,7,0,0
53,ARUNACHAL PRADESH,12,KHIEMNUNGAN,9,0,0
54,ARUNACHAL PRADESH,12,KINNAURI ,6,0,1
55,ARUNACHAL PRADESH,12,KISAN ,101,0,0
56,ARUNACHAL PRADESH,12,KOCH ,11,0,0
57,ARUNACHAL PRADESH,12,KOM,2,0,0
58,ARUNACHAL PRADESH,12,KONYAK ,8,0,0
59,ARUNACHAL PRADESH,12,KORKU ,8,0,0
60,ARUNACHAL PRADESH,12,KORWA ,69,0,0
61,ARUNACHAL PRADESH,12,KOYA ,1,0,0
62,ARUNACHAL PRADESH,12,KUI ,1,0,0
63,ARUNACHAL PRADESH,12,KUKI,121,2,1
64,ARUNACHAL PRADESH,12,KURUKH/ORAON ,969,4,1
65,ARUNACHAL PRADESH,12,LADAKHI ,17,6,15
66,ARUNACHAL PRADESH,12,LAHAULI ,12,0,0
67,ARUNACHAL PRADESH,12,LAHNDA ,2,0,0
68,ARUNACHAL PRADESH,12,LAKHER,10,0,0
69,ARUNACHAL PRADESH,12,LALUNG ,10,0,0
70,ARUNACHAL PRADESH,12,LEPCHA ,10,0,0
71,ARUNACHAL PRADESH,12,LIANGMEI ,1,0,0
72,ARUNACHAL PRADESH,12,LIMBU ,120,4,3
73,ARUNACHAL PRADESH,12,LOTHA ,54,0,0
74,ARUNACHAL PRADESH,12,LUSHAI/MIZO ,1431,14,22
75,ARUNACHAL PRADESH,12,MALTO ,2,0,0
76,ARUNACHAL PRADESH,12,MAO,89,0,0
77,ARUNACHAL PRADESH,12,MARAM,49,0,0
78,ARUNACHAL PRADESH,12,MARING ,1,0,0
79,ARUNACHAL PRADESH,12,MIRI/MISHING,10402,291,314
80,ARUNACHAL PRADESH,12,MISHMI ,42017,92,58
81,ARUNACHAL PRADESH,12,MOGH ,55,0,0
82,ARUNACHAL PRADESH,12,MONPA ,12398,9257,212
83,ARUNACHAL PRADESH,12,MUNDA,1427,0,3
84,ARUNACHAL PRADESH,12,MUNDARI ,1378,23,13
85,ARUNACHAL PRADESH,12,NICOBARESE ,1,0,0
86,ARUNACHAL PRADESH,12,NISSI/DAFLA ,395745,1632,508
87,ARUNACHAL PRADESH,12,NOCTE ,30308,42,53
88,ARUNACHAL PRADESH,12,PAITE,60,0,0
89,ARUNACHAL PRADESH,12,PARJI ,89,0,0
90,ARUNACHAL PRADESH,12,PHOM ,649,0,1
91,ARUNACHAL PRADESH,12,RABHA ,89,6,13
92,ARUNACHAL PRADESH,12,RAI ,3897,53,14
93,ARUNACHAL PRADESH,12,RENGMA ,30,0,0
94,ARUNACHAL PRADESH,12,SANGTAM ,3,0,0
95,ARUNACHAL PRADESH,12,SAVARA,243,1,0
96,ARUNACHAL PRADESH,12,SEMA,93,1,1
97,ARUNACHAL PRADESH,12,SHERPA ,211,5,2
98,ARUNACHAL PRADESH,12,TAMANG ,1057,7,6
99,ARUNACHAL PRADESH,12,TANGKHUL ,50,0,0
100,ARUNACHAL PRADESH,12,TANGSA,36546,171,72
101,ARUNACHAL PRADESH,12,THADO ,58,0,0
102,ARUNACHAL PRADESH,12,TIBETAN ,4557,335,655
103,ARUNACHAL PRADESH,12,TRIPURI ,90,1,0
104,ARUNACHAL PRADESH,12,TULU ,1,3,0
105,ARUNACHAL PRADESH,12,VAIPHEI ,9,0,0
106,ARUNACHAL PRADESH,12,WANCHO,58450,39,10
107,ARUNACHAL PRADESH,12,YIMCHUNGRE,5,0,0
108,ARUNACHAL PRADESH,12,ZELIANG ,6,0,0
109,ARUNACHAL PRADESH,12,ZEMI ,3,0,0
110,ARUNACHAL PRADESH,12,ZOU ,2,0,0
111,ARUNACHAL PRADESH,12,OTHERS,75606,809,591
