,state,code,language,first,second,third
0,ASSAM,18,ASSAMESE,15095797,6868167,347229
1,ASSAM,18,BENGALI ,9024324,2524346,346860
2,ASSAM,18,BODO ,1416125,54986,19004
3,ASSAM,18,DOGRI ,1561,240,89
4,ASSAM,18,GUJARATI,7660,1165,795
5,ASSAM,18,HINDI ,2101435,3383470,2390899
6,ASSAM,18,KANNADA,2597,141,178
7,ASSAM,18,KASHMIRI ,357,15,14
8,ASSAM,18,KONKANI,413,4,4
9,ASSAM,18,MAITHILI ,6034,359,144
10,ASSAM,18,MALAYALAM,5768,163,177
11,ASSAM,18,MANIPURI ,168133,4553,2310
12,ASSAM,18,MARATHI ,11641,579,369
13,ASSAM,18,NEPALI ,596210,63709,44661
14,ASSAM,18,ODIA ,218552,39615,12766
15,ASSAM,18,PUNJABI ,23313,1553,2004
16,ASSAM,18,SANSKRIT ,104,3141,3833
17,ASSAM,18,SANTALI ,213139,4204,1890
18,ASSAM,18,SINDHI,19646,1914,872
19,ASSAM,18,TAMIL ,5229,564,858
20,ASSAM,18,TELUGU ,26630,486,531
21,ASSAM,18,URDU,8293,5522,8583
22,ASSAM,18,ADI ,3705,287,220
23,ASSAM,18,AFGHANI/KABULI/PASHTO ,173,5,4
24,ASSAM,18,ANAL ,35,0,0
25,ASSAM,18,ANGAMI ,87,1,4
26,ASSAM,18,AO ,4092,232,211
27,ASSAM,18,ARABIC/ARBI ,3127,10224,9420
28,ASSAM,18,BALTI ,4,0,0
29,ASSAM,18,BHILI/BHILODI ,3038,53,3
30,ASSAM,18,BHOTIA ,128,34,44
31,ASSAM,18,BHUMIJ ,952,31,40
32,ASSAM,18,BISHNUPURIYA,53867,292,110
33,ASSAM,18,CHAKHESANG ,709,1,1
34,ASSAM,18,CHAKRU/CHOKRI ,34,0,0
35,ASSAM,18,CHANG ,125,1,0
36,ASSAM,18,COORGI/KODAGU ,15,0,0
37,ASSAM,18,DEORI ,27441,1690,285
38,ASSAM,18,DIMASA ,131474,838,653
39,ASSAM,18,ENGLISH ,1287,1386611,1123537
40,ASSAM,18,GANGTE ,54,0,0
41,ASSAM,18,GARO ,172520,6272,7026
