,state,code,language,first,second,third
0,BIHAR,10,ASSAMESE,2087,1177,268
1,BIHAR,10,BENGALI ,810771,103808,27347
2,BIHAR,10,BODO ,19,6,2
3,BIHAR,10,DOGRI ,254,41,6
4,BIHAR,10,GUJARATI,8297,3281,3104
5,BIHAR,10,HINDI ,80698466,11958561,376485
6,BIHAR,10,KANNADA,492,144,48
7,BIHAR,10,KASHMIRI ,986,22,15
8,BIHAR,10,KONKANI,23,1,1
9,BIHAR,10,MAITHILI ,13063042,580450,36072
10,BIHAR,10,MALAYALAM,1220,216,72
11,BIHAR,10,MANIPURI ,238,51,4
12,BIHAR,10,MARATHI ,1975,738,264
13,BIHAR,10,NEPALI ,5727,5607,2261
14,BIHAR,10,ODIA ,3188,556,171
15,BIHAR,10,PUNJABI ,10467,4136,1497
16,BIHAR,10,SANSKRIT ,3388,56476,97991
17,BIHAR,10,SANTALI ,458949,24507,1248
18,BIHAR,10,SINDHI,2227,281,50
19,BIHAR,10,TAMIL ,986,374,119
20,BIHAR,10,TELUGU ,1467,361,574
21,BIHAR,10,URDU,8770002,1448160,77282
22,BIHAR,10,ADI ,44,10,8
23,BIHAR,10,AFGHANI/KABULI/PASHTO ,5,1,0
24,BIHAR,10,ANAL ,1,0,0
25,BIHAR,10,ANGAMI ,2,0,0
26,BIHAR,10,ARABIC/ARBI ,25144,528746,202418
27,BIHAR,10,BALTI ,108,0,0
28,BIHAR,10,BHILI/BHILODI ,1448,729,5
29,BIHAR,10,BHOTIA ,15,0,0
30,BIHAR,10,BHUMIJ ,963,0,0
31,BIHAR,10,BISHNUPURIYA,1616,699,6
32,BIHAR,10,CHANG ,123,18,2
33,BIHAR,10,COORGI/KODAGU ,489,1,0
34,BIHAR,10,DIMASA ,2,3,0
35,BIHAR,10,ENGLISH ,4652,2005414,825602
36,BIHAR,10,GADABA ,1,2,0
37,BIHAR,10,GARO ,4,1,0
38,BIHAR,10,GONDI,21,3,0
39,BIHAR,10,HALABI,1,0,0
40,BIHAR,10,HALAM ,2,3,0
41,BIHAR,10,HO,1890,29,5
42,BIHAR,10,JATAPU ,5,0,0
43,BIHAR,10,KABUI ,2,0,0
44,BIHAR,10,KHANDESHI,4,0,0
45,BIHAR,10,KHARIA ,1600,60,3
46,BIHAR,10,KHASI ,1,7,2
47,BIHAR,10,KHEZHA ,237,0,1
48,BIHAR,10,KHOND/KONDH ,6,0,0
49,BIHAR,10,KINNAURI ,4,0,1
50,BIHAR,10,KOCH ,73,0,0
51,BIHAR,10,KODA/KORA ,468,5,0
52,BIHAR,10,KONDA,3,0,0
53,BIHAR,10,KONYAK ,2,0,0
54,BIHAR,10,KORKU ,98,0,0
55,BIHAR,10,KORWA ,31,0,0
56,BIHAR,10,KUKI,7,0,0
57,BIHAR,10,KURUKH/ORAON ,87995,3193,131
58,BIHAR,10,LADAKHI ,25,7,1
59,BIHAR,10,LAHAULI ,26,1,1
60,BIHAR,10,LAHNDA ,1,1,0
61,BIHAR,10,LAKHER,10,1,0
62,BIHAR,10,LEPCHA ,1,0,0
63,BIHAR,10,LIMBU ,2,0,0
64,BIHAR,10,LOTHA ,1,0,0
65,BIHAR,10,LUSHAI/MIZO ,92,5,9
66,BIHAR,10,MALTO ,75986,0,0
67,BIHAR,10,MAO,3,0,0
68,BIHAR,10,MIRI/MISHING,4,0,0
69,BIHAR,10,MISHMI ,6,0,0
70,BIHAR,10,MOGH ,6,1,0
71,BIHAR,10,MONPA ,1,0,0
72,BIHAR,10,MUNDA,1612,58,11
73,BIHAR,10,MUNDARI ,2468,460,16
74,BIHAR,10,NISSI/DAFLA ,14,4,0
75,BIHAR,10,NOCTE ,1,0,0
76,BIHAR,10,PAITE,1,0,0
77,BIHAR,10,RABHA ,2,8,2
78,BIHAR,10,RAI ,159,0,0
79,BIHAR,10,SAVARA,125,0,0
80,BIHAR,10,TANGKHUL ,5,1,0
81,BIHAR,10,TANGSA,3,1,0
82,BIHAR,10,THADO ,6,2,0
83,BIHAR,10,TIBETAN ,20,9,10
84,BIHAR,10,TRIPURI ,7,1,0
85,BIHAR,10,TULU ,434,236,77
86,BIHAR,10,YIMCHUNGRE,1,0,0
87,BIHAR,10,OTHERS,47092,33106,29379
