,state,code,language,first,second,third
0,CHANDIGARH,04,ASSAMESE,435,41,29
1,CHANDIGARH,04,BENGALI ,6236,863,461
2,CHANDIGARH,04,BODO ,6,0,0
3,CHANDIGARH,04,DOGRI ,1047,167,114
4,CHANDIGARH,04,GUJARATI,1573,249,139
5,CHANDIGARH,04,HINDI ,776775,156588,59241
6,CHANDIGARH,04,KANNADA,425,27,47
7,CHANDIGARH,04,KASHMIRI ,1330,98,54
8,CHANDIGARH,04,KONKANI,86,0,3
9,CHANDIGARH,04,MAITHILI ,3164,462,82
10,CHANDIGARH,04,MALAYALAM,1979,50,40
11,CHANDIGARH,04,MANIPURI ,460,13,17
12,CHANDIGARH,04,MARATHI ,1252,207,147
13,CHANDIGARH,04,NEPALI ,6546,953,155
14,CHANDIGARH,04,ODIA ,1942,142,59
15,CHANDIGARH,04,PUNJABI ,232516,137633,95451
16,CHANDIGARH,04,SANSKRIT ,13,420,929
17,CHANDIGARH,04,SANTALI ,42,9,2
18,CHANDIGARH,04,SINDHI,134,7,5
19,CHANDIGARH,04,TAMIL ,5579,174,87
20,CHANDIGARH,04,TELUGU ,1339,76,48
21,CHANDIGARH,04,URDU,10595,5060,1533
22,CHANDIGARH,04,ADI ,2,0,0
23,CHANDIGARH,04,AFGHANI/KABULI/PASHTO ,20,3,1
24,CHANDIGARH,04,ANGAMI ,2,0,0
25,CHANDIGARH,04,AO ,4,0,0
26,CHANDIGARH,04,ARABIC/ARBI ,47,116,114
27,CHANDIGARH,04,BALTI ,2,0,2
28,CHANDIGARH,04,BHILI/BHILODI ,2,0,0
29,CHANDIGARH,04,BHOTIA ,54,35,35
30,CHANDIGARH,04,BISHNUPURIYA,4,0,0
31,CHANDIGARH,04,COORGI/KODAGU ,6,0,0
32,CHANDIGARH,04,ENGLISH ,436,276202,162634
33,CHANDIGARH,04,GONDI,3,0,0
34,CHANDIGARH,04,HMAR,3,0,0
35,CHANDIGARH,04,KABUI ,10,0,0
36,CHANDIGARH,04,KHANDESHI,1,2,0
37,CHANDIGARH,04,KHARIA ,4,2,4
38,CHANDIGARH,04,KHASI ,12,0,0
39,CHANDIGARH,04,KINNAURI ,56,3,17
40,CHANDIGARH,04,KONDA,4,0,0
41,CHANDIGARH,04,KORWA ,1,0,0
42,CHANDIGARH,04,KURUKH/ORAON ,39,0,2
43,CHANDIGARH,04,LADAKHI ,269,1,1
44,CHANDIGARH,04,LAHAULI ,23,0,1
45,CHANDIGARH,04,LAHNDA ,97,6,5
46,CHANDIGARH,04,LEPCHA ,8,0,0
47,CHANDIGARH,04,LOTHA ,1,0,0
48,CHANDIGARH,04,LUSHAI/MIZO ,22,0,0
49,CHANDIGARH,04,MALTO ,2,0,0
50,CHANDIGARH,04,MAO,2,0,0
51,CHANDIGARH,04,MUNDA,63,9,3
52,CHANDIGARH,04,MUNDARI ,45,1,0
53,CHANDIGARH,04,NICOBARESE ,12,0,0
54,CHANDIGARH,04,SAVARA,3,0,0
55,CHANDIGARH,04,TAMANG ,4,0,0
56,CHANDIGARH,04,TANGKHUL ,7,2,0
57,CHANDIGARH,04,TIBETAN ,40,5,2
58,CHANDIGARH,04,TRIPURI ,11,0,0
59,CHANDIGARH,04,TULU ,8,43,16
60,CHANDIGARH,04,ZOU ,4,0,0
61,CHANDIGARH,04,OTHERS,643,249,498
