,state,code,language,first,second,third
0,CHHATTISGARH,22,ASSAMESE,1595,203,344
1,CHHATTISGARH,22,BENGALI ,243597,9499,3377
2,CHHATTISGARH,22,BODO ,88,10,4
3,CHHATTISGARH,22,DOGRI ,747,90,36
4,CHHATTISGARH,22,GUJARATI,39116,6605,1470
5,CHHATTISGARH,22,HINDI ,21361927,2486339,73184
6,CHHATTISGARH,22,KANNADA,2028,173,216
7,CHHATTISGARH,22,KASHMIRI ,171,15,13
8,CHHATTISGARH,22,KONKANI,173,10,19
9,CHHATTISGARH,22,MAITHILI ,9094,2150,205
10,CHHATTISGARH,22,MALAYALAM,23370,1060,349
11,CHHATTISGARH,22,MANIPURI ,202,18,8
12,CHHATTISGARH,22,MARATHI ,144035,33008,4699
13,CHHATTISGARH,22,NEPALI ,3431,1298,131
14,CHHATTISGARH,22,ODIA ,913581,25695,8427
15,CHHATTISGARH,22,PUNJABI ,65425,11129,1759
16,CHHATTISGARH,22,SANSKRIT ,290,5032,10828
17,CHHATTISGARH,22,SANTALI ,17862,603,59
18,CHHATTISGARH,22,SINDHI,93424,13365,584
19,CHHATTISGARH,22,TAMIL ,10334,958,489
20,CHHATTISGARH,22,TELUGU ,152100,26609,13867
21,CHHATTISGARH,22,URDU,79962,52454,4342
22,CHHATTISGARH,22,ADI ,9,0,0
23,CHHATTISGARH,22,AFGHANI/KABULI/PASHTO ,103,0,1
24,CHHATTISGARH,22,ANGAMI ,5,0,0
25,CHHATTISGARH,22,AO ,16,0,0
26,CHHATTISGARH,22,ARABIC/ARBI ,397,3291,3433
27,CHHATTISGARH,22,BHILI/BHILODI ,936,43,5
28,CHHATTISGARH,22,BHOTIA ,19,1,0
29,CHHATTISGARH,22,BHUMIJ ,10,2,2
30,CHHATTISGARH,22,CHAKHESANG ,1,0,0
31,CHHATTISGARH,22,CHANG ,49,0,0
32,CHHATTISGARH,22,COORGI/KODAGU ,198,0,0
33,CHHATTISGARH,22,DIMASA ,11,1,2
34,CHHATTISGARH,22,ENGLISH ,1398,357327,225320
35,CHHATTISGARH,22,GARO ,12,1,0
36,CHHATTISGARH,22,GONDI,1071400,48594,13451
37,CHHATTISGARH,22,HALABI,706304,176800,43786
38,CHHATTISGARH,22,HALAM ,2,0,0
39,CHHATTISGARH,22,HMAR,1,0,0
40,CHHATTISGARH,22,HO,1408,26,5
41,CHHATTISGARH,22,KABUI ,6,0,0
42,CHHATTISGARH,22,KARBI/MIKIR ,1,0,0
43,CHHATTISGARH,22,KHANDESHI,1173,279,40
44,CHHATTISGARH,22,KHARIA ,6492,328,16
45,CHHATTISGARH,22,KHASI ,5,2,2
46,CHHATTISGARH,22,KHEZHA ,4,0,0
47,CHHATTISGARH,22,KHOND/KONDH ,1,0,0
48,CHHATTISGARH,22,KINNAURI ,5,0,0
49,CHHATTISGARH,22,KISAN ,8,1,0
50,CHHATTISGARH,22,KOCH ,1,0,0
51,CHHATTISGARH,22,KODA/KORA ,15,2,0
52,CHHATTISGARH,22,KONDA,18,25,2
53,CHHATTISGARH,22,KORKU ,317,27,0
54,CHHATTISGARH,22,KORWA ,19212,320,9
55,CHHATTISGARH,22,KOYA ,740,0,0
56,CHHATTISGARH,22,KUKI,7,3,6
57,CHHATTISGARH,22,KURUKH/ORAON ,516778,14137,252
58,CHHATTISGARH,22,LADAKHI ,15,0,0
59,CHHATTISGARH,22,LAHNDA ,944,10,4
60,CHHATTISGARH,22,LAKHER,7,0,1
61,CHHATTISGARH,22,LIMBU ,2,0,0
62,CHHATTISGARH,22,LUSHAI/MIZO ,24,2,3
63,CHHATTISGARH,22,MALTO ,198,0,0
64,CHHATTISGARH,22,MAO,2,0,0
65,CHHATTISGARH,22,MARING ,2,0,0
66,CHHATTISGARH,22,MIRI/MISHING,1,0,0
67,CHHATTISGARH,22,MOGH ,1,0,0
68,CHHATTISGARH,22,MUNDA,3105,70,13
69,CHHATTISGARH,22,MUNDARI ,537,75,9
70,CHHATTISGARH,22,NISSI/DAFLA ,9,0,0
71,CHHATTISGARH,22,NOCTE ,1,0,0
72,CHHATTISGARH,22,PAITE,5,0,0
73,CHHATTISGARH,22,PARJI ,45344,3763,1798
74,CHHATTISGARH,22,RABHA ,1,0,0
75,CHHATTISGARH,22,SAVARA,5,0,0
76,CHHATTISGARH,22,SEMA,1,0,0
77,CHHATTISGARH,22,TANGKHUL ,3,0,0
78,CHHATTISGARH,22,THADO ,1,1,0
79,CHHATTISGARH,22,TIBETAN ,961,7,1
80,CHHATTISGARH,22,TRIPURI ,23,1,0
81,CHHATTISGARH,22,TULU ,32,11,9
82,CHHATTISGARH,22,VAIPHEI ,1,0,0
83,CHHATTISGARH,22,ZELIANG ,6,0,0
84,CHHATTISGARH,22,OTHERS,4353,102748,9988
