,state,code,language,first,second,third
0,DADRA & NAGAR HAVELI,26,ASSAMESE,957,87,42
1,DADRA & NAGAR HAVELI,26,BENGALI ,3116,286,143
2,DADRA & NAGAR HAVELI,26,BODO ,28,0,0
3,DADRA & NAGAR HAVELI,26,DOGRI ,3,4,0
4,DADRA & NAGAR HAVELI,26,GUJARATI,73831,81158,11581
5,DADRA & NAGAR HAVELI,26,HINDI ,89905,72570,35166
6,DADRA & NAGAR HAVELI,26,KANNADA,886,38,42
7,DADRA & NAGAR HAVELI,26,KASHMIRI ,11,1,0
8,DADRA & NAGAR HAVELI,26,KONKANI,7756,238,149
9,DADRA & NAGAR HAVELI,26,MAITHILI ,2187,212,28
10,DADRA & NAGAR HAVELI,26,MALAYALAM,2172,28,18
11,DADRA & NAGAR HAVELI,26,MANIPURI ,81,0,0
12,DADRA & NAGAR HAVELI,26,MARATHI ,24105,25992,4245
13,DADRA & NAGAR HAVELI,26,NEPALI ,1152,92,8
14,DADRA & NAGAR HAVELI,26,ODIA ,4463,39,18
15,DADRA & NAGAR HAVELI,26,PUNJABI ,414,77,53
16,DADRA & NAGAR HAVELI,26,SANSKRIT ,2,68,79
17,DADRA & NAGAR HAVELI,26,SANTALI ,57,3,2
18,DADRA & NAGAR HAVELI,26,SINDHI,471,3,8
19,DADRA & NAGAR HAVELI,26,TAMIL ,739,38,36
20,DADRA & NAGAR HAVELI,26,TELUGU ,778,26,21
21,DADRA & NAGAR HAVELI,26,URDU,1089,563,203
22,DADRA & NAGAR HAVELI,26,ADI ,1,0,4
23,DADRA & NAGAR HAVELI,26,BHILI/BHILODI ,128078,991,179
24,DADRA & NAGAR HAVELI,26,BHUMIJ ,8,0,0
25,DADRA & NAGAR HAVELI,26,ENGLISH ,282,15999,19267
26,DADRA & NAGAR HAVELI,26,GONDI,3,4,0
27,DADRA & NAGAR HAVELI,26,HO,5,0,0
28,DADRA & NAGAR HAVELI,26,KARBI/MIKIR ,5,0,0
29,DADRA & NAGAR HAVELI,26,KHANDESHI,355,5,8
30,DADRA & NAGAR HAVELI,26,KHARIA ,5,0,0
31,DADRA & NAGAR HAVELI,26,KHEZHA ,2,0,0
32,DADRA & NAGAR HAVELI,26,KODA/KORA ,5,0,0
33,DADRA & NAGAR HAVELI,26,KOM,3,0,0
34,DADRA & NAGAR HAVELI,26,KURUKH/ORAON ,4,1,0
35,DADRA & NAGAR HAVELI,26,MIRI/MISHING,9,0,0
36,DADRA & NAGAR HAVELI,26,MUNDA,9,0,0
37,DADRA & NAGAR HAVELI,26,MUNDARI ,13,0,0
38,DADRA & NAGAR HAVELI,26,THADO ,3,0,0
39,DADRA & NAGAR HAVELI,26,TRIPURI ,6,0,1
40,DADRA & NAGAR HAVELI,26,TULU ,44,2,2
41,DADRA & NAGAR HAVELI,26,OTHERS,666,421,203
