,state,code,language,first,second,third
0,DAMAN & DIU,25,ASSAMESE,1201,59,14
1,DAMAN & DIU,25,BENGALI ,5232,422,156
2,DAMAN & DIU,25,BODO ,50,0,0
3,DAMAN & DIU,25,DOGRI ,2,0,0
4,DAMAN & DIU,25,GUJARATI,123648,9116,2615
5,DAMAN & DIU,25,HINDI ,88312,92674,4342
6,DAMAN & DIU,25,KANNADA,457,26,25
7,DAMAN & DIU,25,KASHMIRI ,3,0,0
8,DAMAN & DIU,25,KONKANI,142,7,4
9,DAMAN & DIU,25,MAITHILI ,1044,120,6
10,DAMAN & DIU,25,MALAYALAM,1229,19,7
11,DAMAN & DIU,25,MANIPURI ,22,0,0
12,DAMAN & DIU,25,MARATHI ,11008,927,907
13,DAMAN & DIU,25,NEPALI ,1401,62,24
14,DAMAN & DIU,25,ODIA ,4421,42,12
15,DAMAN & DIU,25,PUNJABI ,222,72,38
16,DAMAN & DIU,25,SANSKRIT ,2,31,64
17,DAMAN & DIU,25,SANTALI ,81,11,0
18,DAMAN & DIU,25,SINDHI,423,15,7
19,DAMAN & DIU,25,TAMIL ,320,14,16
20,DAMAN & DIU,25,TELUGU ,464,24,37
21,DAMAN & DIU,25,URDU,1032,694,555
22,DAMAN & DIU,25,ADI ,2,0,0
23,DAMAN & DIU,25,ARABIC/ARBI ,15,28,41
24,DAMAN & DIU,25,BHILI/BHILODI ,518,60,24
25,DAMAN & DIU,25,COORGI/KODAGU ,2,0,0
26,DAMAN & DIU,25,ENGLISH ,183,11683,25547
27,DAMAN & DIU,25,KHANDESHI,14,0,0
28,DAMAN & DIU,25,KHARIA ,6,0,0
29,DAMAN & DIU,25,KHEZHA ,3,0,0
30,DAMAN & DIU,25,KOM,4,0,0
31,DAMAN & DIU,25,KONDA,2,0,0
32,DAMAN & DIU,25,KURUKH/ORAON ,21,0,0
33,DAMAN & DIU,25,MUNDA,3,0,0
34,DAMAN & DIU,25,MUNDARI ,5,0,0
35,DAMAN & DIU,25,POCHURY,1,0,0
36,DAMAN & DIU,25,RABHA ,7,0,0
37,DAMAN & DIU,25,TRIPURI ,5,0,0
38,DAMAN & DIU,25,TULU ,24,3,3
39,DAMAN & DIU,25,OTHERS,1716,520,158
