,state,code,language,first,second,third
0,GOA,30,ASSAMESE,1107,58,73
1,GOA,30,BENGALI ,7099,532,454
2,GOA,30,BODO ,62,6,8
3,GOA,30,DOGRI ,105,7,18
4,GOA,30,GUJARATI,6846,703,528
5,GOA,30,HINDI ,150017,224112,403791
6,GOA,30,KANNADA,67923,17682,8982
7,GOA,30,KASHMIRI ,372,42,14
8,GOA,30,KONKANI,964305,129395,55210
9,GOA,30,MAITHILI ,289,45,17
10,GOA,30,MALAYALAM,12983,413,282
11,GOA,30,MANIPURI ,367,21,21
12,GOA,30,MARATHI ,158787,286042,113338
13,GOA,30,NEPALI ,2600,136,48
14,GOA,30,ODIA ,5558,228,144
15,GOA,30,PUNJABI ,1959,362,390
16,GOA,30,SANSKRIT ,1055,1591,1505
17,GOA,30,SANTALI ,103,14,3
18,GOA,30,SINDHI,656,25,10
19,GOA,30,TAMIL ,6947,477,436
20,GOA,30,TELUGU ,11116,455,434
21,GOA,30,URDU,41242,5408,1939
22,GOA,30,ADI ,10,1,0
23,GOA,30,AFGHANI/KABULI/PASHTO ,14,1,0
24,GOA,30,ANAL ,4,0,0
25,GOA,30,ANGAMI ,22,0,0
26,GOA,30,AO ,5,0,0
27,GOA,30,ARABIC/ARBI ,73,121,169
28,GOA,30,BHILI/BHILODI ,2665,900,341
29,GOA,30,BHOTIA ,2,1,0
30,GOA,30,CHAKHESANG ,2,0,0
31,GOA,30,CHANG ,1,0,0
32,GOA,30,COORGI/KODAGU ,57,0,0
33,GOA,30,DIMASA ,2,0,0
34,GOA,30,ENGLISH ,9765,452908,146982
35,GOA,30,GARO ,13,2,0
36,GOA,30,GONDI,234,77,52
37,GOA,30,HALABI,26,2,0
38,GOA,30,HMAR,2,0,0
39,GOA,30,KABUI ,2,0,0
40,GOA,30,KARBI/MIKIR ,1,0,0
41,GOA,30,KHANDESHI,9,2,0
42,GOA,30,KHARIA ,76,4,1
43,GOA,30,KHASI ,16,1,0
44,GOA,30,KHEZHA ,1,0,0
45,GOA,30,KINNAURI ,2,0,0
46,GOA,30,KOCH ,1,0,0
47,GOA,30,KOLAMI ,160,16,10
48,GOA,30,KOM,111,0,0
49,GOA,30,KONDA,9,0,1
50,GOA,30,KORKU ,362,46,16
51,GOA,30,KORWA ,5,0,0
52,GOA,30,KUI ,1,0,0
53,GOA,30,KUKI,1,0,0
54,GOA,30,KURUKH/ORAON ,213,30,7
55,GOA,30,LADAKHI ,4,0,0
56,GOA,30,LAHNDA ,85,121,52
57,GOA,30,LEPCHA ,1,0,2
58,GOA,30,LIANGMEI ,1,0,0
59,GOA,30,LIMBU ,1,0,0
60,GOA,30,LOTHA ,2,0,0
61,GOA,30,LUSHAI/MIZO ,35,2,2
62,GOA,30,MALTO ,5,0,3
63,GOA,30,MAO,3,0,0
64,GOA,30,MIRI/MISHING,3,0,0
65,GOA,30,MISHMI ,1,0,0
66,GOA,30,MUNDA,71,4,0
67,GOA,30,MUNDARI ,71,5,0
68,GOA,30,NISSI/DAFLA ,2,0,0
69,GOA,30,PAITE,1,0,0
70,GOA,30,PARJI ,1,0,0
71,GOA,30,RENGMA ,1,0,0
72,GOA,30,SANGTAM ,1,0,0
73,GOA,30,SAVARA,8,1,0
74,GOA,30,SEMA,4,0,0
75,GOA,30,SHERPA ,1,0,0
76,GOA,30,TAMANG ,2,0,0
77,GOA,30,TANGKHUL ,14,0,5
78,GOA,30,TANGSA,4,0,0
79,GOA,30,TIBETAN ,53,0,2
80,GOA,30,TRIPURI ,1,0,0
81,GOA,30,TULU ,929,33,47
82,GOA,30,YIMCHUNGRE,1,0,0
83,GOA,30,ZELIANG ,1,0,0
84,GOA,30,OTHERS,1873,4120,5911
