,state,code,language,first,second,third
0,GUJARAT,24,ASSAMESE,3935,361,257
1,GUJARAT,24,BENGALI ,79648,9480,5441
2,GUJARAT,24,BODO ,138,3,2
3,GUJARAT,24,DOGRI ,2026,212,72
4,GUJARAT,24,GUJARATI,51958730,3525146,471882
5,GUJARAT,24,HINDI ,4264868,20817592,1285707
6,GUJARAT,24,KANNADA,18033,1541,1182
7,GUJARAT,24,KASHMIRI ,1111,55,32
8,GUJARAT,24,KONKANI,5092,127,55
9,GUJARAT,24,MAITHILI ,10864,1295,350
10,GUJARAT,24,MALAYALAM,64998,1020,745
11,GUJARAT,24,MANIPURI ,408,7,10
12,GUJARAT,24,MARATHI ,920345,106063,66610
13,GUJARAT,24,NEPALI ,25142,1759,820
14,GUJARAT,24,ODIA ,183549,1012,274
15,GUJARAT,24,PUNJABI ,63288,8260,4882
16,GUJARAT,24,SANSKRIT ,720,12988,44784
17,GUJARAT,24,SANTALI ,297,19,2
18,GUJARAT,24,SINDHI,1184024,133234,27821
19,GUJARAT,24,TAMIL ,40072,1789,1485
20,GUJARAT,24,TELUGU ,73568,1653,1417
21,GUJARAT,24,URDU,479206,159769,129510
22,GUJARAT,24,ADI ,48,0,3
23,GUJARAT,24,AFGHANI/KABULI/PASHTO ,78,23,8
24,GUJARAT,24,ANAL ,3,6,0
25,GUJARAT,24,ANGAMI ,14,2,0
26,GUJARAT,24,AO ,2,0,0
27,GUJARAT,24,ARABIC/ARBI ,324,6794,9018
28,GUJARAT,24,BHILI/BHILODI ,825942,14458,2271
29,GUJARAT,24,BHOTIA ,6,0,0
30,GUJARAT,24,BHUMIJ ,9,2,0
31,GUJARAT,24,BISHNUPURIYA,14,16,1
32,GUJARAT,24,COORGI/KODAGU ,33,2,0
33,GUJARAT,24,DIMASA ,3,3,5
34,GUJARAT,24,ENGLISH ,4224,1018367,6494835
35,GUJARAT,24,GANGTE ,1,0,0
36,GUJARAT,24,GARO ,14,59,1
37,GUJARAT,24,GONDI,630,3,3
38,GUJARAT,24,HALABI,1053,13,15
39,GUJARAT,24,HALAM ,1,0,0
40,GUJARAT,24,HMAR,2,0,0
41,GUJARAT,24,HO,86,0,0
42,GUJARAT,24,KARBI/MIKIR ,1,0,0
43,GUJARAT,24,KHANDESHI,153622,7918,505
44,GUJARAT,24,KHARIA ,71,0,3
45,GUJARAT,24,KHASI ,24,0,2
46,GUJARAT,24,KHEZHA ,6,0,1
47,GUJARAT,24,KHOND/KONDH ,2,0,0
48,GUJARAT,24,KINNAURI ,5,0,0
49,GUJARAT,24,KODA/KORA ,17,1,0
50,GUJARAT,24,KOM,3,0,2
51,GUJARAT,24,KONDA,7,0,0
52,GUJARAT,24,KORWA ,8,0,1
53,GUJARAT,24,KOYA ,29,2,2
54,GUJARAT,24,KUI ,8,1,0
55,GUJARAT,24,KUKI,81,8,4
56,GUJARAT,24,KURUKH/ORAON ,116,18,2
57,GUJARAT,24,LADAKHI ,12,0,1
58,GUJARAT,24,LAHNDA ,3681,8,5
59,GUJARAT,24,LAKHER,4,2,0
60,GUJARAT,24,LEPCHA ,1,0,0
61,GUJARAT,24,LIANGMEI ,16,0,0
62,GUJARAT,24,LOTHA ,4,0,0
63,GUJARAT,24,LUSHAI/MIZO ,53,1,2
64,GUJARAT,24,MALTO ,1,0,0
65,GUJARAT,24,MAO,65,0,35
66,GUJARAT,24,MARAM,1,0,0
67,GUJARAT,24,MIRI/MISHING,16,0,0
68,GUJARAT,24,MISHMI ,5,1,0
69,GUJARAT,24,MOGH ,1,0,0
70,GUJARAT,24,MUNDA,40,7,0
71,GUJARAT,24,MUNDARI ,91,11,0
72,GUJARAT,24,NICOBARESE ,4,0,0
73,GUJARAT,24,NISSI/DAFLA ,65,0,0
74,GUJARAT,24,PAITE,5,1,0
75,GUJARAT,24,PARJI ,36,0,0
76,GUJARAT,24,POCHURY,3,0,0
77,GUJARAT,24,RABHA ,1112,180,311
78,GUJARAT,24,SAVARA,1,0,2
79,GUJARAT,24,SHINA,1,0,0
80,GUJARAT,24,TAMANG ,3,0,0
81,GUJARAT,24,TANGKHUL ,1,0,0
82,GUJARAT,24,TANGSA,2,0,0
83,GUJARAT,24,THADO ,3,0,0
84,GUJARAT,24,TIBETAN ,17,0,0
85,GUJARAT,24,TRIPURI ,239,45,28
86,GUJARAT,24,TULU ,1034,56,41
87,GUJARAT,24,YIMCHUNGRE,14,0,0
88,GUJARAT,24,ZEMI ,4,0,0
89,GUJARAT,24,ZOU ,5,0,6
90,GUJARAT,24,OTHERS,66603,60946,20116
