,state,code,language,first,second,third
0,HARYANA,06,ASSAMESE,4204,466,302
1,HARYANA,06,BENGALI ,70948,6883,3045
2,HARYANA,06,BODO ,92,34,2
3,HARYANA,06,DOGRI ,3129,498,263
4,HARYANA,06,GUJARATI,7519,1840,1487
5,HARYANA,06,HINDI ,22322157,1753062,94343
6,HARYANA,06,KANNADA,3172,301,382
7,HARYANA,06,KASHMIRI ,6225,476,489
8,HARYANA,06,KONKANI,432,88,37
9,HARYANA,06,MAITHILI ,25685,4138,467
10,HARYANA,06,MALAYALAM,14518,486,384
11,HARYANA,06,MANIPURI ,563,54,48
12,HARYANA,06,MARATHI ,12806,1685,1366
13,HARYANA,06,NEPALI ,19914,3371,505
14,HARYANA,06,ODIA ,14835,272,79
15,HARYANA,06,PUNJABI ,2400883,473086,213904
16,HARYANA,06,SANSKRIT ,490,35364,99225
17,HARYANA,06,SANTALI ,222,34,7
18,HARYANA,06,SINDHI,1658,348,207
19,HARYANA,06,TAMIL ,12658,767,682
20,HARYANA,06,TELUGU ,9831,520,890
21,HARYANA,06,URDU,374353,113221,13262
22,HARYANA,06,ADI ,1023,21,2
23,HARYANA,06,AFGHANI/KABULI/PASHTO ,218,85,21
24,HARYANA,06,ANGAMI ,7,0,0
25,HARYANA,06,ARABIC/ARBI ,491,4230,3730
26,HARYANA,06,BALTI ,24,114,17
27,HARYANA,06,BHILI/BHILODI ,1121,153,21
28,HARYANA,06,BHOTIA ,61,67,4
29,HARYANA,06,BHUMIJ ,1,3,0
30,HARYANA,06,BISHNUPURIYA,6,0,0
31,HARYANA,06,CHANG ,1,0,0
32,HARYANA,06,COORGI/KODAGU ,31,0,1
33,HARYANA,06,DIMASA ,4,0,0
34,HARYANA,06,ENGLISH ,3852,3218970,729826
35,HARYANA,06,GADABA ,4,0,0
36,HARYANA,06,GANGTE ,1,0,0
37,HARYANA,06,GARO ,19,0,1
38,HARYANA,06,GONDI,50,10,2
39,HARYANA,06,HALAM ,5,2,0
40,HARYANA,06,HMAR,5,0,0
41,HARYANA,06,HO,52,5,0
42,HARYANA,06,KABUI ,6,1,0
43,HARYANA,06,KARBI/MIKIR ,2,0,0
44,HARYANA,06,KHANDESHI,62,12,4
45,HARYANA,06,KHARIA ,216,16,0
46,HARYANA,06,KHASI ,21,1,0
47,HARYANA,06,KHEZHA ,25,5,3
48,HARYANA,06,KINNAURI ,23,11,3
49,HARYANA,06,KISAN ,1,0,0
50,HARYANA,06,KODA/KORA ,4,0,1
51,HARYANA,06,KONYAK ,2,0,0
52,HARYANA,06,KORWA ,8,4,0
53,HARYANA,06,KUKI,21,0,0
54,HARYANA,06,KURUKH/ORAON ,539,59,8
55,HARYANA,06,LADAKHI ,908,343,118
56,HARYANA,06,LAHAULI ,24,3,2
57,HARYANA,06,LAHNDA ,29892,2800,987
58,HARYANA,06,LAKHER,2,0,2
59,HARYANA,06,LEPCHA ,4,0,0
60,HARYANA,06,LOTHA ,3,0,0
61,HARYANA,06,LUSHAI/MIZO ,95,1,3
62,HARYANA,06,MAO,1,0,0
63,HARYANA,06,MIRI/MISHING,3,0,0
64,HARYANA,06,MOGH ,13,1,1
65,HARYANA,06,MONPA ,11,0,0
66,HARYANA,06,MUNDA,1626,173,18
67,HARYANA,06,MUNDARI ,280,21,10
68,HARYANA,06,NISSI/DAFLA ,252,11,0
69,HARYANA,06,NOCTE ,2,0,0
70,HARYANA,06,PAITE,12,0,1
71,HARYANA,06,RABHA ,1,0,0
72,HARYANA,06,RENGMA ,3,0,0
73,HARYANA,06,SAVARA,25,20,3
74,HARYANA,06,SEMA,3,0,0
75,HARYANA,06,SHERPA ,2,0,0
76,HARYANA,06,SHINA,10,2,2
77,HARYANA,06,TAMANG ,6,0,0
78,HARYANA,06,TANGKHUL ,18,1,0
79,HARYANA,06,TANGSA,3,0,0
80,HARYANA,06,THADO ,25,0,0
81,HARYANA,06,TIBETAN ,329,70,59
82,HARYANA,06,TRIPURI ,59,0,2
83,HARYANA,06,TULU ,64,9,7
84,HARYANA,06,VAIPHEI ,1,1,0
85,HARYANA,06,WANCHO,2,0,0
86,HARYANA,06,YIMCHUNGRE,1,0,0
87,HARYANA,06,ZOU ,3,0,0
88,HARYANA,06,OTHERS,3579,3135,4336
