,state,code,language,first,second,third
0,HIMACHAL PRADESH,02,ASSAMESE,1049,61,38
1,HIMACHAL PRADESH,02,BENGALI ,6214,839,289
2,HIMACHAL PRADESH,02,BODO ,150,4,2
3,HIMACHAL PRADESH,02,DOGRI ,23609,301,77
4,HIMACHAL PRADESH,02,GUJARATI,10012,293,131
5,HIMACHAL PRADESH,02,HINDI ,5895529,717356,16188
6,HIMACHAL PRADESH,02,KANNADA,462,49,44
7,HIMACHAL PRADESH,02,KASHMIRI ,57050,156,37
8,HIMACHAL PRADESH,02,KONKANI,80,1,0
9,HIMACHAL PRADESH,02,MAITHILI ,4723,146,37
10,HIMACHAL PRADESH,02,MALAYALAM,1211,40,51
11,HIMACHAL PRADESH,02,MANIPURI ,188,4,4
12,HIMACHAL PRADESH,02,MARATHI ,3438,173,326
13,HIMACHAL PRADESH,02,NEPALI ,89508,3205,488
14,HIMACHAL PRADESH,02,ODIA ,3219,242,48
15,HIMACHAL PRADESH,02,PUNJABI ,615022,67683,19906
16,HIMACHAL PRADESH,02,SANSKRIT ,936,5231,10340
17,HIMACHAL PRADESH,02,SANTALI ,847,6,0
18,HIMACHAL PRADESH,02,SINDHI,62,11,17
19,HIMACHAL PRADESH,02,TAMIL ,1038,97,73
20,HIMACHAL PRADESH,02,TELUGU ,1383,46,62
21,HIMACHAL PRADESH,02,URDU,5320,8344,4338
22,HIMACHAL PRADESH,02,ADI ,107,12,1
23,HIMACHAL PRADESH,02,AFGHANI/KABULI/PASHTO ,176,45,14
24,HIMACHAL PRADESH,02,ANAL ,17,0,0
25,HIMACHAL PRADESH,02,ANGAMI ,12,0,0
26,HIMACHAL PRADESH,02,AO ,28,0,0
27,HIMACHAL PRADESH,02,ARABIC/ARBI ,307,351,311
28,HIMACHAL PRADESH,02,BALTI ,21,0,0
29,HIMACHAL PRADESH,02,BHILI/BHILODI ,106,4,1
30,HIMACHAL PRADESH,02,BHOTIA ,2012,39,80
31,HIMACHAL PRADESH,02,BISHNUPURIYA,15,0,0
32,HIMACHAL PRADESH,02,CHAKHESANG ,1,0,0
33,HIMACHAL PRADESH,02,CHANG ,12,1,0
34,HIMACHAL PRADESH,02,COORGI/KODAGU ,53,0,0
35,HIMACHAL PRADESH,02,ENGLISH ,1043,436387,293300
36,HIMACHAL PRADESH,02,GANGTE ,2,0,0
37,HIMACHAL PRADESH,02,GARO ,21,0,0
38,HIMACHAL PRADESH,02,GONDI,9,0,0
39,HIMACHAL PRADESH,02,HALABI,1,0,0
40,HIMACHAL PRADESH,02,HALAM ,380,10,0
41,HIMACHAL PRADESH,02,HO,167,0,0
42,HIMACHAL PRADESH,02,KABUI ,5,0,0
43,HIMACHAL PRADESH,02,KHANDESHI,3498,82,4
44,HIMACHAL PRADESH,02,KHARIA ,43,0,1
45,HIMACHAL PRADESH,02,KHASI ,15,2,0
46,HIMACHAL PRADESH,02,KHEZHA ,5,0,0
47,HIMACHAL PRADESH,02,KHIEMNUNGAN,1,0,0
48,HIMACHAL PRADESH,02,KHOND/KONDH ,1,0,0
49,HIMACHAL PRADESH,02,KINNAURI ,82712,381,137
50,HIMACHAL PRADESH,02,KISAN ,32,1,0
51,HIMACHAL PRADESH,02,KOCH ,1,0,0
52,HIMACHAL PRADESH,02,KODA/KORA ,1,0,0
53,HIMACHAL PRADESH,02,KOM,2,0,0
54,HIMACHAL PRADESH,02,KONDA,19,0,1
55,HIMACHAL PRADESH,02,KONYAK ,3,0,0
56,HIMACHAL PRADESH,02,KORKU ,115,0,0
57,HIMACHAL PRADESH,02,KORWA ,23,0,0
58,HIMACHAL PRADESH,02,KUKI,73,0,0
59,HIMACHAL PRADESH,02,KURUKH/ORAON ,2277,73,2
60,HIMACHAL PRADESH,02,LADAKHI ,1196,26,13
61,HIMACHAL PRADESH,02,LAHAULI ,11073,40,10
62,HIMACHAL PRADESH,02,LAHNDA ,109,15,1
63,HIMACHAL PRADESH,02,LAKHER,10,0,0
64,HIMACHAL PRADESH,02,LEPCHA ,2,0,0
65,HIMACHAL PRADESH,02,LIMBU ,7,0,0
66,HIMACHAL PRADESH,02,LOTHA ,16,0,0
67,HIMACHAL PRADESH,02,LUSHAI/MIZO ,197,0,2
68,HIMACHAL PRADESH,02,MAO,15,0,0
69,HIMACHAL PRADESH,02,MIRI/MISHING,3,0,0
70,HIMACHAL PRADESH,02,MOGH ,8,0,1
71,HIMACHAL PRADESH,02,MONPA ,94,0,0
72,HIMACHAL PRADESH,02,MUNDA,505,13,4
73,HIMACHAL PRADESH,02,MUNDARI ,684,10,0
74,HIMACHAL PRADESH,02,NISSI/DAFLA ,16,0,0
75,HIMACHAL PRADESH,02,PAITE,18,0,0
