,state,code,language,first,second,third
0,INDIA,00,ASSAMESE,15311351,7583346,734379
1,INDIA,00,BENGALI ,97237669,9095810,1138764
2,INDIA,00,BODO ,1482929,57583,20132
3,INDIA,00,DOGRI ,2596767,126334,40883
4,INDIA,00,GUJARATI,55492554,4017825,778930
5,INDIA,00,HINDI ,528347193,138909608,24307234
6,INDIA,00,KANNADA,43706512,13609709,1434578
7,INDIA,00,KASHMIRI ,6797587,127039,70197
8,INDIA,00,KONKANI,2256502,238345,87134
9,INDIA,00,MAITHILI ,13583464,651987,48843
10,INDIA,00,MALAYALAM,34838819,581591,218932
11,INDIA,00,MANIPURI ,1761079,384357,101690
12,INDIA,00,MARATHI ,83026680,13001079,3031027
13,INDIA,00,NEPALI ,2926168,366648,143798
14,INDIA,00,ODIA ,37521324,4670796,397213
15,INDIA,00,PUNJABI ,33124726,2237126,719901
16,INDIA,00,SANSKRIT ,24821,1134362,1963640
17,INDIA,00,SANTALI ,7368192,278448,76663
18,INDIA,00,SINDHI,2772264,281177,48591
19,INDIA,00,TAMIL ,69026881,6668000,900985
20,INDIA,00,TELUGU ,81127740,12167609,1206254
21,INDIA,00,URDU,50772631,11348978,1117836
22,INDIA,00,ADI ,248834,1849,906
23,INDIA,00,AFGHANI/KABULI/PASHTO ,21677,743,450
24,INDIA,00,ANAL ,27217,250,283
25,INDIA,00,ANGAMI ,152796,20154,7733
26,INDIA,00,AO ,260008,5157,4628
27,INDIA,00,ARABIC/ARBI ,54947,1498642,780713
28,INDIA,00,BALTI ,13774,1243,851
29,INDIA,00,BHILI/BHILODI ,10413637,140167,20770
30,INDIA,00,BHOTIA ,229954,5451,2269
31,INDIA,00,BHUMIJ ,27506,1855,561
32,INDIA,00,BISHNUPURIYA,79646,1404,163
33,INDIA,00,CHAKHESANG ,19846,850,193
34,INDIA,00,CHAKRU/CHOKRI ,91216,1564,1076
35,INDIA,00,CHANG ,66852,1120,719
36,INDIA,00,COORGI/KODAGU ,113857,15420,19922
37,INDIA,00,DEORI ,32376,1699,291
38,INDIA,00,DIMASA ,137184,1202,769
39,INDIA,00,ENGLISH ,259678,82717239,45562173
40,INDIA,00,GADABA ,40976,4130,429
41,INDIA,00,GANGTE ,16542,2805,3821
42,INDIA,00,GARO ,1145323,25298,16938
43,INDIA,00,GONDI,2984453,202053,42413
44,INDIA,00,HALABI,766297,190107,49070
45,INDIA,00,HALAM ,38915,946,754
46,INDIA,00,HMAR,98988,7179,3249
47,INDIA,00,HO,1421418,72056,45061
48,INDIA,00,JATAPU ,20028,8736,79
49,INDIA,00,JUANG ,30378,1605,18
50,INDIA,00,KABUI ,122931,2841,1117
51,INDIA,00,KARBI/MIKIR ,528503,17462,5125
52,INDIA,00,KHANDESHI,1860236,444376,73594
53,INDIA,00,KHARIA ,297614,13001,2229
54,INDIA,00,KHASI ,1431344,96366,14020
55,INDIA,00,KHEZHA ,41625,810,359
56,INDIA,00,KHIEMNUNGAN,61983,136,84
57,INDIA,00,KHOND/KONDH ,155548,17789,1025
58,INDIA,00,KINNAURI ,83561,446,190
59,INDIA,00,KISAN ,206100,15980,1483
60,INDIA,00,KOCH ,36434,346,246
61,INDIA,00,KODA/KORA ,47268,3095,103
62,INDIA,00,KOLAMI ,128451,9008,493
63,INDIA,00,KOM,15108,142,410
64,INDIA,00,KONDA,60699,8485,903
65,INDIA,00,KONYAK ,244477,462,429
66,INDIA,00,KORKU ,727133,14479,4673
67,INDIA,00,KORWA ,28453,1541,533
68,INDIA,00,KOYA ,407423,16718,2101
69,INDIA,00,KUI ,941488,78652,4992
70,INDIA,00,KUKI,83968,2748,2822
71,INDIA,00,KURUKH/ORAON ,1988350,119358,6412
72,INDIA,00,LADAKHI ,14952,3087,1471
73,INDIA,00,LAHAULI ,11574,69,25
74,INDIA,00,LAHNDA ,108791,7808,2680
75,INDIA,00,LAKHER,42429,1660,489
76,INDIA,00,LALUNG ,33921,879,207
77,INDIA,00,LEPCHA ,47331,5071,789
78,INDIA,00,LIANGMEI ,49811,862,633
79,INDIA,00,LIMBU ,40835,2713,499
80,INDIA,00,LOTHA ,179467,997,633
81,INDIA,00,LUSHAI/MIZO ,830846,116330,17090
82,INDIA,00,MALTO ,234991,2388,697
83,INDIA,00,MAO,240205,737,359
84,INDIA,00,MARAM,32460,126,95
85,INDIA,00,MARING ,25814,70,33
86,INDIA,00,MIRI/MISHING,629954,25986,3370
87,INDIA,00,MISHMI ,44100,216,80
88,INDIA,00,MOGH ,36665,666,581
89,INDIA,00,MONPA ,13703,9266,221
90,INDIA,00,MUNDA,505922,29447,5671
91,INDIA,00,MUNDARI ,1128228,63666,8364
92,INDIA,00,NICOBARESE ,29099,96,94
93,INDIA,00,NISSI/DAFLA ,406532,12974,609
94,INDIA,00,NOCTE ,30839,53,56
95,INDIA,00,PAITE,79507,13653,7384
96,INDIA,00,PARJI ,52349,12589,3209
97,INDIA,00,PAWI ,28639,2003,515
98,INDIA,00,PHOM ,54416,203,153
99,INDIA,00,POCHURY,21654,164,127
100,INDIA,00,RABHA ,139986,10881,3272
101,INDIA,00,RAI ,15644,2031,613
102,INDIA,00,RENGMA ,65328,185,183
103,INDIA,00,SANGTAM ,76000,2538,1338
104,INDIA,00,SAVARA,409549,28846,1289
105,INDIA,00,SEMA,10802,1022,764
106,INDIA,00,SHERPA ,16012,1037,308
107,INDIA,00,SHINA,32247,3278,203
108,INDIA,00,TAMANG ,20154,2549,481
109,INDIA,00,TANGKHUL ,187276,739,523
110,INDIA,00,TANGSA,38624,225,118
111,INDIA,00,THADO ,229340,11342,6287
112,INDIA,00,TIBETAN ,182685,8235,3861
113,INDIA,00,TRIPURI ,1011294,15392,8798
114,INDIA,00,TULU ,1846427,424436,352639
115,INDIA,00,VAIPHEI ,42748,5479,4661
116,INDIA,00,WANCHO,59154,326,190
117,INDIA,00,YIMCHUNGRE,83259,3270,1797
118,INDIA,00,ZELIANG ,63529,268,297
119,INDIA,00,ZEMI ,50925,346,353
120,INDIA,00,ZOU ,26545,4747,6078
121,INDIA,00,OTHERS,1875542,814897,282144
