,state,code,language,first,second,third
0,JAMMU & KASHMIR,01,ASSAMESE,8340,281,267
1,JAMMU & KASHMIR,01,BENGALI ,19830,1344,997
2,JAMMU & KASHMIR,01,BODO ,508,27,8
3,JAMMU & KASHMIR,01,DOGRI ,2513712,117553,37086
4,JAMMU & KASHMIR,01,GUJARATI,19261,1536,1037
5,JAMMU & KASHMIR,01,HINDI ,2612631,1985519,166948
6,JAMMU & KASHMIR,01,KANNADA,6953,174,236
7,JAMMU & KASHMIR,01,KASHMIRI ,6680837,121196,66837
8,JAMMU & KASHMIR,01,KONKANI,79,36,18
9,JAMMU & KASHMIR,01,MAITHILI ,897,165,50
10,JAMMU & KASHMIR,01,MALAYALAM,11248,203,247
11,JAMMU & KASHMIR,01,MANIPURI ,2370,36,29
12,JAMMU & KASHMIR,01,MARATHI ,23006,1084,326
13,JAMMU & KASHMIR,01,NEPALI ,22138,2029,667
14,JAMMU & KASHMIR,01,ODIA ,9553,125,29
15,JAMMU & KASHMIR,01,PUNJABI ,219193,33142,30810
16,JAMMU & KASHMIR,01,SANSKRIT ,30,347,1140
17,JAMMU & KASHMIR,01,SANTALI ,225,15,1
18,JAMMU & KASHMIR,01,SINDHI,19,1,4
19,JAMMU & KASHMIR,01,TAMIL ,14728,856,1476
20,JAMMU & KASHMIR,01,TELUGU ,13970,368,364
21,JAMMU & KASHMIR,01,URDU,19956,3346976,326225
22,JAMMU & KASHMIR,01,ADI ,16,0,0
23,JAMMU & KASHMIR,01,AFGHANI/KABULI/PASHTO ,17942,129,113
24,JAMMU & KASHMIR,01,ANAL ,17,1,0
25,JAMMU & KASHMIR,01,AO ,23,0,0
26,JAMMU & KASHMIR,01,ARABIC/ARBI ,181,3098,6583
27,JAMMU & KASHMIR,01,BALTI ,12399,1014,823
28,JAMMU & KASHMIR,01,BHILI/BHILODI ,988,12,41
29,JAMMU & KASHMIR,01,BHOTIA ,107451,1296,252
30,JAMMU & KASHMIR,01,BHUMIJ ,1,0,0
31,JAMMU & KASHMIR,01,BISHNUPURIYA,17,0,0
32,JAMMU & KASHMIR,01,CHAKHESANG ,1,0,0
33,JAMMU & KASHMIR,01,CHANG ,1,0,0
34,JAMMU & KASHMIR,01,COORGI/KODAGU ,10,1,1
35,JAMMU & KASHMIR,01,DEORI ,1,0,0
36,JAMMU & KASHMIR,01,DIMASA ,4,0,0
37,JAMMU & KASHMIR,01,ENGLISH ,967,554847,1448678
38,JAMMU & KASHMIR,01,GANGTE ,24,0,0
39,JAMMU & KASHMIR,01,GARO ,46,0,0
40,JAMMU & KASHMIR,01,GONDI,167,1,0
41,JAMMU & KASHMIR,01,HALAM ,8,1,0
42,JAMMU & KASHMIR,01,HMAR,24,0,0
43,JAMMU & KASHMIR,01,HO,28,0,2
44,JAMMU & KASHMIR,01,KABUI ,12,0,0
45,JAMMU & KASHMIR,01,KARBI/MIKIR ,6,0,0
46,JAMMU & KASHMIR,01,KHANDESHI,34862,1278,1442
47,JAMMU & KASHMIR,01,KHARIA ,14,3,1
48,JAMMU & KASHMIR,01,KHASI ,1350,2,5
49,JAMMU & KASHMIR,01,KHEZHA ,18,0,5
50,JAMMU & KASHMIR,01,KHIEMNUNGAN,6,0,0
