,state,code,language,first,second,third
0,JHARKHAND,20,ASSAMESE,1324,252,264
1,JHARKHAND,20,BENGALI ,3213423,698566,247595
2,JHARKHAND,20,BODO ,92,1,1
3,JHARKHAND,20,DOGRI ,279,59,20
4,JHARKHAND,20,GUJARATI,22109,4737,10749
5,JHARKHAND,20,HINDI ,20436026,7461683,283951
6,JHARKHAND,20,KANNADA,1324,146,176
7,JHARKHAND,20,KASHMIRI ,296,131,36
8,JHARKHAND,20,KONKANI,265,34,8
9,JHARKHAND,20,MAITHILI ,138167,19781,3389
10,JHARKHAND,20,MALAYALAM,6549,259,140
11,JHARKHAND,20,MANIPURI ,364,17,12
12,JHARKHAND,20,MARATHI ,8481,906,510
13,JHARKHAND,20,NEPALI ,16956,2734,458
14,JHARKHAND,20,ODIA ,531077,89854,95384
15,JHARKHAND,20,PUNJABI ,78712,6866,1843
16,JHARKHAND,20,SANSKRIT ,853,19122,26883
17,JHARKHAND,20,SANTALI ,3269897,95520,47520
18,JHARKHAND,20,SINDHI,1701,120,35
19,JHARKHAND,20,TAMIL ,10061,584,382
20,JHARKHAND,20,TELUGU ,30704,1159,482
21,JHARKHAND,20,URDU,1965652,363132,19801
22,JHARKHAND,20,ADI ,732,91,21
23,JHARKHAND,20,AFGHANI/KABULI/PASHTO ,8,0,4
24,JHARKHAND,20,ANAL ,7,0,0
25,JHARKHAND,20,ANGAMI ,3,1,1
26,JHARKHAND,20,AO ,2,0,0
27,JHARKHAND,20,ARABIC/ARBI ,2095,92939,51959
28,JHARKHAND,20,BHILI/BHILODI ,416,279,9
29,JHARKHAND,20,BHUMIJ ,11275,277,194
30,JHARKHAND,20,BISHNUPURIYA,4,0,0
31,JHARKHAND,20,CHAKRU/CHOKRI ,1,0,0
32,JHARKHAND,20,CHANG ,4,0,1
33,JHARKHAND,20,COORGI/KODAGU ,9,1,0
34,JHARKHAND,20,DEORI ,1,0,0
35,JHARKHAND,20,DIMASA ,12,0,0
36,JHARKHAND,20,ENGLISH ,2431,944585,751828
37,JHARKHAND,20,GANGTE ,16,0,0
38,JHARKHAND,20,GARO ,3,1,3
39,JHARKHAND,20,GONDI,1621,64,112
40,JHARKHAND,20,HALABI,4,0,0
41,JHARKHAND,20,HALAM ,2,1,1
42,JHARKHAND,20,HO,994302,45652,38035
43,JHARKHAND,20,KABUI ,6,10,0
44,JHARKHAND,20,KARBI/MIKIR ,1,0,1
45,JHARKHAND,20,KHANDESHI,62,4,0
46,JHARKHAND,20,KHARIA ,140148,6924,606
47,JHARKHAND,20,KHASI ,4,1,2
48,JHARKHAND,20,KINNAURI ,1,0,0
49,JHARKHAND,20,KISAN ,59,0,0
50,JHARKHAND,20,KOCH ,2,0,0
51,JHARKHAND,20,KODA/KORA ,3321,31,28
52,JHARKHAND,20,KOM,1,0,0
53,JHARKHAND,20,KONDA,177,0,0
54,JHARKHAND,20,KORWA ,2341,303,80
55,JHARKHAND,20,KUI ,7,0,0
56,JHARKHAND,20,KUKI,6,0,1
57,JHARKHAND,20,KURUKH/ORAON ,952164,84876,2350
58,JHARKHAND,20,LADAKHI ,1,0,0
59,JHARKHAND,20,LAHAULI ,3,0,0
60,JHARKHAND,20,LAHNDA ,83,0,5
61,JHARKHAND,20,LEPCHA ,1,0,1
62,JHARKHAND,20,LIMBU ,1,1,0
63,JHARKHAND,20,LOTHA ,4,0,0
64,JHARKHAND,20,LUSHAI/MIZO ,47,21,31
65,JHARKHAND,20,MALTO ,151565,1514,681
66,JHARKHAND,20,MAO,84,0,0
67,JHARKHAND,20,MARING ,1,0,0
68,JHARKHAND,20,MIRI/MISHING,5,0,0
69,JHARKHAND,20,MISHMI ,2,0,1
70,JHARKHAND,20,MOGH ,6,0,0
71,JHARKHAND,20,MONPA ,5,0,0
72,JHARKHAND,20,MUNDA,23907,907,216
73,JHARKHAND,20,MUNDARI ,942108,53360,5690
74,JHARKHAND,20,NICOBARESE ,4,0,0
75,JHARKHAND,20,NISSI/DAFLA ,8,0,0
76,JHARKHAND,20,PAITE,4,0,0
77,JHARKHAND,20,RABHA ,3,0,0
78,JHARKHAND,20,RAI ,49,0,0
79,JHARKHAND,20,SANGTAM ,2,0,0
80,JHARKHAND,20,SAVARA,94,0,0
81,JHARKHAND,20,SEMA,2,0,0
82,JHARKHAND,20,TANGKHUL ,2,0,0
83,JHARKHAND,20,TANGSA,1,0,0
84,JHARKHAND,20,THADO ,3,0,0
85,JHARKHAND,20,TIBETAN ,5,3,0
86,JHARKHAND,20,TRIPURI ,29,2,0
87,JHARKHAND,20,TULU ,83,16,7
88,JHARKHAND,20,VAIPHEI ,1,0,0
89,JHARKHAND,20,YIMCHUNGRE,1,0,0
90,JHARKHAND,20,ZOU ,2,0,0
91,JHARKHAND,20,OTHERS,24458,3190,1531
