,state,code,language,first,second,third
0,KARNATAKA,29,ASSAMESE,9871,952,714
1,KARNATAKA,29,BENGALI ,87963,9168,8288
2,KARNATAKA,29,BODO ,439,11,5
3,KARNATAKA,29,DOGRI ,834,58,35
4,KARNATAKA,29,GUJARATI,114616,7358,4161
5,KARNATAKA,29,HINDI ,2013364,2595196,2886916
6,KARNATAKA,29,KANNADA,40651090,11738806,988215
7,KARNATAKA,29,KASHMIRI ,3388,383,190
8,KARNATAKA,29,KONKANI,788294,63960,18027
9,KARNATAKA,29,MAITHILI ,1810,338,223
10,KARNATAKA,29,MALAYALAM,774057,37229,60559
11,KARNATAKA,29,MANIPURI ,4103,90,122
12,KARNATAKA,29,MARATHI ,2064906,731527,214131
13,KARNATAKA,29,NEPALI ,19274,1070,724
14,KARNATAKA,29,ODIA ,64119,3003,1467
15,KARNATAKA,29,PUNJABI ,25981,2691,4350
16,KARNATAKA,29,SANSKRIT ,1218,7869,6230
17,KARNATAKA,29,SANTALI ,311,27,19
18,KARNATAKA,29,SINDHI,16954,280,209
19,KARNATAKA,29,TAMIL ,2110128,445173,442792
20,KARNATAKA,29,TELUGU ,3569400,3134384,512817
21,KARNATAKA,29,URDU,6618324,149831,42839
22,KARNATAKA,29,ADI ,136,92,5
23,KARNATAKA,29,AFGHANI/KABULI/PASHTO ,27,7,1
24,KARNATAKA,29,ANAL ,14,0,2
25,KARNATAKA,29,ANGAMI ,57,5,1
26,KARNATAKA,29,AO ,60,0,0
27,KARNATAKA,29,ARABIC/ARBI ,1159,4662,4041
28,KARNATAKA,29,BHILI/BHILODI ,2621,163,21
29,KARNATAKA,29,BHOTIA ,888,16,3
30,KARNATAKA,29,BHUMIJ ,11,2,0
31,KARNATAKA,29,BISHNUPURIYA,15,0,0
32,KARNATAKA,29,CHAKHESANG ,2,0,0
33,KARNATAKA,29,CHAKRU/CHOKRI ,13,0,0
34,KARNATAKA,29,CHANG ,3,1,0
35,KARNATAKA,29,COORGI/KODAGU ,110508,15342,19894
36,KARNATAKA,29,DEORI ,17,0,0
37,KARNATAKA,29,DIMASA ,20,0,0
38,KARNATAKA,29,ENGLISH ,23227,4916004,2289997
39,KARNATAKA,29,GADABA ,5,0,0
40,KARNATAKA,29,GANGTE ,10,0,0
41,KARNATAKA,29,GARO ,41,7,0
42,KARNATAKA,29,GONDI,1145,2,8
43,KARNATAKA,29,HALABI,76,0,1
