,state,code,language,first,second,third
0,KERALA,32,ASSAMESE,5796,330,392
1,KERALA,32,BENGALI ,29061,1238,1841
2,KERALA,32,BODO ,47,4,1
3,KERALA,32,DOGRI ,225,50,38
4,KERALA,32,GUJARATI,4710,1521,2732
5,KERALA,32,HINDI ,51928,657446,2338175
6,KERALA,32,KANNADA,86995,205099,45952
7,KERALA,32,KASHMIRI ,651,14,16
8,KERALA,32,KONKANI,69449,12460,1518
9,KERALA,32,MAITHILI ,214,25,21
10,KERALA,32,MALAYALAM,32413213,310637,51631
11,KERALA,32,MANIPURI ,444,32,43
12,KERALA,32,MARATHI ,31642,3984,5435
13,KERALA,32,NEPALI ,3665,474,316
14,KERALA,32,ODIA ,10958,552,615
15,KERALA,32,PUNJABI ,1380,269,658
16,KERALA,32,SANSKRIT ,278,10506,12190
17,KERALA,32,SANTALI ,114,6,1
18,KERALA,32,SINDHI,1251,211,111
19,KERALA,32,TAMIL ,502516,343516,138591
20,KERALA,32,TELUGU ,35380,16262,10874
21,KERALA,32,URDU,13122,8954,8368
22,KERALA,32,ADI ,29,2,2
23,KERALA,32,AFGHANI/KABULI/PASHTO ,12,0,0
24,KERALA,32,ANAL ,1,0,0
25,KERALA,32,ANGAMI ,3,0,0
26,KERALA,32,AO ,5,2,0
27,KERALA,32,ARABIC/ARBI ,240,232526,114316
28,KERALA,32,BHILI/BHILODI ,3458,324,102
29,KERALA,32,BHOTIA ,5,0,0
30,KERALA,32,COORGI/KODAGU ,75,24,18
31,KERALA,32,ENGLISH ,4471,6310022,416105
32,KERALA,32,GARO ,6,3,1
33,KERALA,32,GONDI,5,5,0
34,KERALA,32,HALABI,2,0,0
35,KERALA,32,HO,21,0,0
36,KERALA,32,KABUI ,5,0,0
37,KERALA,32,KARBI/MIKIR ,13,0,0
38,KERALA,32,KHANDESHI,1,0,0
39,KERALA,32,KHARIA ,10,0,0
40,KERALA,32,KHASI ,18,2,2
41,KERALA,32,KHOND/KONDH ,331,0,0
42,KERALA,32,KINNAURI ,1,0,0
43,KERALA,32,KISAN ,1,0,0
44,KERALA,32,KOM,12,0,0
45,KERALA,32,KORKU ,1,0,1
46,KERALA,32,KORWA ,7,0,0
47,KERALA,32,KUI ,16,2,0
48,KERALA,32,KUKI,17,1,3
49,KERALA,32,KURUKH/ORAON ,56,11,3
50,KERALA,32,LADAKHI ,16,0,0
51,KERALA,32,LAHAULI ,4,2,3
52,KERALA,32,LAKHER,6,3,2
53,KERALA,32,LIANGMEI ,3,0,0
54,KERALA,32,LOTHA ,1,0,0
55,KERALA,32,LUSHAI/MIZO ,21,0,6
56,KERALA,32,MALTO ,74,0,0
57,KERALA,32,MAO,2,0,0
58,KERALA,32,MARAM,6,0,0
59,KERALA,32,MUNDA,20,0,3
60,KERALA,32,MUNDARI ,25,4,1
61,KERALA,32,NISSI/DAFLA ,8,2,2
62,KERALA,32,PAITE,6,0,0
63,KERALA,32,RABHA ,14,1,2
64,KERALA,32,RAI ,1,0,0
65,KERALA,32,RENGMA ,2,0,0
66,KERALA,32,SAVARA,10,0,1
67,KERALA,32,SHINA,1,0,1
68,KERALA,32,TAMANG ,2,0,0
69,KERALA,32,TANGSA,20,0,0
70,KERALA,32,THADO ,7,2,0
71,KERALA,32,TIBETAN ,7,0,1
72,KERALA,32,TRIPURI ,13,0,0
73,KERALA,32,TULU ,124266,42782,32799
74,KERALA,32,VAIPHEI ,2,0,0
75,KERALA,32,WANCHO,1,0,0
76,KERALA,32,ZELIANG ,1,0,0
77,KERALA,32,ZEMI ,64,0,0
78,KERALA,32,OTHERS,9597,4075,5916
