,state,code,language,first,second,third
0,LAKSHADWEEP,31,ASSAMESE,1,0,0
1,LAKSHADWEEP,31,BENGALI ,140,0,3
2,LAKSHADWEEP,31,BODO ,5,0,0
3,LAKSHADWEEP,31,GUJARATI,24,12,1
4,LAKSHADWEEP,31,HINDI ,160,3982,7381
5,LAKSHADWEEP,31,KANNADA,37,20,12
6,LAKSHADWEEP,31,KONKANI,1,7,1
7,LAKSHADWEEP,31,MALAYALAM,54264,2693,1078
8,LAKSHADWEEP,31,MARATHI ,26,7,8
9,LAKSHADWEEP,31,NEPALI ,4,0,0
10,LAKSHADWEEP,31,ODIA ,40,1,0
11,LAKSHADWEEP,31,PUNJABI ,4,3,6
12,LAKSHADWEEP,31,SINDHI,7,0,0
13,LAKSHADWEEP,31,TAMIL ,364,83,66
14,LAKSHADWEEP,31,TELUGU ,42,4,9
15,LAKSHADWEEP,31,URDU,32,12,38
16,LAKSHADWEEP,31,ADI ,2,0,2
17,LAKSHADWEEP,31,AFGHANI/KABULI/PASHTO ,3,0,0
18,LAKSHADWEEP,31,ENGLISH ,1,11337,1106
19,LAKSHADWEEP,31,SAVARA,3,0,0
20,LAKSHADWEEP,31,TULU ,2,2,0
21,LAKSHADWEEP,31,OTHERS,9311,55,17
