,state,code,language,first,second,third
0,MADHYA PRADESH,23,ASSAMESE,1870,252,220
1,MADHYA PRADESH,23,BENGALI ,109185,18344,3709
2,MADHYA PRADESH,23,BODO ,87,7,0
3,MADHYA PRADESH,23,DOGRI ,835,141,31
4,MADHYA PRADESH,23,GUJARATI,187211,67389,23117
5,MADHYA PRADESH,23,HINDI ,64324963,5139257,68242
6,MADHYA PRADESH,23,KANNADA,4175,1690,581
7,MADHYA PRADESH,23,KASHMIRI ,1050,143,55
8,MADHYA PRADESH,23,KONKANI,814,79,45
9,MADHYA PRADESH,23,MAITHILI ,4129,1174,304
10,MADHYA PRADESH,23,MALAYALAM,37761,2564,1028
11,MADHYA PRADESH,23,MANIPURI ,1009,85,232
12,MADHYA PRADESH,23,MARATHI ,1231285,260002,45943
13,MADHYA PRADESH,23,NEPALI ,8724,4836,316
14,MADHYA PRADESH,23,ODIA ,18765,716,372
15,MADHYA PRADESH,23,PUNJABI ,139658,42667,7960
16,MADHYA PRADESH,23,SANSKRIT ,1871,246940,454245
17,MADHYA PRADESH,23,SANTALI ,404,53,9
18,MADHYA PRADESH,23,SINDHI,245161,45335,2914
19,MADHYA PRADESH,23,TAMIL ,20544,3320,981
20,MADHYA PRADESH,23,TELUGU ,24411,2927,1269
21,MADHYA PRADESH,23,URDU,916608,420604,33553
22,MADHYA PRADESH,23,ADI ,426,19,3
23,MADHYA PRADESH,23,AFGHANI/KABULI/PASHTO ,12,8,8
24,MADHYA PRADESH,23,ANAL ,13,0,0
25,MADHYA PRADESH,23,ANGAMI ,27,3,1
26,MADHYA PRADESH,23,AO ,16,0,0
27,MADHYA PRADESH,23,ARABIC/ARBI ,1188,35635,28616
28,MADHYA PRADESH,23,BALTI ,2,0,0
29,MADHYA PRADESH,23,BHILI/BHILODI ,3587810,29005,935
30,MADHYA PRADESH,23,BHOTIA ,57,2,0
31,MADHYA PRADESH,23,BHUMIJ ,1,2,0
32,MADHYA PRADESH,23,BISHNUPURIYA,13,0,0
33,MADHYA PRADESH,23,CHAKHESANG ,5,0,0
34,MADHYA PRADESH,23,CHAKRU/CHOKRI ,5,0,0
35,MADHYA PRADESH,23,COORGI/KODAGU ,19,0,1
36,MADHYA PRADESH,23,DEORI ,7,0,0
37,MADHYA PRADESH,23,DIMASA ,11,1,0
