,state,code,language,first,second,third
0,MAHARASHTRA,27,ASSAMESE,12842,1825,814
1,MAHARASHTRA,27,BENGALI ,442090,26390,14728
2,MAHARASHTRA,27,BODO ,330,18,6
3,MAHARASHTRA,27,DOGRI ,1936,171,67
4,MAHARASHTRA,27,GUJARATI,2371743,203088,195177
5,MAHARASHTRA,27,HINDI ,14481513,40446593,3610277
6,MAHARASHTRA,27,KANNADA,1000463,580355,148130
7,MAHARASHTRA,27,KASHMIRI ,8274,1231,483
8,MAHARASHTRA,27,KONKANI,399255,30575,11347
9,MAHARASHTRA,27,MAITHILI ,46996,6929,1161
10,MAHARASHTRA,27,MALAYALAM,366153,7176,5128
11,MAHARASHTRA,27,MANIPURI ,3475,223,122
12,MAHARASHTRA,27,MARATHI ,77461172,11365478,2488796
13,MAHARASHTRA,27,NEPALI ,75683,5102,1853
14,MAHARASHTRA,27,ODIA ,139241,3464,1674
15,MAHARASHTRA,27,PUNJABI ,280192,25350,17553
16,MAHARASHTRA,27,SANSKRIT ,3802,62472,78820
17,MAHARASHTRA,27,SANTALI ,103456,5967,3087
18,MAHARASHTRA,27,SINDHI,723748,13752,7237
19,MAHARASHTRA,27,TAMIL ,509887,21692,11879
20,MAHARASHTRA,27,TELUGU ,1320880,195683,76645
21,MAHARASHTRA,27,URDU,7540324,419995,112700
22,MAHARASHTRA,27,ADI ,168,19,20
23,MAHARASHTRA,27,AFGHANI/KABULI/PASHTO ,147,18,19
24,MAHARASHTRA,27,ANAL ,9,1,0
25,MAHARASHTRA,27,ANGAMI ,164,0,0
26,MAHARASHTRA,27,AO ,44,1,0
27,MAHARASHTRA,27,ARABIC/ARBI ,1830,35487,24851
28,MAHARASHTRA,27,BALTI ,17,0,2
29,MAHARASHTRA,27,BHILI/BHILODI ,2247678,47974,13549
30,MAHARASHTRA,27,BHOTIA ,116,1,0
31,MAHARASHTRA,27,BHUMIJ ,37,4,0
32,MAHARASHTRA,27,BISHNUPURIYA,10,0,0
33,MAHARASHTRA,27,CHAKHESANG ,1,0,0
34,MAHARASHTRA,27,CHAKRU/CHOKRI ,8,1,1
35,MAHARASHTRA,27,CHANG ,35,6,6
36,MAHARASHTRA,27,COORGI/KODAGU ,634,2,0
37,MAHARASHTRA,27,DEORI ,5,0,0
38,MAHARASHTRA,27,DIMASA ,26,3,3
39,MAHARASHTRA,27,ENGLISH ,106656,3255455,12729997
40,MAHARASHTRA,27,GADABA ,9,0,0
41,MAHARASHTRA,27,GANGTE ,16,0,0
42,MAHARASHTRA,27,GARO ,117,1,1
43,MAHARASHTRA,27,GONDI,458806,75967,18373
44,MAHARASHTRA,27,HALABI,24950,3876,1683
45,MAHARASHTRA,27,HALAM ,13,8,1
46,MAHARASHTRA,27,HMAR,10,0,0
47,MAHARASHTRA,27,HO,1470,5,0
48,MAHARASHTRA,27,KABUI ,57,2,0
49,MAHARASHTRA,27,KARBI/MIKIR ,21,0,1
50,MAHARASHTRA,27,KHANDESHI,1616730,434187,71312
51,MAHARASHTRA,27,KHARIA ,341,43,3
52,MAHARASHTRA,27,KHASI ,249,7,12
53,MAHARASHTRA,27,KHEZHA ,21,0,2
54,MAHARASHTRA,27,KHOND/KONDH ,29,3,3
55,MAHARASHTRA,27,KINNAURI ,39,5,8
56,MAHARASHTRA,27,KISAN ,44,0,0
57,MAHARASHTRA,27,KOCH ,56,1,0
58,MAHARASHTRA,27,KODA/KORA ,57,1,9
59,MAHARASHTRA,27,KOLAMI ,89170,8494,339
60,MAHARASHTRA,27,KOM,35,0,0
61,MAHARASHTRA,27,KONDA,19,6,17
62,MAHARASHTRA,27,KONYAK ,8,0,0
63,MAHARASHTRA,27,KORKU ,255772,4164,3249
64,MAHARASHTRA,27,KORWA ,1546,80,68
65,MAHARASHTRA,27,KOYA ,20,0,0
66,MAHARASHTRA,27,KUKI,273,4,3
67,MAHARASHTRA,27,KURUKH/ORAON ,8239,395,87
68,MAHARASHTRA,27,LADAKHI ,14,4,2
69,MAHARASHTRA,27,LAHAULI ,9,0,2
