,state,code,language,first,second,third
0,MANIPUR,14,ASSAMESE,2453,3779,4067
1,MANIPUR,14,BENGALI ,30611,6702,3422
2,MANIPUR,14,BODO ,174,3,14
3,MANIPUR,14,DOGRI ,1853,68,20
4,MANIPUR,14,GUJARATI,164,37,20
5,MANIPUR,14,HINDI ,31703,212680,282143
6,MANIPUR,14,KANNADA,639,27,35
7,MANIPUR,14,KASHMIRI ,48,4,1
8,MANIPUR,14,KONKANI,32,1,1
9,MANIPUR,14,MAITHILI ,213,581,43
10,MANIPUR,14,MALAYALAM,1519,25,62
11,MANIPUR,14,MANIPURI ,1522132,375865,95743
12,MANIPUR,14,MARATHI ,1583,63,50
13,MANIPUR,14,NEPALI ,63756,1647,1379
14,MANIPUR,14,ODIA ,931,19,12
15,MANIPUR,14,PUNJABI ,1370,176,153
16,MANIPUR,14,SANSKRIT ,1,157,229
17,MANIPUR,14,SANTALI ,18,0,3
18,MANIPUR,14,TAMIL ,1657,78,253
19,MANIPUR,14,TELUGU ,1098,435,190
20,MANIPUR,14,URDU,247,941,804
21,MANIPUR,14,ADI ,78,2,2
22,MANIPUR,14,AFGHANI/KABULI/PASHTO ,1,0,0
23,MANIPUR,14,ANAL ,26508,228,280
24,MANIPUR,14,ANGAMI ,76,17,12
25,MANIPUR,14,AO ,2529,57,180
26,MANIPUR,14,ARABIC/ARBI ,5,577,298
27,MANIPUR,14,BHILI/BHILODI ,2,0,0
28,MANIPUR,14,BHOTIA ,11,2,1
29,MANIPUR,14,BISHNUPURIYA,1288,24,6
30,MANIPUR,14,CHAKHESANG ,1146,648,0
31,MANIPUR,14,CHAKRU/CHOKRI ,2,0,2
32,MANIPUR,14,CHANG ,5,0,0
33,MANIPUR,14,COORGI/KODAGU ,1,0,0
34,MANIPUR,14,DEORI ,2,0,0
35,MANIPUR,14,DIMASA ,36,7,0
36,MANIPUR,14,ENGLISH ,331,721374,181320
37,MANIPUR,14,GANGTE ,15274,2707,3792
38,MANIPUR,14,GARO ,65,1,6
39,MANIPUR,14,GONDI,3,0,0
40,MANIPUR,14,HALAM ,16,0,0
41,MANIPUR,14,HMAR,49081,3838,2591
42,MANIPUR,14,HO,2,0,0
43,MANIPUR,14,KABUI ,109616,2743,1046
44,MANIPUR,14,KARBI/MIKIR ,107,8,5
45,MANIPUR,14,KHANDESHI,1,0,1
46,MANIPUR,14,KHARIA ,20,0,1
47,MANIPUR,14,KHASI ,670,26,25
48,MANIPUR,14,KHEZHA ,6977,32,10
49,MANIPUR,14,KHIEMNUNGAN,2,0,0
50,MANIPUR,14,KHOND/KONDH ,53,2,4
51,MANIPUR,14,KINNAURI ,1,0,0
52,MANIPUR,14,KISAN ,179,0,0
53,MANIPUR,14,KOCH ,2,0,0
54,MANIPUR,14,KOM,14621,142,408
55,MANIPUR,14,KONYAK ,36,2,4
56,MANIPUR,14,KUKI,37805,2114,2393
57,MANIPUR,14,KURUKH/ORAON ,36,4,1
58,MANIPUR,14,LADAKHI ,3,0,0
59,MANIPUR,14,LAKHER,4,5,0
60,MANIPUR,14,LEPCHA ,16,0,1
61,MANIPUR,14,LIANGMEI ,45546,641,493
62,MANIPUR,14,LIMBU ,169,1,2
63,MANIPUR,14,LOTHA ,69,1,1
64,MANIPUR,14,LUSHAI/MIZO ,6500,8992,5912
65,MANIPUR,14,MAO,224361,442,134
66,MANIPUR,14,MARAM,32098,62,74
67,MANIPUR,14,MARING ,25657,68,33
68,MANIPUR,14,MIRI/MISHING,10,0,0
69,MANIPUR,14,MISHMI ,11,2,1
70,MANIPUR,14,MOGH ,7,0,0
71,MANIPUR,14,MONPA ,27,1,0
72,MANIPUR,14,MUNDA,29,4,0
73,MANIPUR,14,MUNDARI ,4,0,2
74,MANIPUR,14,NICOBARESE ,2,0,0
75,MANIPUR,14,NISSI/DAFLA ,21,0,3
76,MANIPUR,14,NOCTE ,44,0,0
77,MANIPUR,14,PAITE,55031,12626,7176
78,MANIPUR,14,PHOM ,16,0,0
79,MANIPUR,14,POCHURY,69,0,0
80,MANIPUR,14,RABHA ,18,1,0
81,MANIPUR,14,RAI ,146,0,1
82,MANIPUR,14,RENGMA ,3,1,0
83,MANIPUR,14,SANGTAM ,10,2,0
84,MANIPUR,14,SEMA,104,6,6
85,MANIPUR,14,SHERPA ,26,12,5
86,MANIPUR,14,TAMANG ,537,9,3
87,MANIPUR,14,TANGKHUL ,183091,646,484
88,MANIPUR,14,TANGSA,49,1,0
89,MANIPUR,14,THADO ,223779,11073,6207
90,MANIPUR,14,TIBETAN ,3,2,1
91,MANIPUR,14,TRIPURI ,208,4,6
92,MANIPUR,14,TULU ,15,8,4
93,MANIPUR,14,VAIPHEI ,39902,5395,4632
94,MANIPUR,14,WANCHO,42,34,13
95,MANIPUR,14,YIMCHUNGRE,8497,3,0
96,MANIPUR,14,ZELIANG ,2727,4,0
97,MANIPUR,14,ZEMI ,18795,240,279
98,MANIPUR,14,ZOU ,25861,4732,6057
99,MANIPUR,14,OTHERS,33497,5757,4256
