,state,code,language,first,second,third
0,MEGHALAYA,17,ASSAMESE,39628,52248,20286
1,MEGHALAYA,17,BENGALI ,232525,40725,19124
2,MEGHALAYA,17,BODO ,4879,419,275
3,MEGHALAYA,17,DOGRI ,426,23,10
4,MEGHALAYA,17,GUJARATI,343,75,20
5,MEGHALAYA,17,HINDI ,62905,213593,137353
6,MEGHALAYA,17,KANNADA,454,18,29
7,MEGHALAYA,17,KASHMIRI ,79,5,6
8,MEGHALAYA,17,KONKANI,68,0,0
9,MEGHALAYA,17,MAITHILI ,881,22,20
10,MEGHALAYA,17,MALAYALAM,1789,14,12
11,MEGHALAYA,17,MANIPURI ,4451,210,409
12,MEGHALAYA,17,MARATHI ,20751,851,242
13,MEGHALAYA,17,NEPALI ,54716,3353,3933
14,MEGHALAYA,17,ODIA ,1518,20,15
15,MEGHALAYA,17,PUNJABI ,4540,109,196
16,MEGHALAYA,17,SANSKRIT ,9,30,69
17,MEGHALAYA,17,SANTALI ,240,14,6
18,MEGHALAYA,17,SINDHI,236,1,0
19,MEGHALAYA,17,TAMIL ,913,19,54
20,MEGHALAYA,17,TELUGU ,1277,27,26
21,MEGHALAYA,17,URDU,2129,302,182
22,MEGHALAYA,17,ADI ,390,4,0
23,MEGHALAYA,17,AFGHANI/KABULI/PASHTO ,7,0,0
24,MEGHALAYA,17,ANAL ,219,1,1
25,MEGHALAYA,17,ANGAMI ,89,1,1
26,MEGHALAYA,17,AO ,423,3,8
27,MEGHALAYA,17,ARABIC/ARBI ,7,47,52
28,MEGHALAYA,17,BHILI/BHILODI ,13,17,0
29,MEGHALAYA,17,BHOTIA ,207,3,2
30,MEGHALAYA,17,BISHNUPURIYA,332,0,0
31,MEGHALAYA,17,CHAKHESANG ,25,0,0
32,MEGHALAYA,17,CHAKRU/CHOKRI ,17,0,0
33,MEGHALAYA,17,CHANG ,10,0,0
34,MEGHALAYA,17,COORGI/KODAGU ,1,0,0
35,MEGHALAYA,17,DEORI ,26,1,0
36,MEGHALAYA,17,DIMASA ,284,10,0
37,MEGHALAYA,17,ENGLISH ,311,393098,69811
38,MEGHALAYA,17,GANGTE ,281,1,1
39,MEGHALAYA,17,GARO ,936496,18207,9511
40,MEGHALAYA,17,HALAM ,108,13,2
41,MEGHALAYA,17,HMAR,1994,283,96
42,MEGHALAYA,17,HO,2,0,0
43,MEGHALAYA,17,JATAPU ,1,0,0
44,MEGHALAYA,17,KABUI ,208,0,4
45,MEGHALAYA,17,KARBI/MIKIR ,14380,1112,189
46,MEGHALAYA,17,KHANDESHI,1,0,0
47,MEGHALAYA,17,KHARIA ,20,0,0
48,MEGHALAYA,17,KHASI ,1382278,93170,11720
49,MEGHALAYA,17,KHEZHA ,17,0,0
50,MEGHALAYA,17,KHIEMNUNGAN,2,0,0
51,MEGHALAYA,17,KHOND/KONDH ,1,0,0
52,MEGHALAYA,17,KOCH ,23199,194,159
53,MEGHALAYA,17,KODA/KORA ,3,0,0
54,MEGHALAYA,17,KOM,79,0,0
55,MEGHALAYA,17,KONDA,1,0,0
56,MEGHALAYA,17,KONYAK ,27,0,0
57,MEGHALAYA,17,KORWA ,4,0,0
58,MEGHALAYA,17,KOYA ,1,0,0
59,MEGHALAYA,17,KUI ,1,0,0
60,MEGHALAYA,17,KUKI,1367,21,12
61,MEGHALAYA,17,KURUKH/ORAON ,176,2,2
62,MEGHALAYA,17,LAHNDA ,5,0,0
63,MEGHALAYA,17,LAKHER,91,0,1
64,MEGHALAYA,17,LALUNG ,2057,9,6
65,MEGHALAYA,17,LEPCHA ,17,0,0
66,MEGHALAYA,17,LIANGMEI ,39,0,0
67,MEGHALAYA,17,LIMBU ,15,0,0
68,MEGHALAYA,17,LOTHA ,228,0,0
69,MEGHALAYA,17,LUSHAI/MIZO ,4455,286,347
70,MEGHALAYA,17,MAO,225,1,1
71,MEGHALAYA,17,MARING ,2,0,0
72,MEGHALAYA,17,MIRI/MISHING,131,7,8
73,MEGHALAYA,17,MISHMI ,30,0,1
74,MEGHALAYA,17,MOGH ,4,0,0
75,MEGHALAYA,17,MONPA ,90,0,0
76,MEGHALAYA,17,MUNDA,761,0,2
77,MEGHALAYA,17,MUNDARI ,27,0,0
78,MEGHALAYA,17,NISSI/DAFLA ,318,0,0
79,MEGHALAYA,17,NOCTE ,74,2,0
80,MEGHALAYA,17,PAITE,770,2,2
81,MEGHALAYA,17,PAWI ,4,0,0
82,MEGHALAYA,17,PHOM ,13,0,0
83,MEGHALAYA,17,RABHA ,21671,778,505
84,MEGHALAYA,17,RAI ,7,0,0
85,MEGHALAYA,17,RENGMA ,49,4,0
86,MEGHALAYA,17,SANGTAM ,26,0,0
87,MEGHALAYA,17,SAVARA,16,0,0
88,MEGHALAYA,17,SEMA,66,0,2
89,MEGHALAYA,17,TAMANG ,30,1,2
90,MEGHALAYA,17,TANGKHUL ,951,0,4
91,MEGHALAYA,17,TANGSA,37,0,0
92,MEGHALAYA,17,THADO ,1082,64,22
93,MEGHALAYA,17,TIBETAN ,499,4,2
94,MEGHALAYA,17,TRIPURI ,2735,5,4
95,MEGHALAYA,17,TULU ,43,20,13
96,MEGHALAYA,17,VAIPHEI ,960,1,0
97,MEGHALAYA,17,WANCHO,105,0,0
98,MEGHALAYA,17,YIMCHUNGRE,23,0,0
99,MEGHALAYA,17,ZELIANG ,302,0,1
100,MEGHALAYA,17,ZEMI ,26,0,0
101,MEGHALAYA,17,ZOU ,292,0,0
102,MEGHALAYA,17,OTHERS,130848,2870,170
