,state,code,language,first,second,third
0,MIZORAM,15,ASSAMESE,1266,227,477
1,MIZORAM,15,BENGALI ,107840,4812,2778
2,MIZORAM,15,BODO ,203,28,12
3,MIZORAM,15,DOGRI ,193,33,13
4,MIZORAM,15,GUJARATI,59,7,1
5,MIZORAM,15,HINDI ,10677,41292,24966
6,MIZORAM,15,KANNADA,189,7,15
7,MIZORAM,15,KASHMIRI ,23,2,1
8,MIZORAM,15,KONKANI,54,0,0
9,MIZORAM,15,MAITHILI ,111,16,6
10,MIZORAM,15,MALAYALAM,718,15,10
11,MIZORAM,15,MANIPURI ,2242,419,395
12,MIZORAM,15,MARATHI ,408,14,12
13,MIZORAM,15,NEPALI ,8994,379,349
14,MIZORAM,15,ODIA ,277,5,1
15,MIZORAM,15,PUNJABI ,349,61,43
16,MIZORAM,15,SANTALI ,1150,12,9
17,MIZORAM,15,TAMIL ,306,14,36
18,MIZORAM,15,TELUGU ,334,34,22
19,MIZORAM,15,URDU,113,53,32
20,MIZORAM,15,ADI ,26,0,1
21,MIZORAM,15,ANAL ,4,1,0
22,MIZORAM,15,ANGAMI ,10,0,0
23,MIZORAM,15,AO ,39,0,0
24,MIZORAM,15,ARABIC/ARBI ,35,1,2
25,MIZORAM,15,BHILI/BHILODI ,17,2,1
26,MIZORAM,15,BHOTIA ,1,0,0
27,MIZORAM,15,BHUMIJ ,559,15,6
28,MIZORAM,15,BISHNUPURIYA,42,0,0
29,MIZORAM,15,CHAKHESANG ,6,0,0
30,MIZORAM,15,CHAKRU/CHOKRI ,5,0,0
31,MIZORAM,15,CHANG ,1,0,0
32,MIZORAM,15,COORGI/KODAGU ,1,0,0
33,MIZORAM,15,DEORI ,3,0,0
34,MIZORAM,15,DIMASA ,36,1,0
35,MIZORAM,15,ENGLISH ,61,155614,14351
36,MIZORAM,15,GANGTE ,705,92,27
37,MIZORAM,15,GARO ,94,10,7
38,MIZORAM,15,HALABI,1,0,0
39,MIZORAM,15,HALAM ,375,24,30
40,MIZORAM,15,HMAR,17981,2736,297
41,MIZORAM,15,HO,2,0,0
42,MIZORAM,15,KABUI ,15,0,0
43,MIZORAM,15,KARBI/MIKIR ,8,10,12
44,MIZORAM,15,KHARIA ,6,0,0
45,MIZORAM,15,KHASI ,707,51,80
46,MIZORAM,15,KINNAURI ,1,0,0
47,MIZORAM,15,KISAN ,1,0,0
48,MIZORAM,15,KOCH ,3,0,0
49,MIZORAM,15,KOM,1,0,0
50,MIZORAM,15,KONYAK ,7,0,0
51,MIZORAM,15,KUKI,295,11,12
52,MIZORAM,15,KURUKH/ORAON ,42,2,0
53,MIZORAM,15,LADAKHI ,4,0,0
54,MIZORAM,15,LAHAULI ,1,0,0
55,MIZORAM,15,LAKHER,41876,1595,461
56,MIZORAM,15,LEPCHA ,3,0,0
57,MIZORAM,15,LIANGMEI ,1,1,0
58,MIZORAM,15,LIMBU ,1,19,3
59,MIZORAM,15,LOTHA ,9,0,0
60,MIZORAM,15,LUSHAI/MIZO ,802763,96664,7023
61,MIZORAM,15,MAO,13,0,0
62,MIZORAM,15,MARAM,2,0,0
63,MIZORAM,15,MARING ,2,0,0
64,MIZORAM,15,MIRI/MISHING,18,4,2
65,MIZORAM,15,MISHMI ,4,2,0
66,MIZORAM,15,MOGH ,330,90,26
67,MIZORAM,15,MONPA ,4,0,0
68,MIZORAM,15,MUNDA,26,6,0
69,MIZORAM,15,MUNDARI ,7,0,0
70,MIZORAM,15,NISSI/DAFLA ,22,0,0
71,MIZORAM,15,NOCTE ,4,0,0
72,MIZORAM,15,PAITE,22214,986,194
73,MIZORAM,15,PAWI ,28624,1998,514
74,MIZORAM,15,RABHA ,8,4,0
75,MIZORAM,15,RAI ,23,1,0
76,MIZORAM,15,RENGMA ,7,0,0
77,MIZORAM,15,SANGTAM ,1,0,0
78,MIZORAM,15,SAVARA,1,0,0
79,MIZORAM,15,SEMA,5,0,0
80,MIZORAM,15,TAMANG ,17,2,2
81,MIZORAM,15,TANGKHUL ,20,0,0
82,MIZORAM,15,TANGSA,5,0,2
83,MIZORAM,15,THADO ,476,122,40
84,MIZORAM,15,TIBETAN ,1,0,0
85,MIZORAM,15,TRIPURI ,32634,923,175
86,MIZORAM,15,TULU ,6,0,0
87,MIZORAM,15,VAIPHEI ,339,33,8
88,MIZORAM,15,WANCHO,57,15,5
89,MIZORAM,15,ZELIANG ,9,0,0
90,MIZORAM,15,ZEMI ,26,3,1
91,MIZORAM,15,ZOU ,128,2,7
92,MIZORAM,15,OTHERS,10919,1230,491
