,state,code,language,first,second,third
0,NAGALAND,13,ASSAMESE,17201,539985,259255
1,NAGALAND,13,BENGALI ,74753,865,1013
2,NAGALAND,13,BODO ,7372,201,37
3,NAGALAND,13,DOGRI ,1269,38,24
4,NAGALAND,13,GUJARATI,277,7,6
5,NAGALAND,13,HINDI ,62942,129201,122309
6,NAGALAND,13,KANNADA,337,13,25
7,NAGALAND,13,KASHMIRI ,77,0,0
8,NAGALAND,13,KONKANI,51,4,1
9,NAGALAND,13,MAITHILI ,1473,24,24
10,NAGALAND,13,MALAYALAM,2916,33,47
11,NAGALAND,13,MANIPURI ,9511,835,909
12,NAGALAND,13,MARATHI ,2659,30,32
13,NAGALAND,13,NEPALI ,43481,1178,1010
14,NAGALAND,13,ODIA ,4565,41,23
15,NAGALAND,13,PUNJABI ,2249,145,143
16,NAGALAND,13,SANTALI ,156,2,0
17,NAGALAND,13,SINDHI,82,1,8
18,NAGALAND,13,TAMIL ,1127,56,149
19,NAGALAND,13,TELUGU ,1188,52,36
20,NAGALAND,13,URDU,1095,146,87
21,NAGALAND,13,ADI ,95,8,1
22,NAGALAND,13,AFGHANI/KABULI/PASHTO ,5,0,0
23,NAGALAND,13,ANAL ,184,0,0
24,NAGALAND,13,ANGAMI ,151883,20103,7704
25,NAGALAND,13,AO ,231084,4700,4001
26,NAGALAND,13,ARABIC/ARBI ,21,4,6
27,NAGALAND,13,BHILI/BHILODI ,20,4,0
28,NAGALAND,13,BHOTIA ,136,5,2
29,NAGALAND,13,BHUMIJ ,10,0,0
30,NAGALAND,13,BISHNUPURIYA,125,0,0
31,NAGALAND,13,CHAKHESANG ,17919,201,192
32,NAGALAND,13,CHAKRU/CHOKRI ,91010,1547,1073
33,NAGALAND,13,CHANG ,65632,1057,707
34,NAGALAND,13,COORGI/KODAGU ,2,0,0
35,NAGALAND,13,DEORI ,5,0,0
36,NAGALAND,13,DIMASA ,4871,6,12
37,NAGALAND,13,ENGLISH ,419,513891,130145
38,NAGALAND,13,GANGTE ,10,0,0
39,NAGALAND,13,GARO ,2351,40,26
40,NAGALAND,13,GONDI,17,1,0
41,NAGALAND,13,HALAM ,4,0,0
42,NAGALAND,13,HMAR,61,1,1
43,NAGALAND,13,HO,11,0,0
44,NAGALAND,13,JUANG ,1,0,0
45,NAGALAND,13,KABUI ,6968,68,52
46,NAGALAND,13,KARBI/MIKIR ,584,8,25
47,NAGALAND,13,KHANDESHI,5,0,0
48,NAGALAND,13,KHARIA ,164,0,1
49,NAGALAND,13,KHASI ,721,39,91
50,NAGALAND,13,KHEZHA ,34218,769,335
51,NAGALAND,13,KHIEMNUNGAN,61906,135,84
52,NAGALAND,13,KHOND/KONDH ,1,0,0
53,NAGALAND,13,KINNAURI ,5,0,0
54,NAGALAND,13,KISAN ,8,0,0
55,NAGALAND,13,KOCH ,8,0,0
56,NAGALAND,13,KOM,49,0,0
57,NAGALAND,13,KONYAK ,244135,455,424
58,NAGALAND,13,KOYA ,3,0,0
59,NAGALAND,13,KUKI,18392,73,77
60,NAGALAND,13,KURUKH/ORAON ,993,4,0
61,NAGALAND,13,LAHNDA ,3,0,0
62,NAGALAND,13,LAKHER,12,0,0
63,NAGALAND,13,LALUNG ,24,0,0
64,NAGALAND,13,LEPCHA ,45,0,0
65,NAGALAND,13,LIANGMEI ,3923,39,77
66,NAGALAND,13,LIMBU ,32,0,0
67,NAGALAND,13,LOTHA ,177488,920,626
68,NAGALAND,13,LUSHAI/MIZO ,1194,44,79
69,NAGALAND,13,MAO,14490,127,115
70,NAGALAND,13,MARAM,240,2,1
71,NAGALAND,13,MARING ,96,1,0
72,NAGALAND,13,MIRI/MISHING,86,0,0
73,NAGALAND,13,MISHMI ,33,0,0
74,NAGALAND,13,MOGH ,9,0,0
75,NAGALAND,13,MONPA ,11,0,0
76,NAGALAND,13,MUNDA,279,7,1
77,NAGALAND,13,MUNDARI ,219,1,0
78,NAGALAND,13,NISSI/DAFLA ,111,1,20
79,NAGALAND,13,NOCTE ,75,1,0
80,NAGALAND,13,PAITE,150,5,0
81,NAGALAND,13,PARJI ,9,0,0
82,NAGALAND,13,PAWI ,9,0,0
83,NAGALAND,13,PHOM ,53674,203,152
84,NAGALAND,13,POCHURY,21446,130,105
85,NAGALAND,13,RABHA ,131,59,12
86,NAGALAND,13,RAI ,17,0,0
87,NAGALAND,13,RENGMA ,61537,169,162
88,NAGALAND,13,SANGTAM ,75841,2535,1335
89,NAGALAND,13,SAVARA,14,0,0
90,NAGALAND,13,SEMA,8268,971,737
91,NAGALAND,13,SHERPA ,13,0,0
92,NAGALAND,13,TAMANG ,135,0,1
93,NAGALAND,13,TANGKHUL ,2018,42,19
94,NAGALAND,13,TANGSA,151,3,17
95,NAGALAND,13,THADO ,148,2,3
96,NAGALAND,13,TIBETAN ,207,2,3
97,NAGALAND,13,TRIPURI ,339,7,6
98,NAGALAND,13,TULU ,1,1,1
99,NAGALAND,13,VAIPHEI ,107,0,1
100,NAGALAND,13,WANCHO,92,39,16
101,NAGALAND,13,YIMCHUNGRE,74156,3259,1794
102,NAGALAND,13,ZELIANG ,60399,261,295
103,NAGALAND,13,ZEMI ,11165,29,32
104,NAGALAND,13,ZOU ,31,1,0
105,NAGALAND,13,OTHERS,241257,4859,1713
