,state,code,language,first,second,third
0,NCT OF DELHI,07,ASSAMESE,8573,923,980
1,NCT OF DELHI,07,BENGALI ,215960,23528,10080
2,NCT OF DELHI,07,BODO ,293,7,9
3,NCT OF DELHI,07,DOGRI ,6350,1484,687
4,NCT OF DELHI,07,GUJARATI,40613,4446,2464
5,NCT OF DELHI,07,HINDI ,14255526,1788895,198111
6,NCT OF DELHI,07,KANNADA,10012,912,935
7,NCT OF DELHI,07,KASHMIRI ,18122,1413,973
8,NCT OF DELHI,07,KONKANI,1553,100,98
9,NCT OF DELHI,07,MAITHILI ,122956,19889,3356
10,NCT OF DELHI,07,MALAYALAM,88662,1754,1445
11,NCT OF DELHI,07,MANIPURI ,3892,204,215
12,NCT OF DELHI,07,MARATHI ,27239,4007,2713
13,NCT OF DELHI,07,NEPALI ,37468,7577,1630
14,NCT OF DELHI,07,ODIA ,37645,2957,1507
15,NCT OF DELHI,07,PUNJABI ,873477,276853,140408
16,NCT OF DELHI,07,SANSKRIT ,648,22260,48755
17,NCT OF DELHI,07,SANTALI ,521,52,30
18,NCT OF DELHI,07,SINDHI,31177,5557,1996
19,NCT OF DELHI,07,TAMIL ,82719,3881,2510
20,NCT OF DELHI,07,TELUGU ,25934,1439,1294
21,NCT OF DELHI,07,URDU,867673,187957,29398
22,NCT OF DELHI,07,ADI ,32,2,1
23,NCT OF DELHI,07,AFGHANI/KABULI/PASHTO ,1768,273,190
24,NCT OF DELHI,07,ANAL ,42,1,0
25,NCT OF DELHI,07,ANGAMI ,79,0,0
26,NCT OF DELHI,07,AO ,100,2,1
27,NCT OF DELHI,07,ARABIC/ARBI ,696,10443,8727
28,NCT OF DELHI,07,BHILI/BHILODI ,304,24,22
29,NCT OF DELHI,07,BHOTIA ,372,5,7
30,NCT OF DELHI,07,BHUMIJ ,9,0,2
31,NCT OF DELHI,07,BISHNUPURIYA,25,0,3
32,NCT OF DELHI,07,CHAKHESANG ,6,0,0
33,NCT OF DELHI,07,CHAKRU/CHOKRI ,4,0,0
34,NCT OF DELHI,07,CHANG ,10,3,1
35,NCT OF DELHI,07,COORGI/KODAGU ,59,0,0
36,NCT OF DELHI,07,DEORI ,5,0,0
37,NCT OF DELHI,07,DIMASA ,17,5,3
38,NCT OF DELHI,07,ENGLISH ,6236,4438896,880596
39,NCT OF DELHI,07,GANGTE ,83,0,0
40,NCT OF DELHI,07,GARO ,92,2,1
41,NCT OF DELHI,07,GONDI,147,20,9
42,NCT OF DELHI,07,HALABI,60,3,0
43,NCT OF DELHI,07,HALAM ,28,2,0
44,NCT OF DELHI,07,HMAR,197,4,1
45,NCT OF DELHI,07,HO,70,9,0
46,NCT OF DELHI,07,JATAPU ,2,2,0
47,NCT OF DELHI,07,KABUI ,157,1,3
48,NCT OF DELHI,07,KARBI/MIKIR ,10,0,1
49,NCT OF DELHI,07,KHANDESHI,178,43,12
50,NCT OF DELHI,07,KHARIA ,430,50,10
51,NCT OF DELHI,07,KHASI ,202,7,10
52,NCT OF DELHI,07,KHEZHA ,21,0,0
53,NCT OF DELHI,07,KHIEMNUNGAN,3,0,0
54,NCT OF DELHI,07,KHOND/KONDH ,11,0,0
55,NCT OF DELHI,07,KINNAURI ,41,3,0
56,NCT OF DELHI,07,KODA/KORA ,3,0,0
57,NCT OF DELHI,07,KOM,11,0,0
58,NCT OF DELHI,07,KONDA,4,38,0
59,NCT OF DELHI,07,KONYAK ,6,0,0
60,NCT OF DELHI,07,KORWA ,8,5,3
61,NCT OF DELHI,07,KUKI,296,6,4
62,NCT OF DELHI,07,KURUKH/ORAON ,2753,482,146
63,NCT OF DELHI,07,LADAKHI ,371,10,18
64,NCT OF DELHI,07,LAHAULI ,16,0,0
65,NCT OF DELHI,07,LAHNDA ,4070,1682,750
66,NCT OF DELHI,07,LAKHER,21,0,1
67,NCT OF DELHI,07,LEPCHA ,33,2,0
68,NCT OF DELHI,07,LIANGMEI ,46,0,0
69,NCT OF DELHI,07,LIMBU ,6,0,1
70,NCT OF DELHI,07,LOTHA ,43,0,2
71,NCT OF DELHI,07,LUSHAI/MIZO ,715,40,24
72,NCT OF DELHI,07,MAO,176,0,0
73,NCT OF DELHI,07,MARAM,8,0,0
74,NCT OF DELHI,07,MARING ,16,0,0
75,NCT OF DELHI,07,MIRI/MISHING,8,0,0
76,NCT OF DELHI,07,MISHMI ,7,0,0
77,NCT OF DELHI,07,MOGH ,24,5,0
78,NCT OF DELHI,07,MONPA ,22,1,0
79,NCT OF DELHI,07,MUNDA,783,99,24
80,NCT OF DELHI,07,MUNDARI ,330,47,14
81,NCT OF DELHI,07,NISSI/DAFLA ,76,20,6
82,NCT OF DELHI,07,NOCTE ,10,0,0
83,NCT OF DELHI,07,PAITE,496,5,0
84,NCT OF DELHI,07,PARJI ,1,1,0
85,NCT OF DELHI,07,PHOM ,4,0,0
86,NCT OF DELHI,07,POCHURY,2,0,0
87,NCT OF DELHI,07,RABHA ,8,4,0
88,NCT OF DELHI,07,RAI ,1,0,0
89,NCT OF DELHI,07,RENGMA ,10,0,0
90,NCT OF DELHI,07,SANGTAM ,1,0,1
91,NCT OF DELHI,07,SAVARA,49,2,1
92,NCT OF DELHI,07,SEMA,16,0,0
93,NCT OF DELHI,07,SHERPA ,17,0,0
94,NCT OF DELHI,07,SHINA,4,0,2
95,NCT OF DELHI,07,TAMANG ,33,1,0
96,NCT OF DELHI,07,TANGKHUL ,310,2,0
97,NCT OF DELHI,07,TANGSA,4,0,2
98,NCT OF DELHI,07,THADO ,165,13,2
99,NCT OF DELHI,07,TIBETAN ,1900,50,24
100,NCT OF DELHI,07,TRIPURI ,58,5,0
101,NCT OF DELHI,07,TULU ,209,104,63
102,NCT OF DELHI,07,VAIPHEI ,90,0,1
103,NCT OF DELHI,07,WANCHO,9,0,0
104,NCT OF DELHI,07,YIMCHUNGRE,13,0,0
105,NCT OF DELHI,07,ZELIANG ,1,0,0
106,NCT OF DELHI,07,ZEMI ,15,0,0
107,NCT OF DELHI,07,ZOU ,54,0,0
108,NCT OF DELHI,07,OTHERS,6100,8695,17943
