,state,code,language,first,second,third
0,ODISHA,21,ASSAMESE,1123,193,323
1,ODISHA,21,BENGALI ,504570,141856,78926
2,ODISHA,21,BODO ,24,1,1
3,ODISHA,21,DOGRI ,353,15,11
4,ODISHA,21,GUJARATI,14856,1575,2629
5,ODISHA,21,HINDI ,1239037,3827006,2806703
6,ODISHA,21,KANNADA,3673,267,474
7,ODISHA,21,KASHMIRI ,140,12,11
8,ODISHA,21,KONKANI,7587,543,177
9,ODISHA,21,MAITHILI ,2438,239,157
10,ODISHA,21,MALAYALAM,9004,517,682
11,ODISHA,21,MANIPURI ,306,21,14
12,ODISHA,21,MARATHI ,8617,844,1255
13,ODISHA,21,NEPALI ,8654,440,368
14,ODISHA,21,ODIA ,34712170,4306159,236823
15,ODISHA,21,PUNJABI ,19470,1155,1240
16,ODISHA,21,SANSKRIT ,534,18262,40161
17,ODISHA,21,SANTALI ,862590,51216,18498
18,ODISHA,21,SINDHI,2338,138,54
19,ODISHA,21,TAMIL ,6155,1084,1558
20,ODISHA,21,TELUGU ,667693,210792,53254
21,ODISHA,21,URDU,670572,23472,11434
22,ODISHA,21,ADI ,12,3,1
23,ODISHA,21,AFGHANI/KABULI/PASHTO ,12,0,0
24,ODISHA,21,ANGAMI ,4,0,0
25,ODISHA,21,ARABIC/ARBI ,230,1980,845
26,ODISHA,21,BHILI/BHILODI ,1213,50,6
27,ODISHA,21,BHUMIJ ,5912,564,298
28,ODISHA,21,CHANG ,32,28,1
29,ODISHA,21,COORGI/KODAGU ,1341,0,0
30,ODISHA,21,DIMASA ,3,30,4
31,ODISHA,21,ENGLISH ,2154,5002990,2228896
32,ODISHA,21,GADABA ,33342,2105,316
33,ODISHA,21,GARO ,3748,57,7
34,ODISHA,21,GONDI,56517,5276,1309
35,ODISHA,21,HALABI,31767,9351,3551
36,ODISHA,21,HALAM ,13,1,0
37,ODISHA,21,HMAR,1,0,0
38,ODISHA,21,HO,411724,25859,6979
39,ODISHA,21,JATAPU ,81,3,0
40,ODISHA,21,JUANG ,30377,1605,18
41,ODISHA,21,KABUI ,7,1,0
42,ODISHA,21,KARBI/MIKIR ,16,0,0
43,ODISHA,21,KHANDESHI,16,6,0
44,ODISHA,21,KHARIA ,126872,5067,1423
45,ODISHA,21,KHASI ,705,108,1
46,ODISHA,21,KHEZHA ,8,0,0
47,ODISHA,21,KHOND/KONDH ,114802,7656,714
48,ODISHA,21,KISAN ,194716,15861,1449
49,ODISHA,21,KOCH ,10,0,1
50,ODISHA,21,KODA/KORA ,2104,235,7
51,ODISHA,21,KOM,5,0,0
52,ODISHA,21,KONDA,2160,72,10
53,ODISHA,21,KONYAK ,3,0,0
54,ODISHA,21,KORWA ,478,168,203
55,ODISHA,21,KOYA ,143676,3197,1596
56,ODISHA,21,KUI ,939283,77827,4986
57,ODISHA,21,KUKI,16,0,1
58,ODISHA,21,KURUKH/ORAON ,136031,6256,2198
59,ODISHA,21,LADAKHI ,3114,80,20
60,ODISHA,21,LAHAULI ,1,0,0
61,ODISHA,21,LAHNDA ,103,9,0
62,ODISHA,21,LAKHER,2,1,1
63,ODISHA,21,LOTHA ,8,0,0
64,ODISHA,21,LUSHAI/MIZO ,14,0,0
65,ODISHA,21,MALTO ,1355,260,6
66,ODISHA,21,MARAM,1,0,0
67,ODISHA,21,MISHMI ,2,0,0
68,ODISHA,21,MOGH ,15,0,0
69,ODISHA,21,MONPA ,1,0,0
70,ODISHA,21,MUNDA,335830,20491,3924
71,ODISHA,21,MUNDARI ,123488,5655,2269
72,ODISHA,21,NICOBARESE ,1,0,0
73,ODISHA,21,NISSI/DAFLA ,2,0,0
74,ODISHA,21,PAITE,3,0,0
75,ODISHA,21,PARJI ,584,8774,1407
76,ODISHA,21,POCHURY,6,0,0
77,ODISHA,21,RABHA ,9,0,1
78,ODISHA,21,RAI ,1810,0,0
79,ODISHA,21,RENGMA ,1,0,0
80,ODISHA,21,SAVARA,298655,14016,805
81,ODISHA,21,SHINA,1,0,0
82,ODISHA,21,TAMANG ,17,0,0
83,ODISHA,21,TANGKHUL ,3,0,4
84,ODISHA,21,THADO ,36,17,0
85,ODISHA,21,TIBETAN ,553,4,5
86,ODISHA,21,TRIPURI ,24,41,1
87,ODISHA,21,TULU ,79,106,40
88,ODISHA,21,YIMCHUNGRE,26,0,0
89,ODISHA,21,OTHERS,227179,23407,7221
