,state,code,language,first,second,third
0,PUDUCHERRY,34,ASSAMESE,90,7,6
1,PUDUCHERRY,34,BENGALI ,1509,177,208
2,PUDUCHERRY,34,BODO ,4,0,0
3,PUDUCHERRY,34,DOGRI ,8,0,0
4,PUDUCHERRY,34,GUJARATI,1428,156,224
5,PUDUCHERRY,34,HINDI ,6403,13493,28362
6,PUDUCHERRY,34,KANNADA,1870,1180,964
7,PUDUCHERRY,34,KASHMIRI ,30,1,0
8,PUDUCHERRY,34,KONKANI,101,9,4
9,PUDUCHERRY,34,MAITHILI ,14,1,7
10,PUDUCHERRY,34,MALAYALAM,47973,1092,1280
11,PUDUCHERRY,34,MANIPURI ,21,0,2
12,PUDUCHERRY,34,MARATHI ,890,115,151
13,PUDUCHERRY,34,NEPALI ,431,4,22
14,PUDUCHERRY,34,ODIA ,1910,51,29
15,PUDUCHERRY,34,PUNJABI ,121,29,31
16,PUDUCHERRY,34,SANSKRIT ,7,189,305
17,PUDUCHERRY,34,SINDHI,94,0,2
18,PUDUCHERRY,34,TAMIL ,1100976,27505,5646
19,PUDUCHERRY,34,TELUGU ,74347,12911,3201
20,PUDUCHERRY,34,URDU,8627,2031,474
21,PUDUCHERRY,34,ADI ,5,0,0
22,PUDUCHERRY,34,ARABIC/ARBI ,49,726,636
23,PUDUCHERRY,34,BHOTIA ,4,0,0
24,PUDUCHERRY,34,COORGI/KODAGU ,4,0,0
25,PUDUCHERRY,34,ENGLISH ,518,327758,22430
26,PUDUCHERRY,34,KHASI ,6,0,0
27,PUDUCHERRY,34,KONYAK ,1,0,0
28,PUDUCHERRY,34,KUKI,5,0,0
29,PUDUCHERRY,34,KURUKH/ORAON ,12,9,0
30,PUDUCHERRY,34,LAHNDA ,1,0,0
31,PUDUCHERRY,34,LUSHAI/MIZO ,2,0,0
32,PUDUCHERRY,34,MARAM,2,0,0
33,PUDUCHERRY,34,MUNDA,16,0,0
34,PUDUCHERRY,34,MUNDARI ,3,0,0
35,PUDUCHERRY,34,NISSI/DAFLA ,4,0,0
36,PUDUCHERRY,34,SAVARA,8,3,1
37,PUDUCHERRY,34,TIBETAN ,10,1,0
38,PUDUCHERRY,34,TULU ,33,8,2
39,PUDUCHERRY,34,OTHERS,416,4831,7675
