,state,code,language,first,second,third
0,PUNJAB,03,ASSAMESE,4090,324,267
1,PUNJAB,03,BENGALI ,27030,3097,1967
2,PUNJAB,03,BODO ,243,59,13
3,PUNJAB,03,DOGRI ,18155,3531,1368
4,PUNJAB,03,GUJARATI,13531,1206,1249
5,PUNJAB,03,HINDI ,2594831,10291769,1273945
6,PUNJAB,03,KANNADA,3899,172,220
7,PUNJAB,03,KASHMIRI ,2913,209,106
8,PUNJAB,03,KONKANI,165,104,28
9,PUNJAB,03,MAITHILI ,9054,1612,375
10,PUNJAB,03,MALAYALAM,9734,184,150
11,PUNJAB,03,MANIPURI ,901,76,72
12,PUNJAB,03,MARATHI ,20392,1001,883
13,PUNJAB,03,NEPALI ,22061,2619,817
14,PUNJAB,03,ODIA ,9969,121,53
15,PUNJAB,03,PUNJABI ,24917885,732208,95036
16,PUNJAB,03,SANSKRIT ,210,2600,3063
17,PUNJAB,03,SANTALI ,233,22,3
18,PUNJAB,03,SINDHI,754,377,48
19,PUNJAB,03,TAMIL ,10389,930,599
20,PUNJAB,03,TELUGU ,9523,315,231
21,PUNJAB,03,URDU,27387,65784,18235
22,PUNJAB,03,ADI ,30,4,5
23,PUNJAB,03,AFGHANI/KABULI/PASHTO ,160,42,16
24,PUNJAB,03,ANAL ,18,0,0
25,PUNJAB,03,ANGAMI ,5,11,1
26,PUNJAB,03,AO ,11,1,1
27,PUNJAB,03,ARABIC/ARBI ,1115,5005,13548
28,PUNJAB,03,BALTI ,4,10,3
29,PUNJAB,03,BHILI/BHILODI ,1920,222,7
30,PUNJAB,03,BHOTIA ,18,7,2
31,PUNJAB,03,BHUMIJ ,6,0,0
32,PUNJAB,03,BISHNUPURIYA,30,0,0
33,PUNJAB,03,CHAKHESANG ,2,0,0
34,PUNJAB,03,COORGI/KODAGU ,9,0,0
35,PUNJAB,03,DIMASA ,21,0,0
36,PUNJAB,03,ENGLISH ,1888,1918362,6415831
37,PUNJAB,03,GADABA ,1,0,0
38,PUNJAB,03,GANGTE ,4,0,0
39,PUNJAB,03,GARO ,35,4,5
40,PUNJAB,03,GONDI,13,3,1
41,PUNJAB,03,HALABI,1,0,0
42,PUNJAB,03,HALAM ,6,1,2
43,PUNJAB,03,HMAR,37,2,1
44,PUNJAB,03,HO,26,5,0
45,PUNJAB,03,KABUI ,1,0,0
46,PUNJAB,03,KHANDESHI,1137,39,6
47,PUNJAB,03,KHARIA ,95,8,1
48,PUNJAB,03,KHASI ,84,4,0
49,PUNJAB,03,KHEZHA ,4,0,0
50,PUNJAB,03,KINNAURI ,46,4,7
51,PUNJAB,03,KISAN ,6,0,0
52,PUNJAB,03,KOCH ,1,0,0
53,PUNJAB,03,KODA/KORA ,2,1,0
54,PUNJAB,03,KOM,9,0,0
55,PUNJAB,03,KONYAK ,8,0,1
56,PUNJAB,03,KORWA ,27,0,0
57,PUNJAB,03,KUKI,231,38,12
58,PUNJAB,03,KURUKH/ORAON ,195,116,11
59,PUNJAB,03,LADAKHI ,99,689,382
60,PUNJAB,03,LAHAULI ,1,3,0
61,PUNJAB,03,LAHNDA ,24642,445,188
62,PUNJAB,03,LAKHER,1,1,0
63,PUNJAB,03,LEPCHA ,2,0,0
64,PUNJAB,03,LIMBU ,5,0,0
65,PUNJAB,03,LOTHA ,14,1,1
66,PUNJAB,03,LUSHAI/MIZO ,472,20,12
67,PUNJAB,03,MAO,1,0,0
68,PUNJAB,03,MARAM,1,0,0
69,PUNJAB,03,MIRI/MISHING,1,0,0
70,PUNJAB,03,MISHMI ,1,0,0
71,PUNJAB,03,MOGH ,5,3,1
72,PUNJAB,03,MONPA ,4,0,1
73,PUNJAB,03,MUNDA,260,32,26
74,PUNJAB,03,MUNDARI ,548,50,3
75,PUNJAB,03,NISSI/DAFLA ,533,6,6
76,PUNJAB,03,NOCTE ,14,0,1
77,PUNJAB,03,PAITE,27,22,4
78,PUNJAB,03,POCHURY,4,0,0
79,PUNJAB,03,RABHA ,5,1,0
80,PUNJAB,03,RENGMA ,1,0,0
81,PUNJAB,03,SAVARA,7,2,1
82,PUNJAB,03,SEMA,4,2,0
83,PUNJAB,03,SHINA,4,17,8
84,PUNJAB,03,TANGKHUL ,18,1,0
85,PUNJAB,03,THADO ,17,0,2
86,PUNJAB,03,TIBETAN ,436,38,16
87,PUNJAB,03,TRIPURI ,95,4,1
88,PUNJAB,03,TULU ,4,1,1
89,PUNJAB,03,VAIPHEI ,4,0,0
90,PUNJAB,03,WANCHO,5,0,0
91,PUNJAB,03,YIMCHUNGRE,6,0,0
92,PUNJAB,03,ZEMI ,1,0,0
93,PUNJAB,03,ZOU ,17,0,0
94,PUNJAB,03,OTHERS,5524,1676,1069
