,state,code,language,first,second,third
0,RAJASTHAN,08,ASSAMESE,2877,499,231
1,RAJASTHAN,08,BENGALI ,81658,9159,1920
2,RAJASTHAN,08,BODO ,106,5,0
3,RAJASTHAN,08,DOGRI ,5120,344,148
4,RAJASTHAN,08,GUJARATI,67490,63093,26784
5,RAJASTHAN,08,HINDI ,61274274,3828471,46463
6,RAJASTHAN,08,KANNADA,5931,1946,904
7,RAJASTHAN,08,KASHMIRI ,4164,434,84
8,RAJASTHAN,08,KONKANI,255,42,19
9,RAJASTHAN,08,MAITHILI ,11666,1297,165
10,RAJASTHAN,08,MALAYALAM,24439,1718,734
11,RAJASTHAN,08,MANIPURI ,2168,474,37
12,RAJASTHAN,08,MARATHI ,23240,4763,2328
13,RAJASTHAN,08,NEPALI ,7636,1838,237
14,RAJASTHAN,08,ODIA ,17047,425,178
15,RAJASTHAN,08,PUNJABI ,2274342,167512,24038
16,RAJASTHAN,08,SANSKRIT ,2375,83552,260834
17,RAJASTHAN,08,SANTALI ,258,10,2
18,RAJASTHAN,08,SINDHI,386569,44615,3288
19,RAJASTHAN,08,TAMIL ,8939,1266,1037
20,RAJASTHAN,08,TELUGU ,8350,725,451
21,RAJASTHAN,08,URDU,664915,368559,24071
22,RAJASTHAN,08,ADI ,892,27,8
23,RAJASTHAN,08,AFGHANI/KABULI/PASHTO ,174,44,11
24,RAJASTHAN,08,ANAL ,7,7,0
25,RAJASTHAN,08,ANGAMI ,3,1,0
26,RAJASTHAN,08,AO ,9,0,0
27,RAJASTHAN,08,ARABIC/ARBI ,891,14306,12865
28,RAJASTHAN,08,BALTI ,10,2,0
29,RAJASTHAN,08,BHILI/BHILODI ,3592208,44107,3087
30,RAJASTHAN,08,BHOTIA ,33,3,6
31,RAJASTHAN,08,BHUMIJ ,7,1,2
32,RAJASTHAN,08,CHAKHESANG ,1,0,0
33,RAJASTHAN,08,CHAKRU/CHOKRI ,57,1,0
34,RAJASTHAN,08,CHANG ,4,1,0
35,RAJASTHAN,08,COORGI/KODAGU ,3,0,0
36,RAJASTHAN,08,DEORI ,8,0,0
37,RAJASTHAN,08,DIMASA ,3,0,0
38,RAJASTHAN,08,ENGLISH ,13202,2534269,572348
39,RAJASTHAN,08,GADABA ,9,0,0
40,RAJASTHAN,08,GANGTE ,6,0,0
41,RAJASTHAN,08,GARO ,26,2,1
42,RAJASTHAN,08,GONDI,1712,347,41
43,RAJASTHAN,08,HALABI,5,5,0
44,RAJASTHAN,08,HALAM ,92,2,0
45,RAJASTHAN,08,HMAR,2,0,0
46,RAJASTHAN,08,HO,713,1,0
47,RAJASTHAN,08,JATAPU ,2,0,0
48,RAJASTHAN,08,KABUI ,15,0,1
49,RAJASTHAN,08,KARBI/MIKIR ,3,0,0
50,RAJASTHAN,08,KHANDESHI,153,25,7
51,RAJASTHAN,08,KHARIA ,77,4,0
52,RAJASTHAN,08,KHASI ,65,2,0
53,RAJASTHAN,08,KHEZHA ,5,0,0
54,RAJASTHAN,08,KHIEMNUNGAN,10,0,0
55,RAJASTHAN,08,KHOND/KONDH ,1,0,0
56,RAJASTHAN,08,KINNAURI ,16,1,1
57,RAJASTHAN,08,KOCH ,1,0,0
58,RAJASTHAN,08,KOM,7,0,0
59,RAJASTHAN,08,KORKU ,46,1,0
60,RAJASTHAN,08,KORWA ,23,4,0
61,RAJASTHAN,08,KUKI,61,0,0
62,RAJASTHAN,08,KURUKH/ORAON ,251,11,1
63,RAJASTHAN,08,LADAKHI ,33,302,29
64,RAJASTHAN,08,LAHNDA ,15882,484,76
65,RAJASTHAN,08,LAKHER,92,4,2
66,RAJASTHAN,08,LEPCHA ,1,0,0
67,RAJASTHAN,08,LIMBU ,6,0,0
68,RAJASTHAN,08,LOTHA ,7,0,0
69,RAJASTHAN,08,LUSHAI/MIZO ,185,5,2
70,RAJASTHAN,08,MAO,295,152,73
71,RAJASTHAN,08,MARAM,3,0,0
72,RAJASTHAN,08,MIRI/MISHING,3,0,0
73,RAJASTHAN,08,MISHMI ,17,2,0
74,RAJASTHAN,08,MOGH ,2,1,0
75,RAJASTHAN,08,MONPA ,2,4,2
76,RAJASTHAN,08,MUNDA,2767,249,35
77,RAJASTHAN,08,MUNDARI ,121,8,0
78,RAJASTHAN,08,NISSI/DAFLA ,59,12,0
79,RAJASTHAN,08,NOCTE ,5,0,0
80,RAJASTHAN,08,PAITE,7,0,0
81,RAJASTHAN,08,PARJI ,1,0,0
82,RAJASTHAN,08,RABHA ,634,113,21
83,RAJASTHAN,08,RAI ,176,0,0
84,RAJASTHAN,08,SANGTAM ,1,0,0
85,RAJASTHAN,08,SAVARA,36,0,0
86,RAJASTHAN,08,SHINA,4,1,0
87,RAJASTHAN,08,TAMANG ,3,0,0
88,RAJASTHAN,08,TANGKHUL ,15,0,0
89,RAJASTHAN,08,TANGSA,1,0,1
90,RAJASTHAN,08,THADO ,9,5,1
91,RAJASTHAN,08,TIBETAN ,38,2,3
92,RAJASTHAN,08,TRIPURI ,169,5,2
93,RAJASTHAN,08,TULU ,119,248,17
94,RAJASTHAN,08,VAIPHEI ,2,0,0
95,RAJASTHAN,08,WANCHO,1,0,0
96,RAJASTHAN,08,YIMCHUNGRE,1,0,0
97,RAJASTHAN,08,ZOU ,4,0,0
98,RAJASTHAN,08,OTHERS,43104,297662,24153
