,state,code,language,first,second,third
0,SIKKIM,11,ASSAMESE,848,228,264
1,SIKKIM,11,BENGALI ,6986,1194,1950
2,SIKKIM,11,BODO ,65,14,10
3,SIKKIM,11,DOGRI ,261,31,57
4,SIKKIM,11,GUJARATI,197,12,18
5,SIKKIM,11,HINDI ,48586,161939,82329
6,SIKKIM,11,KANNADA,367,12,21
7,SIKKIM,11,KASHMIRI ,30,11,1
8,SIKKIM,11,KONKANI,27,1,1
9,SIKKIM,11,MAITHILI ,596,51,42
10,SIKKIM,11,MALAYALAM,899,21,17
11,SIKKIM,11,MANIPURI ,383,68,75
12,SIKKIM,11,MARATHI ,1138,34,49
13,SIKKIM,11,NEPALI ,382200,119160,18718
14,SIKKIM,11,ODIA ,985,34,29
15,SIKKIM,11,PUNJABI ,1954,98,122
16,SIKKIM,11,SANTALI ,310,3,5
17,SIKKIM,11,SINDHI,2,0,3
18,SIKKIM,11,TAMIL ,762,117,65
19,SIKKIM,11,TELUGU ,1035,31,46
20,SIKKIM,11,URDU,2001,194,214
21,SIKKIM,11,ADI ,9,0,0
22,SIKKIM,11,ANGAMI ,16,0,0
23,SIKKIM,11,AO ,5,0,0
24,SIKKIM,11,ARABIC/ARBI ,9,1,5
25,SIKKIM,11,BHOTIA ,41889,2628,1436
26,SIKKIM,11,BISHNUPURIYA,8,0,0
27,SIKKIM,11,CHANG ,6,1,0
28,SIKKIM,11,DIMASA ,1,0,0
29,SIKKIM,11,ENGLISH ,112,95730,73212
30,SIKKIM,11,GANGTE ,1,0,0
31,SIKKIM,11,GARO ,15,5,2
32,SIKKIM,11,GONDI,203,8,4
33,SIKKIM,11,HMAR,3,0,0
34,SIKKIM,11,KABUI ,10,0,0
35,SIKKIM,11,KARBI/MIKIR ,8,0,0
36,SIKKIM,11,KHANDESHI,1,0,0
37,SIKKIM,11,KHARIA ,16,0,0
38,SIKKIM,11,KHASI ,50,4,17
39,SIKKIM,11,KHEZHA ,1,0,0
40,SIKKIM,11,KINNAURI ,2,0,0
41,SIKKIM,11,KODA/KORA ,33,0,0
42,SIKKIM,11,KORWA ,1,0,0
43,SIKKIM,11,KUKI,4,1,0
44,SIKKIM,11,KURUKH/ORAON ,85,5,1
45,SIKKIM,11,LADAKHI ,80,5,3
46,SIKKIM,11,LALUNG ,5,0,0
47,SIKKIM,11,LEPCHA ,38313,994,425
48,SIKKIM,11,LIANGMEI ,3,0,0
49,SIKKIM,11,LIMBU ,38733,1492,368
50,SIKKIM,11,LOTHA ,7,0,0
51,SIKKIM,11,LUSHAI/MIZO ,49,1,8
52,SIKKIM,11,MAO,6,0,0
53,SIKKIM,11,MARAM,2,0,0
54,SIKKIM,11,MIRI/MISHING,1,0,0
55,SIKKIM,11,MISHMI ,5,0,0
56,SIKKIM,11,MONPA ,89,0,0
57,SIKKIM,11,MUNDA,35,1,0
58,SIKKIM,11,MUNDARI ,16,1,1
59,SIKKIM,11,NICOBARESE ,26,0,0
60,SIKKIM,11,NISSI/DAFLA ,3,0,0
61,SIKKIM,11,PAITE,10,0,0
62,SIKKIM,11,PARJI ,1,0,0
63,SIKKIM,11,RABHA ,19,8,5
64,SIKKIM,11,RAI ,7471,1243,261
65,SIKKIM,11,SEMA,1,0,0
66,SIKKIM,11,SHERPA ,13681,644,213
67,SIKKIM,11,TAMANG ,11734,1314,234
68,SIKKIM,11,TANGKHUL ,12,0,0
69,SIKKIM,11,THADO ,20,0,0
70,SIKKIM,11,TIBETAN ,2785,743,659
71,SIKKIM,11,TRIPURI ,14,0,0
72,SIKKIM,11,VAIPHEI ,2,4,0
73,SIKKIM,11,WANCHO,1,0,0
74,SIKKIM,11,OTHERS,5333,593,192
