,state,code,language,first,second,third
0,TAMIL NADU,33,ASSAMESE,2594,153,116
1,TAMIL NADU,33,BENGALI ,22969,28125,19233
2,TAMIL NADU,33,BODO ,67,5,2
3,TAMIL NADU,33,DOGRI ,934,33,33
4,TAMIL NADU,33,GUJARATI,275023,14455,3185
5,TAMIL NADU,33,HINDI ,393380,542679,587990
6,TAMIL NADU,33,KANNADA,1286175,431473,152954
7,TAMIL NADU,33,KASHMIRI ,453,55,30
8,TAMIL NADU,33,KONKANI,6098,284,170
9,TAMIL NADU,33,MAITHILI ,380,31,24
10,TAMIL NADU,33,MALAYALAM,726096,196191,86181
11,TAMIL NADU,33,MANIPURI ,928,47,42
12,TAMIL NADU,33,MARATHI ,85454,6489,5798
13,TAMIL NADU,33,NEPALI ,7575,259,133
14,TAMIL NADU,33,ODIA ,21381,1047,644
15,TAMIL NADU,33,PUNJABI ,6565,559,966
16,TAMIL NADU,33,SANSKRIT ,803,6938,6945
17,TAMIL NADU,33,SANTALI ,156,9,8
18,TAMIL NADU,33,SINDHI,8448,111,87
19,TAMIL NADU,33,TAMIL ,63753997,5437902,212393
20,TAMIL NADU,33,TELUGU ,4234302,1421367,148965
21,TAMIL NADU,33,URDU,1264537,126449,14726
22,TAMIL NADU,33,ADI ,30,16,0
23,TAMIL NADU,33,AFGHANI/KABULI/PASHTO ,14,0,0
24,TAMIL NADU,33,ANAL ,1,0,0
25,TAMIL NADU,33,ANGAMI ,27,0,1
26,TAMIL NADU,33,AO ,6,0,0
27,TAMIL NADU,33,ARABIC/ARBI ,1119,43153,24061
28,TAMIL NADU,33,BHILI/BHILODI ,1405,5,4
29,TAMIL NADU,33,BHOTIA ,10,1,1
30,TAMIL NADU,33,BHUMIJ ,2,0,0
31,TAMIL NADU,33,CHAKRU/CHOKRI ,5,0,0
32,TAMIL NADU,33,COORGI/KODAGU ,179,5,5
33,TAMIL NADU,33,DIMASA ,51,181,37
34,TAMIL NADU,33,ENGLISH ,24495,12145630,1167664
35,TAMIL NADU,33,GADABA ,4,0,0
36,TAMIL NADU,33,GANGTE ,3,0,0
37,TAMIL NADU,33,GARO ,12,0,1
38,TAMIL NADU,33,GONDI,290,0,0
39,TAMIL NADU,33,HALAM ,5,0,1
40,TAMIL NADU,33,HMAR,5,0,0
41,TAMIL NADU,33,HO,12,2,1
42,TAMIL NADU,33,KABUI ,4,0,0
43,TAMIL NADU,33,KARBI/MIKIR ,2,0,0
44,TAMIL NADU,33,KHANDESHI,12,1,0
45,TAMIL NADU,33,KHARIA ,18,0,0
46,TAMIL NADU,33,KHASI ,114,5,4
47,TAMIL NADU,33,KHEZHA ,5,0,0
48,TAMIL NADU,33,KHOND/KONDH ,2,0,0
49,TAMIL NADU,33,KISAN ,3,0,0
50,TAMIL NADU,33,KOCH ,3,0,0
51,TAMIL NADU,33,KODA/KORA ,8,1,1
52,TAMIL NADU,33,KOM,6,0,0
53,TAMIL NADU,33,KONDA,10,1,0
54,TAMIL NADU,33,KORKU ,12,3,0
55,TAMIL NADU,33,KORWA ,11,259,87
56,TAMIL NADU,33,KUI ,4,0,0
57,TAMIL NADU,33,KUKI,32,0,0
58,TAMIL NADU,33,KURUKH/ORAON ,817,128,27
59,TAMIL NADU,33,LADAKHI ,15,5,1
60,TAMIL NADU,33,LAHAULI ,44,0,0
61,TAMIL NADU,33,LAHNDA ,18,1,3
62,TAMIL NADU,33,LAKHER,22,0,0
63,TAMIL NADU,33,LEPCHA ,16,0,0
64,TAMIL NADU,33,LIMBU ,1,0,0
65,TAMIL NADU,33,LOTHA ,10,0,0
66,TAMIL NADU,33,LUSHAI/MIZO ,120,16,10
67,TAMIL NADU,33,MALTO ,3,0,0
68,TAMIL NADU,33,MAO,9,2,0
69,TAMIL NADU,33,MARAM,1,0,0
70,TAMIL NADU,33,MARING ,2,0,0
71,TAMIL NADU,33,MISHMI ,3,0,0
72,TAMIL NADU,33,MOGH ,7,0,0
73,TAMIL NADU,33,MONPA ,24,0,0
74,TAMIL NADU,33,MUNDA,130,52,28
75,TAMIL NADU,33,MUNDARI ,39,7,4
76,TAMIL NADU,33,NICOBARESE ,124,65,55
77,TAMIL NADU,33,NISSI/DAFLA ,46,0,0
78,TAMIL NADU,33,PAITE,12,0,0
79,TAMIL NADU,33,PARJI ,5,0,1
80,TAMIL NADU,33,POCHURY,15,26,12
81,TAMIL NADU,33,RABHA ,1,2,3
82,TAMIL NADU,33,RENGMA ,2,0,0
83,TAMIL NADU,33,SANGTAM ,4,0,0
84,TAMIL NADU,33,SAVARA,57,15,1
85,TAMIL NADU,33,SEMA,34,0,0
86,TAMIL NADU,33,TANGKHUL ,17,0,0
87,TAMIL NADU,33,TANGSA,1,0,0
88,TAMIL NADU,33,THADO ,69,1,2
89,TAMIL NADU,33,TIBETAN ,249,1,4
90,TAMIL NADU,33,TRIPURI ,23,0,0
91,TAMIL NADU,33,TULU ,2636,191,204
92,TAMIL NADU,33,VAIPHEI ,7,0,0
93,TAMIL NADU,33,YIMCHUNGRE,1,0,0
94,TAMIL NADU,33,ZELIANG ,4,0,0
95,TAMIL NADU,33,ZEMI ,11,0,2
96,TAMIL NADU,33,OTHERS,16195,11830,14307
