,state,code,language,first,second,third
0,TRIPURA,16,ASSAMESE,2129,1203,1282
1,TRIPURA,16,BENGALI ,2414774,839731,14602
2,TRIPURA,16,BODO ,511,38,7
3,TRIPURA,16,DOGRI ,534,52,17
4,TRIPURA,16,GUJARATI,1384,49,20
5,TRIPURA,16,HINDI ,77701,201107,86730
6,TRIPURA,16,KANNADA,675,30,30
7,TRIPURA,16,KASHMIRI ,161,6,1
8,TRIPURA,16,KONKANI,44,1,1
9,TRIPURA,16,MAITHILI ,294,33,14
10,TRIPURA,16,MALAYALAM,1173,34,20
11,TRIPURA,16,MANIPURI ,23779,512,393
12,TRIPURA,16,MARATHI ,1412,62,36
13,TRIPURA,16,NEPALI ,2787,232,233
14,TRIPURA,16,ODIA ,25967,632,547
15,TRIPURA,16,PUNJABI ,997,180,132
16,TRIPURA,16,SANSKRIT ,12,424,746
17,TRIPURA,16,SANTALI ,3975,21,109
18,TRIPURA,16,SINDHI,30,0,1
19,TRIPURA,16,TAMIL ,929,58,109
20,TRIPURA,16,TELUGU ,3845,78,35
21,TRIPURA,16,URDU,526,318,173
22,TRIPURA,16,ADI ,17,1,0
23,TRIPURA,16,AFGHANI/KABULI/PASHTO ,2,0,0
24,TRIPURA,16,ANAL ,2,0,0
25,TRIPURA,16,ANGAMI ,3,0,2
26,TRIPURA,16,AO ,19316,153,222
27,TRIPURA,16,ARABIC/ARBI ,347,1391,339
28,TRIPURA,16,BHILI/BHILODI ,397,10,1
29,TRIPURA,16,BHOTIA ,3,0,0
30,TRIPURA,16,BHUMIJ ,312,0,0
31,TRIPURA,16,BISHNUPURIYA,22112,369,36
32,TRIPURA,16,CHAKRU/CHOKRI ,29,0,0
33,TRIPURA,16,DEORI ,2,2,0
34,TRIPURA,16,DIMASA ,16,0,1
35,TRIPURA,16,ENGLISH ,54,196220,80267
36,TRIPURA,16,GANGTE ,18,0,0
37,TRIPURA,16,GARO ,21019,351,228
38,TRIPURA,16,GONDI,634,6,1
39,TRIPURA,16,HALABI,9,0,0
40,TRIPURA,16,HALAM ,23089,532,620
41,TRIPURA,16,HMAR,171,2,2
42,TRIPURA,16,HO,12,0,0
43,TRIPURA,16,KABUI ,10,0,0
44,TRIPURA,16,KARBI/MIKIR ,12,0,1
45,TRIPURA,16,KHANDESHI,3,0,0
46,TRIPURA,16,KHARIA ,265,1,0
47,TRIPURA,16,KHASI ,1257,26,55
48,TRIPURA,16,KHEZHA ,5,0,0
49,TRIPURA,16,KHIEMNUNGAN,2,0,0
50,TRIPURA,16,KHOND/KONDH ,3,0,0
51,TRIPURA,16,KINNAURI ,1,0,0
52,TRIPURA,16,KOCH ,67,1,2
53,TRIPURA,16,KODA/KORA ,64,0,0
54,TRIPURA,16,KOM,1,0,0
55,TRIPURA,16,KONDA,6,0,1
56,TRIPURA,16,KONYAK ,2,0,0
57,TRIPURA,16,KORWA ,6,0,0
58,TRIPURA,16,KUKI,1693,94,160
59,TRIPURA,16,KURUKH/ORAON ,7145,25,3
60,TRIPURA,16,LADAKHI ,1,0,0
61,TRIPURA,16,LAHNDA ,6,1,0
62,TRIPURA,16,LAKHER,8,0,0
63,TRIPURA,16,LALUNG ,4,0,0
64,TRIPURA,16,LEPCHA ,1,0,0
65,TRIPURA,16,LIANGMEI ,11,124,17
66,TRIPURA,16,LIMBU ,2,0,0
67,TRIPURA,16,LOTHA ,4,0,0
68,TRIPURA,16,LUSHAI/MIZO ,5639,8483,1920
69,TRIPURA,16,MALTO ,105,0,0
70,TRIPURA,16,MAO,11,0,0
71,TRIPURA,16,MARING ,1,0,0
72,TRIPURA,16,MIRI/MISHING,6,0,0
73,TRIPURA,16,MISHMI ,14,4,1
74,TRIPURA,16,MOGH ,35722,540,542
75,TRIPURA,16,MONPA ,1,0,0
76,TRIPURA,16,MUNDA,9644,198,174
77,TRIPURA,16,MUNDARI ,185,4,2
78,TRIPURA,16,NICOBARESE ,1,0,0
79,TRIPURA,16,NISSI/DAFLA ,14,217,0
80,TRIPURA,16,NOCTE ,3,0,0
81,TRIPURA,16,PAITE,30,0,0
82,TRIPURA,16,POCHURY,1,0,0
83,TRIPURA,16,RABHA ,43,13,12
84,TRIPURA,16,SANGTAM ,2,0,0
85,TRIPURA,16,SAVARA,4620,15,1
86,TRIPURA,16,SEMA,3,0,0
87,TRIPURA,16,TANGKHUL ,27,0,0
88,TRIPURA,16,TANGSA,4,0,0
89,TRIPURA,16,THADO ,9,0,1
90,TRIPURA,16,TIBETAN ,2,0,0
91,TRIPURA,16,TRIPURI ,950875,14230,8521
92,TRIPURA,16,TULU ,6,3,1
93,TRIPURA,16,VAIPHEI ,2,5,1
94,TRIPURA,16,WANCHO,3,17,1
95,TRIPURA,16,YIMCHUNGRE,8,1,1
96,TRIPURA,16,ZELIANG ,10,1,0
97,TRIPURA,16,ZOU ,4,0,1
98,TRIPURA,16,OTHERS,5140,759,202
