,state,code,language,first,second,third
0,UTTAR PRADESH,09,ASSAMESE,10356,1573,733
1,UTTAR PRADESH,09,BENGALI ,241007,66613,12688
2,UTTAR PRADESH,09,BODO ,226,10,8
3,UTTAR PRADESH,09,DOGRI ,2695,431,271
4,UTTAR PRADESH,09,GUJARATI,15442,10062,6004
5,UTTAR PRADESH,09,HINDI ,187979055,6446196,185095
6,UTTAR PRADESH,09,KANNADA,6435,1055,733
7,UTTAR PRADESH,09,KASHMIRI ,6123,774,553
8,UTTAR PRADESH,09,KONKANI,335,53,28
9,UTTAR PRADESH,09,MAITHILI ,24831,6659,1131
10,UTTAR PRADESH,09,MALAYALAM,24450,10627,1435
11,UTTAR PRADESH,09,MANIPURI ,1204,174,64
12,UTTAR PRADESH,09,MARATHI ,24280,10558,4603
13,UTTAR PRADESH,09,NEPALI ,18743,10653,1387
14,UTTAR PRADESH,09,ODIA ,24729,1651,468
15,UTTAR PRADESH,09,PUNJABI ,508736,186219,40152
16,UTTAR PRADESH,09,SANSKRIT ,3062,505018,726590
17,UTTAR PRADESH,09,SANTALI ,858,245,66
18,UTTAR PRADESH,09,SINDHI,28952,20045,2368
19,UTTAR PRADESH,09,TAMIL ,14444,1947,1391
20,UTTAR PRADESH,09,TELUGU ,13977,1332,855
21,UTTAR PRADESH,09,URDU,10820232,3596225,170422
22,UTTAR PRADESH,09,ADI ,75,23,9
23,UTTAR PRADESH,09,AFGHANI/KABULI/PASHTO ,171,2,1
24,UTTAR PRADESH,09,ANAL ,9,4,0
25,UTTAR PRADESH,09,ANGAMI ,14,4,1
26,UTTAR PRADESH,09,AO ,24,2,1
27,UTTAR PRADESH,09,ARABIC/ARBI ,7693,350764,220105
28,UTTAR PRADESH,09,BALTI ,3,1,0
29,UTTAR PRADESH,09,BHILI/BHILODI ,1283,362,43
30,UTTAR PRADESH,09,BHOTIA ,276,15,4
31,UTTAR PRADESH,09,BHUMIJ ,55,5,1
32,UTTAR PRADESH,09,BISHNUPURIYA,10,3,0
33,UTTAR PRADESH,09,CHANG ,2,0,0
34,UTTAR PRADESH,09,COORGI/KODAGU ,18,41,0
35,UTTAR PRADESH,09,DIMASA ,26,6,1
36,UTTAR PRADESH,09,ENGLISH ,13085,11619101,1194204
37,UTTAR PRADESH,09,GADABA ,5,1,0
38,UTTAR PRADESH,09,GANGTE ,9,0,0
39,UTTAR PRADESH,09,GARO ,27,2,1
40,UTTAR PRADESH,09,GONDI,5768,1315,36
41,UTTAR PRADESH,09,HALABI,35,1,0
42,UTTAR PRADESH,09,HO,102,21,7
43,UTTAR PRADESH,09,KABUI ,12,1,0
44,UTTAR PRADESH,09,KARBI/MIKIR ,4,0,0
45,UTTAR PRADESH,09,KHANDESHI,475,174,37
46,UTTAR PRADESH,09,KHARIA ,185,13,7
47,UTTAR PRADESH,09,KHASI ,50,2,11
48,UTTAR PRADESH,09,KHEZHA ,2,3,1
49,UTTAR PRADESH,09,KHOND/KONDH ,8,1,3
50,UTTAR PRADESH,09,KINNAURI ,14,4,0
51,UTTAR PRADESH,09,KISAN ,4,1,0
52,UTTAR PRADESH,09,KOCH ,2,0,0
53,UTTAR PRADESH,09,KOLAMI ,1,0,0
54,UTTAR PRADESH,09,KOM,1,0,0
