,state,code,language,first,second,third
0,UTTARAKHAND,05,ASSAMESE,1656,205,155
1,UTTARAKHAND,05,BENGALI ,150933,7742,1313
2,UTTARAKHAND,05,BODO ,51,2,2
3,UTTARAKHAND,05,DOGRI ,4925,165,102
4,UTTARAKHAND,05,GUJARATI,3921,600,397
5,UTTARAKHAND,05,HINDI ,8992114,797343,13315
6,UTTARAKHAND,05,KANNADA,1233,97,122
7,UTTARAKHAND,05,KASHMIRI ,1770,77,73
8,UTTARAKHAND,05,KONKANI,84,6,3
9,UTTARAKHAND,05,MAITHILI ,54553,1191,96
10,UTTARAKHAND,05,MALAYALAM,3168,150,126
11,UTTARAKHAND,05,MANIPURI ,490,32,29
12,UTTARAKHAND,05,MARATHI ,6028,582,483
13,UTTARAKHAND,05,NEPALI ,106399,12363,1648
14,UTTARAKHAND,05,ODIA ,3630,285,156
15,UTTARAKHAND,05,PUNJABI ,263310,50313,8995
16,UTTARAKHAND,05,SANSKRIT ,386,11056,11188
17,UTTARAKHAND,05,SANTALI ,426,75,10
18,UTTARAKHAND,05,SINDHI,2863,814,463
19,UTTARAKHAND,05,TAMIL ,2584,202,280
20,UTTARAKHAND,05,TELUGU ,3185,172,161
21,UTTARAKHAND,05,URDU,425752,155220,9621
22,UTTARAKHAND,05,ADI ,80,0,0
23,UTTARAKHAND,05,AFGHANI/KABULI/PASHTO ,90,52,32
24,UTTARAKHAND,05,ANAL ,74,0,0
25,UTTARAKHAND,05,ANGAMI ,29,0,1
26,UTTARAKHAND,05,AO ,53,4,0
27,UTTARAKHAND,05,ARABIC/ARBI ,339,6905,5574
28,UTTARAKHAND,05,BALTI ,1173,102,3
29,UTTARAKHAND,05,BHILI/BHILODI ,2001,19,11
30,UTTARAKHAND,05,BHOTIA ,9287,169,11
31,UTTARAKHAND,05,BHUMIJ ,1,0,1
32,UTTARAKHAND,05,BISHNUPURIYA,3,0,0
33,UTTARAKHAND,05,CHAKHESANG ,2,0,0
34,UTTARAKHAND,05,CHAKRU/CHOKRI ,2,0,0
35,UTTARAKHAND,05,CHANG ,6,0,0
36,UTTARAKHAND,05,COORGI/KODAGU ,9,0,1
37,UTTARAKHAND,05,DIMASA ,9,0,0
38,UTTARAKHAND,05,ENGLISH ,1385,709861,132173
39,UTTARAKHAND,05,GANGTE ,7,0,0
40,UTTARAKHAND,05,GARO ,30,0,1
41,UTTARAKHAND,05,GONDI,22,0,2
42,UTTARAKHAND,05,HALABI,3,0,0
43,UTTARAKHAND,05,HALAM ,6001,212,3
44,UTTARAKHAND,05,HMAR,7,0,0
45,UTTARAKHAND,05,HO,34,3,0
46,UTTARAKHAND,05,KABUI ,39,0,0
47,UTTARAKHAND,05,KARBI/MIKIR ,3,0,0
48,UTTARAKHAND,05,KHANDESHI,9470,43,4
49,UTTARAKHAND,05,KHARIA ,51,1,2
50,UTTARAKHAND,05,KHASI ,18,1,4
51,UTTARAKHAND,05,KHEZHA ,2,0,0
52,UTTARAKHAND,05,KHOND/KONDH ,1,0,0
53,UTTARAKHAND,05,KINNAURI ,251,11,1
54,UTTARAKHAND,05,KODA/KORA ,4,0,0
55,UTTARAKHAND,05,KOM,15,0,0
56,UTTARAKHAND,05,KONDA,1,0,0
57,UTTARAKHAND,05,KONYAK ,10,3,0
58,UTTARAKHAND,05,KUKI,2,1,0
59,UTTARAKHAND,05,KURUKH/ORAON ,696,29,2
60,UTTARAKHAND,05,LADAKHI ,264,7,11
61,UTTARAKHAND,05,LAHNDA ,742,34,6
62,UTTARAKHAND,05,LAKHER,10,0,0
63,UTTARAKHAND,05,LEPCHA ,147,0,2
64,UTTARAKHAND,05,LIMBU ,5,0,0
65,UTTARAKHAND,05,LOTHA ,21,5,0
66,UTTARAKHAND,05,LUSHAI/MIZO ,118,5,11
67,UTTARAKHAND,05,MAO,39,11,0
68,UTTARAKHAND,05,MARAM,2,0,0
69,UTTARAKHAND,05,MARING ,9,0,0
70,UTTARAKHAND,05,MIRI/MISHING,2,0,0
71,UTTARAKHAND,05,MISHMI ,22,0,1
72,UTTARAKHAND,05,MOGH ,3,0,1
73,UTTARAKHAND,05,MONPA ,37,0,0
74,UTTARAKHAND,05,MUNDA,849,6,0
75,UTTARAKHAND,05,MUNDARI ,92,12,6
76,UTTARAKHAND,05,NISSI/DAFLA ,7553,61,22
77,UTTARAKHAND,05,PAITE,13,0,0
78,UTTARAKHAND,05,PARJI ,3,0,0
79,UTTARAKHAND,05,PHOM ,1,0,0
80,UTTARAKHAND,05,POCHURY,9,0,0
81,UTTARAKHAND,05,RABHA ,2,1,0
82,UTTARAKHAND,05,RAI ,268,8,0
83,UTTARAKHAND,05,RENGMA ,503,0,0
84,UTTARAKHAND,05,SANGTAM ,11,0,0
85,UTTARAKHAND,05,SAVARA,3,0,1
86,UTTARAKHAND,05,SEMA,7,3,0
87,UTTARAKHAND,05,SHINA,7,0,0
88,UTTARAKHAND,05,TAMANG ,19,0,0
89,UTTARAKHAND,05,TANGKHUL ,55,1,0
90,UTTARAKHAND,05,TANGSA,7,1,0
91,UTTARAKHAND,05,THADO ,19,1,0
92,UTTARAKHAND,05,TIBETAN ,10162,280,90
93,UTTARAKHAND,05,TRIPURI ,33,4,2
94,UTTARAKHAND,05,TULU ,12,43,11
95,UTTARAKHAND,05,WANCHO,1,0,0
96,UTTARAKHAND,05,YIMCHUNGRE,2,1,0
97,UTTARAKHAND,05,ZEMI ,5,5,0
98,UTTARAKHAND,05,ZOU ,3,0,0
99,UTTARAKHAND,05,OTHERS,4561,1157,1094
