,state,code,language,first,second,third
0,WEST BENGAL,19,ASSAMESE,7342,8779,6983
1,WEST BENGAL,19,BENGALI ,78698852,4501621,295150
2,WEST BENGAL,19,BODO ,42739,1497,617
3,WEST BENGAL,19,DOGRI ,1557,310,80
4,WEST BENGAL,19,GUJARATI,41371,2394,2114
5,WEST BENGAL,19,HINDI ,6356059,5083482,1181891
6,WEST BENGAL,19,KANNADA,2192,251,398
7,WEST BENGAL,19,KASHMIRI ,624,39,54
8,WEST BENGAL,19,KONKANI,506,16,9
9,WEST BENGAL,19,MAITHILI ,29741,2326,685
10,WEST BENGAL,19,MALAYALAM,10952,404,468
11,WEST BENGAL,19,MANIPURI ,2010,146,188
12,WEST BENGAL,19,MARATHI ,14815,1584,2299
13,WEST BENGAL,19,NEPALI ,1155375,106018,53789
14,WEST BENGAL,19,ODIA ,162142,79447,14116
15,WEST BENGAL,19,PUNJABI ,61080,4220,2889
16,WEST BENGAL,19,SANSKRIT ,1200,8290,9033
17,WEST BENGAL,19,SANTALI ,2429073,95727,4036
18,WEST BENGAL,19,SINDHI,7828,366,88
19,WEST BENGAL,19,TAMIL ,15930,1355,1585
20,WEST BENGAL,19,TELUGU ,88352,2309,1815
21,WEST BENGAL,19,URDU,1663519,125550,28576
22,WEST BENGAL,19,ADI ,527,160,2
23,WEST BENGAL,19,AFGHANI/KABULI/PASHTO ,118,5,5
24,WEST BENGAL,19,ANAL ,14,0,0
25,WEST BENGAL,19,ANGAMI ,89,2,0
26,WEST BENGAL,19,AO ,192,0,0
27,WEST BENGAL,19,ARABIC/ARBI ,4479,88838,21681
28,WEST BENGAL,19,BALTI ,5,0,0
29,WEST BENGAL,19,BHILI/BHILODI ,689,93,6
30,WEST BENGAL,19,BHOTIA ,4293,1022,261
31,WEST BENGAL,19,BHUMIJ ,6977,944,12
32,WEST BENGAL,19,BISHNUPURIYA,26,0,0
33,WEST BENGAL,19,CHAKHESANG ,14,0,0
34,WEST BENGAL,19,CHAKRU/CHOKRI ,14,14,0
35,WEST BENGAL,19,CHANG ,24,0,0
36,WEST BENGAL,19,COORGI/KODAGU ,2,0,1
37,WEST BENGAL,19,DEORI ,1,0,0
38,WEST BENGAL,19,DIMASA ,7,16,3
39,WEST BENGAL,19,ENGLISH ,14945,4859610,1243611
40,WEST BENGAL,19,GADABA ,5,3,0
41,WEST BENGAL,19,GANGTE ,5,0,0
42,WEST BENGAL,19,GARO ,1729,132,102
43,WEST BENGAL,19,GONDI,605,35,5
44,WEST BENGAL,19,HALAM ,36,1,1
45,WEST BENGAL,19,HMAR,23,0,0
46,WEST BENGAL,19,HO,6055,429,21
47,WEST BENGAL,19,JATAPU ,4,0,0
48,WEST BENGAL,19,KABUI ,18,1,0
49,WEST BENGAL,19,KARBI/MIKIR ,4,0,2
