match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
2557955371.0,Radiant,103.0,6.0,111.0,43.0,34.0,91.0,89.0,73.0,93.0,20.0,41.0,55.0,71.0,44.0,62.0,65.0,107.0,8.0,79.0,98.0
2558033556.0,Dire,103.0,6.0,68.0,59.0,43.0,55.0,91.0,31.0,2.0,79.0,41.0,73.0,20.0,9.0,40.0,65.0,89.0,111.0,109.0,76.0
2558113366.0,Dire,55.0,89.0,31.0,98.0,73.0,91.0,65.0,10.0,6.0,43.0,103.0,41.0,90.0,18.0,34.0,2.0,84.0,79.0,44.0,74.0
2558190331.0,Radiant,103.0,20.0,93.0,38.0,70.0,91.0,16.0,68.0,50.0,98.0,9.0,6.0,86.0,78.0,90.0,111.0,73.0,23.0,2.0,53.0
2558255566.0,Radiant,91.0,111.0,90.0,65.0,16.0,38.0,103.0,10.0,73.0,49.0,79.0,23.0,98.0,48.0,74.0,9.0,89.0,101.0,14.0,105.0
2558290213.0,Radiant,103.0,38.0,6.0,23.0,43.0,9.0,91.0,88.0,90.0,16.0,98.0,86.0,93.0,66.0,96.0,111.0,65.0,32.0,10.0,74.0
2559987699.0,Dire,23.0,89.0,48.0,65.0,88.0,91.0,61.0,111.0,59.0,13.0,84.0,6.0,90.0,99.0,17.0,79.0,9.0,8.0,85.0,16.0
2560069057.0,Dire,23.0,89.0,48.0,98.0,88.0,91.0,61.0,31.0,90.0,93.0,84.0,80.0,101.0,65.0,44.0,79.0,9.0,103.0,18.0,16.0
2560158271.0,Radiant,6.0,87.0,10.0,111.0,88.0,9.0,73.0,59.0,70.0,54.0,91.0,65.0,112.0,17.0,18.0,103.0,28.0,79.0,93.0,49.0
2560226228.0,Dire,9.0,91.0,68.0,59.0,109.0,6.0,65.0,84.0,88.0,70.0,111.0,73.0,16.0,101.0,54.0,103.0,41.0,79.0,98.0,10.0
2562482317.0,Radiant,2.0,89.0,71.0,32.0,41.0,98.0,9.0,94.0,59.0,66.0,91.0,6.0,13.0,39.0,37.0,111.0,55.0,44.0,107.0,74.0
2562521800.0,Radiant,2.0,89.0,31.0,54.0,76.0,98.0,9.0,111.0,6.0,43.0,103.0,41.0,87.0,8.0,65.0,62.0,55.0,71.0,44.0,70.0
2562582896.0,Radiant,23.0,89.0,65.0,85.0,16.0,91.0,103.0,10.0,17.0,76.0,9.0,2.0,79.0,41.0,68.0,8.0,37.0,84.0,98.0,38.0
2562671370.0,Dire,91.0,103.0,17.0,68.0,43.0,23.0,89.0,85.0,16.0,65.0,9.0,37.0,107.0,98.0,2.0,79.0,41.0,84.0,6.0,94.0
2566725198.0,Radiant,103.0,9.0,41.0,17.0,53.0,111.0,6.0,8.0,66.0,87.0,98.0,86.0,15.0,29.0,33.0,91.0,16.0,101.0,1.0,63.0
2566800064.0,Radiant,41.0,2.0,50.0,18.0,77.0,111.0,6.0,98.0,89.0,93.0,103.0,38.0,79.0,94.0,59.0,9.0,84.0,60.0,112.0,73.0
2558332885.0,Radiant,6.0,79.0,93.0,111.0,8.0,38.0,91.0,73.0,59.0,98.0,103.0,65.0,109.0,75.0,34.0,2.0,9.0,20.0,63.0,17.0
2558387942.0,Dire,98.0,103.0,68.0,10.0,55.0,91.0,6.0,66.0,65.0,58.0,79.0,73.0,109.0,38.0,20.0,9.0,23.0,8.0,106.0,112.0
2558473213.0,Dire,79.0,6.0,102.0,94.0,15.0,80.0,103.0,98.0,59.0,17.0,28.0,60.0,54.0,75.0,2.0,62.0,29.0,27.0,12.0,46.0
2558534849.0,Radiant,16.0,91.0,6.0,66.0,59.0,103.0,9.0,54.0,15.0,98.0,79.0,2.0,62.0,89.0,43.0,111.0,53.0,39.0,58.0,41.0
2560320998.0,Dire,79.0,91.0,5.0,89.0,74.0,65.0,9.0,38.0,111.0,112.0,6.0,58.0,41.0,94.0,30.0,103.0,2.0,54.0,20.0,12.0
2560377671.0,Radiant,65.0,9.0,112.0,89.0,8.0,2.0,103.0,38.0,111.0,74.0,20.0,6.0,50.0,41.0,59.0,91.0,55.0,84.0,19.0,106.0
2560446360.0,Radiant,9.0,8.0,109.0,98.0,87.0,38.0,73.0,10.0,48.0,93.0,88.0,79.0,23.0,74.0,89.0,65.0,103.0,54.0,46.0,86.0
2560502724.0,Dire,73.0,91.0,79.0,111.0,93.0,8.0,23.0,90.0,17.0,10.0,38.0,103.0,87.0,49.0,36.0,9.0,98.0,62.0,112.0,72.0
2562091541.0,Dire,65.0,55.0,46.0,2.0,8.0,91.0,84.0,90.0,38.0,86.0,9.0,6.0,50.0,29.0,103.0,62.0,28.0,79.0,18.0,17.0
2562207201.0,Radiant,91.0,84.0,28.0,111.0,17.0,62.0,79.0,18.0,46.0,103.0,9.0,65.0,30.0,41.0,98.0,53.0,86.0,58.0,54.0,13.0
2562303634.0,Dire,91.0,6.0,48.0,8.0,85.0,111.0,103.0,93.0,73.0,10.0,9.0,16.0,90.0,23.0,106.0,65.0,79.0,89.0,54.0,88.0
2562388622.0,Dire,111.0,103.0,48.0,2.0,32.0,91.0,6.0,58.0,89.0,26.0,65.0,8.0,87.0,98.0,66.0,79.0,9.0,16.0,10.0,85.0
2562425844.0,Dire,111.0,103.0,16.0,48.0,23.0,6.0,89.0,47.0,59.0,26.0,91.0,65.0,10.0,98.0,27.0,9.0,79.0,2.0,1.0,85.0
2564211031.0,Radiant,9.0,79.0,74.0,2.0,34.0,91.0,103.0,59.0,17.0,73.0,20.0,6.0,50.0,65.0,10.0,90.0,89.0,100.0,38.0,49.0
2564310434.0,Radiant,91.0,6.0,50.0,20.0,90.0,9.0,79.0,74.0,70.0,10.0,103.0,41.0,68.0,97.0,106.0,2.0,98.0,73.0,31.0,75.0
2564408925.0,Radiant,91.0,6.0,50.0,65.0,74.0,79.0,103.0,2.0,98.0,58.0,9.0,112.0,16.0,93.0,55.0,20.0,109.0,41.0,87.0,73.0
2564485350.0,Radiant,111.0,103.0,10.0,98.0,15.0,9.0,6.0,65.0,2.0,17.0,79.0,48.0,85.0,28.0,106.0,16.0,23.0,86.0,89.0,43.0
2564547149.0,Dire,65.0,28.0,59.0,17.0,47.0,9.0,79.0,23.0,103.0,84.0,111.0,2.0,15.0,18.0,68.0,6.0,85.0,27.0,16.0,39.0
2564619977.0,Dire,38.0,41.0,32.0,88.0,90.0,9.0,8.0,48.0,65.0,47.0,79.0,23.0,16.0,1.0,15.0,89.0,103.0,98.0,74.0,20.0
2564666119.0,Radiant,8.0,89.0,48.0,65.0,109.0,38.0,103.0,32.0,53.0,111.0,9.0,98.0,84.0,41.0,101.0,79.0,23.0,88.0,43.0,54.0
2566482748.0,Radiant,2.0,91.0,44.0,89.0,73.0,9.0,79.0,65.0,111.0,94.0,62.0,93.0,5.0,16.0,34.0,28.0,84.0,98.0,31.0,55.0
2566594115.0,Dire,79.0,62.0,54.0,93.0,34.0,91.0,2.0,44.0,89.0,73.0,9.0,41.0,111.0,18.0,84.0,28.0,32.0,8.0,27.0,94.0
2566866066.0,Dire,98.0,103.0,89.0,74.0,84.0,79.0,65.0,88.0,41.0,106.0,9.0,23.0,104.0,27.0,12.0,28.0,90.0,93.0,70.0,55.0
2566934520.0,Radiant,28.0,93.0,109.0,10.0,65.0,98.0,9.0,48.0,89.0,70.0,79.0,38.0,23.0,74.0,81.0,103.0,41.0,91.0,59.0,106.0
