match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T1_6,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Ban_T2_6,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
4976789940.0,Radiant,79.0,96.0,97.0,54.0,23.0,17.0,52.0,58.0,103.0,89.0,73.0,41.0,29.0,86.0,72.0,84.0,18.0,75.0,7.0,78.0,10.0,50.0
4976841293.0,Dire,58.0,52.0,73.0,10.0,54.0,41.0,97.0,96.0,91.0,16.0,33.0,17.0,103.0,72.0,26.0,120.0,109.0,79.0,29.0,23.0,9.0,44.0
4976922218.0,Radiant,103.0,84.0,29.0,106.0,43.0,23.0,66.0,9.0,79.0,73.0,18.0,13.0,68.0,16.0,19.0,54.0,39.0,58.0,97.0,30.0,8.0,25.0
4977018128.0,Dire,103.0,84.0,73.0,52.0,43.0,27.0,66.0,9.0,58.0,93.0,16.0,76.0,68.0,19.0,99.0,7.0,15.0,79.0,29.0,23.0,54.0,86.0
4977114097.0,Dire,103.0,84.0,73.0,29.0,18.0,43.0,66.0,9.0,68.0,54.0,16.0,35.0,7.0,121.0,8.0,19.0,61.0,79.0,52.0,37.0,96.0,94.0
4978383071.0,Dire,58.0,66.0,97.0,2.0,29.0,106.0,9.0,72.0,37.0,18.0,73.0,89.0,92.0,19.0,38.0,121.0,54.0,103.0,91.0,86.0,99.0,57.0
4978435281.0,Dire,91.0,66.0,74.0,103.0,19.0,22.0,9.0,72.0,68.0,73.0,89.0,93.0,58.0,79.0,7.0,106.0,18.0,97.0,8.0,83.0,121.0,114.0
4978505997.0,Dire,79.0,16.0,72.0,86.0,89.0,99.0,73.0,23.0,9.0,106.0,54.0,67.0,58.0,7.0,66.0,19.0,42.0,52.0,103.0,21.0,96.0,18.0
4978587076.0,Dire,23.0,9.0,73.0,106.0,19.0,1.0,66.0,58.0,103.0,107.0,54.0,67.0,79.0,52.0,29.0,86.0,18.0,7.0,74.0,5.0,33.0,41.0
4978701632.0,Dire,103.0,52.0,29.0,107.0,17.0,41.0,23.0,73.0,7.0,89.0,10.0,72.0,9.0,16.0,84.0,93.0,63.0,58.0,79.0,97.0,106.0,44.0
