match_id,result,Ban_T1_1,Ban_T1_2,Ban_T1_3,Ban_T1_4,Ban_T1_5,Ban_T1_6,Ban_T1_7,Ban_T2_1,Ban_T2_2,Ban_T2_3,Ban_T2_4,Ban_T2_5,Ban_T2_6,Ban_T2_7,Pick_T1_1,Pick_T1_2,Pick_T1_3,Pick_T1_4,Pick_T1_5,Pick_T2_1,Pick_T2_2,Pick_T2_3,Pick_T2_4,Pick_T2_5
6219447985.0,Radiant,7.0,17.0,18.0,69.0,104.0,60.0,77.0,29.0,19.0,128.0,63.0,25.0,41.0,109.0,103.0,129.0,3.0,74.0,10.0,91.0,26.0,114.0,52.0,28.0
6219497713.0,Dire,7.0,103.0,114.0,25.0,17.0,74.0,39.0,29.0,91.0,42.0,19.0,109.0,46.0,97.0,63.0,104.0,128.0,81.0,11.0,69.0,26.0,3.0,10.0,106.0
6219558229.0,Dire,7.0,69.0,10.0,114.0,25.0,41.0,18.0,29.0,91.0,104.0,97.0,74.0,77.0,60.0,19.0,128.0,5.0,8.0,13.0,129.0,110.0,3.0,17.0,67.0
6219661981.0,Radiant,103.0,97.0,46.0,123.0,63.0,72.0,48.0,19.0,17.0,29.0,41.0,23.0,126.0,13.0,114.0,68.0,7.0,10.0,106.0,91.0,129.0,100.0,74.0,70.0
6219755267.0,Dire,128.0,68.0,7.0,8.0,17.0,23.0,106.0,19.0,91.0,46.0,10.0,41.0,74.0,45.0,103.0,114.0,104.0,56.0,123.0,58.0,97.0,21.0,70.0,34.0
6220692458.0,Radiant,114.0,19.0,69.0,83.0,67.0,94.0,93.0,29.0,43.0,74.0,41.0,103.0,44.0,4.0,97.0,128.0,49.0,3.0,109.0,63.0,25.0,104.0,5.0,10.0
6220754493.0,Dire,83.0,25.0,47.0,74.0,79.0,65.0,39.0,114.0,19.0,67.0,112.0,41.0,93.0,10.0,103.0,43.0,7.0,128.0,109.0,97.0,26.0,135.0,94.0,69.0
6220816055.0,Radiant,83.0,69.0,65.0,39.0,94.0,36.0,53.0,114.0,19.0,58.0,3.0,25.0,29.0,77.0,97.0,91.0,26.0,70.0,106.0,103.0,87.0,17.0,67.0,40.0
6220901992.0,Radiant,91.0,135.0,10.0,70.0,94.0,38.0,129.0,63.0,103.0,60.0,29.0,77.0,47.0,17.0,19.0,128.0,75.0,97.0,126.0,7.0,45.0,110.0,99.0,15.0
6220981844.0,Radiant,103.0,63.0,67.0,109.0,114.0,15.0,46.0,91.0,19.0,17.0,10.0,70.0,129.0,53.0,7.0,75.0,94.0,119.0,13.0,97.0,128.0,51.0,6.0,49.0
6221083701.0,Radiant,63.0,7.0,39.0,13.0,69.0,74.0,25.0,91.0,19.0,55.0,70.0,94.0,129.0,98.0,103.0,17.0,48.0,3.0,108.0,114.0,128.0,29.0,109.0,106.0
6222484405.0,Dire,97.0,19.0,70.0,34.0,74.0,60.0,67.0,110.0,91.0,3.0,17.0,39.0,109.0,12.0,129.0,26.0,25.0,112.0,63.0,114.0,58.0,46.0,20.0,103.0
6222622987.0,Radiant,63.0,19.0,106.0,126.0,29.0,39.0,17.0,97.0,114.0,70.0,10.0,20.0,36.0,13.0,7.0,58.0,21.0,54.0,46.0,103.0,26.0,129.0,67.0,23.0
6222759193.0,Radiant,17.0,91.0,94.0,79.0,15.0,25.0,36.0,114.0,19.0,52.0,74.0,43.0,34.0,13.0,135.0,29.0,92.0,48.0,23.0,75.0,7.0,3.0,99.0,106.0
6222850462.0,Dire,97.0,43.0,85.0,34.0,10.0,25.0,52.0,17.0,79.0,65.0,74.0,13.0,15.0,39.0,19.0,91.0,55.0,107.0,126.0,114.0,112.0,36.0,111.0,23.0
6225151294.0,Dire,114.0,7.0,17.0,86.0,101.0,25.0,34.0,68.0,74.0,70.0,36.0,54.0,46.0,106.0,97.0,112.0,128.0,63.0,49.0,19.0,84.0,77.0,110.0,13.0
6225233668.0,Dire,19.0,97.0,77.0,128.0,23.0,13.0,25.0,68.0,74.0,17.0,58.0,106.0,35.0,46.0,91.0,72.0,21.0,38.0,70.0,114.0,103.0,104.0,3.0,52.0
