Match_id,Player_1_playerid,Player_1_hero_id,Player_1_item1,Player_1_item2,Player_1_item3,Player_1_item4,Player_1_item5,Player_1_backpack1,Player_1_backpack2,Player_1_backpack3,Player_1_kills,Player_1_deaths,Player_1_assists,Player_1_last_hits,Player_1_denies,Player_1_gold_per_min,Player_1_xp_per_min,Player_1_level,Player_1_networth,Player_1_aghanims_scepter,Player_1_aghanims_shard,Player_1_moonshard,Player_1_hero_damage,Player_1_tower_damage,Player_1_hero_healing,Player_1_gold,Player_1_gold_spent,Player_1_scaled_hero_damage,Player_1_scaled_tower_damage,Player_1_scaled_hero_healing,Player_2_playerid,Player_2_hero_id,Player_2_item1,Player_2_item2,Player_2_item3,Player_2_item4,Player_2_item5,Player_2_backpack1,Player_2_backpack2,Player_2_backpack3,Player_2_kills,Player_2_deaths,Player_2_assists,Player_2_last_hits,Player_2_denies,Player_2_gold_per_min,Player_2_xp_per_min,Player_2_level,Player_2_networth,Player_2_aghanims_scepter,Player_2_aghanims_shard,Player_2_moonshard,Player_2_hero_damage,Player_2_tower_damage,Player_2_hero_healing,Player_2_gold,Player_2_gold_spent,Player_2_scaled_hero_damage,Player_2_scaled_tower_damage,Player_2_scaled_hero_healing,Player_3_playerid,Player_3_hero_id,Player_3_item1,Player_3_item2,Player_3_item3,Player_3_item4,Player_3_item5,Player_3_backpack1,Player_3_backpack2,Player_3_backpack3,Player_3_kills,Player_3_deaths,Player_3_assists,Player_3_last_hits,Player_3_denies,Player_3_gold_per_min,Player_3_xp_per_min,Player_3_level,Player_3_networth,Player_3_aghanims_scepter,Player_3_aghanims_shard,Player_3_moonshard,Player_3_hero_damage,Player_3_tower_damage,Player_3_hero_healing,Player_3_gold,Player_3_gold_spent,Player_3_scaled_hero_damage,Player_3_scaled_tower_damage,Player_3_scaled_hero_healing,Player_4_playerid,Player_4_hero_id,Player_4_item1,Player_4_item2,Player_4_item3,Player_4_item4,Player_4_item5,Player_4_backpack1,Player_4_backpack2,Player_4_backpack3,Player_4_kills,Player_4_deaths,Player_4_assists,Player_4_last_hits,Player_4_denies,Player_4_gold_per_min,Player_4_xp_per_min,Player_4_level,Player_4_networth,Player_4_aghanims_scepter,Player_4_aghanims_shard,Player_4_moonshard,Player_4_hero_damage,Player_4_tower_damage,Player_4_hero_healing,Player_4_gold,Player_4_gold_spent,Player_4_scaled_hero_damage,Player_4_scaled_tower_damage,Player_4_scaled_hero_healing,Player_5_playerid,Player_5_hero_id,Player_5_item1,Player_5_item2,Player_5_item3,Player_5_item4,Player_5_item5,Player_5_backpack1,Player_5_backpack2,Player_5_backpack3,Player_5_kills,Player_5_deaths,Player_5_assists,Player_5_last_hits,Player_5_denies,Player_5_gold_per_min,Player_5_xp_per_min,Player_5_level,Player_5_networth,Player_5_aghanims_scepter,Player_5_aghanims_shard,Player_5_moonshard,Player_5_hero_damage,Player_5_tower_damage,Player_5_hero_healing,Player_5_gold,Player_5_gold_spent,Player_5_scaled_hero_damage,Player_5_scaled_tower_damage,Player_5_scaled_hero_healing,Player_6_playerid,Player_6_hero_id,Player_6_item1,Player_6_item2,Player_6_item3,Player_6_item4,Player_6_item5,Player_6_backpack1,Player_6_backpack2,Player_6_backpack3,Player_6_kills,Player_6_deaths,Player_6_assists,Player_6_last_hits,Player_6_denies,Player_6_gold_per_min,Player_6_xp_per_min,Player_6_level,Player_6_networth,Player_6_aghanims_scepter,Player_6_aghanims_shard,Player_6_moonshard,Player_6_hero_damage,Player_6_tower_damage,Player_6_hero_healing,Player_6_gold,Player_6_gold_spent,Player_6_scaled_hero_damage,Player_6_scaled_tower_damage,Player_6_scaled_hero_healing,Player_7_playerid,Player_7_hero_id,Player_7_item1,Player_7_item2,Player_7_item3,Player_7_item4,Player_7_item5,Player_7_backpack1,Player_7_backpack2,Player_7_backpack3,Player_7_kills,Player_7_deaths,Player_7_assists,Player_7_last_hits,Player_7_denies,Player_7_gold_per_min,Player_7_xp_per_min,Player_7_level,Player_7_networth,Player_7_aghanims_scepter,Player_7_aghanims_shard,Player_7_moonshard,Player_7_hero_damage,Player_7_tower_damage,Player_7_hero_healing,Player_7_gold,Player_7_gold_spent,Player_7_scaled_hero_damage,Player_7_scaled_tower_damage,Player_7_scaled_hero_healing,Player_8_playerid,Player_8_hero_id,Player_8_item1,Player_8_item2,Player_8_item3,Player_8_item4,Player_8_item5,Player_8_backpack1,Player_8_backpack2,Player_8_backpack3,Player_8_kills,Player_8_deaths,Player_8_assists,Player_8_last_hits,Player_8_denies,Player_8_gold_per_min,Player_8_xp_per_min,Player_8_level,Player_8_networth,Player_8_aghanims_scepter,Player_8_aghanims_shard,Player_8_moonshard,Player_8_hero_damage,Player_8_tower_damage,Player_8_hero_healing,Player_8_gold,Player_8_gold_spent,Player_8_scaled_hero_damage,Player_8_scaled_tower_damage,Player_8_scaled_hero_healing,Player_9_playerid,Player_9_hero_id,Player_9_item1,Player_9_item2,Player_9_item3,Player_9_item4,Player_9_item5,Player_9_backpack1,Player_9_backpack2,Player_9_backpack3,Player_9_kills,Player_9_deaths,Player_9_assists,Player_9_last_hits,Player_9_denies,Player_9_gold_per_min,Player_9_xp_per_min,Player_9_level,Player_9_networth,Player_9_aghanims_scepter,Player_9_aghanims_shard,Player_9_moonshard,Player_9_hero_damage,Player_9_tower_damage,Player_9_hero_healing,Player_9_gold,Player_9_gold_spent,Player_9_scaled_hero_damage,Player_9_scaled_tower_damage,Player_9_scaled_hero_healing,Player_10_playerid,Player_10_hero_id,Player_10_item1,Player_10_item2,Player_10_item3,Player_10_item4,Player_10_item5,Player_10_backpack1,Player_10_backpack2,Player_10_backpack3,Player_10_kills,Player_10_deaths,Player_10_assists,Player_10_last_hits,Player_10_denies,Player_10_gold_per_min,Player_10_xp_per_min,Player_10_level,Player_10_networth,Player_10_aghanims_scepter,Player_10_aghanims_shard,Player_10_moonshard,Player_10_hero_damage,Player_10_tower_damage,Player_10_hero_healing,Player_10_gold,Player_10_gold_spent,Player_10_scaled_hero_damage,Player_10_scaled_tower_damage,Player_10_scaled_hero_healing,Result,Duration,First_blood_time,Lobby_type,Game_mode,Radiant_score,Dire_score,Radiant_team_id,Dire_team_id,Radiant_team_name,Dire_team_name
6219447985,113331514,3,0,29,34,43,232,11,40,0,0,4,13,23,3,232,339,16,6286,0,0,0,9803,428,368,1726,6930,6336,132,270,321580662,10,116,63,26,160,147,41,0,0,11,2,1,431,10,762,756,24,24483,0,0,0,30187,13660,38,2483,24845,14388,5319,14,431770905,74,1,36,267,116,65,77,0,0,4,4,12,194,11,461,541,21,16030,0,0,0,13899,2936,0,3035,13900,8221,1104,0,256156323,103,102,37,40,214,36,0,0,0,1,8,12,21,2,242,398,17,8031,0,0,0,10324,847,288,2876,6450,5258,181,194,302214028,129,50,178,1,116,36,0,0,0,1,5,13,183,4,381,483,19,11915,0,0,0,12434,663,0,1485,11175,6314,319,0,138857296,28,1,116,36,63,11,38,13,0,3,2,11,198,6,383,460,19,13531,0,0,0,13322,639,0,761,14075,8448,358,0,168028715,114,63,116,36,160,252,0,0,0,10,3,7,272,11,569,677,23,18110,0,0,0,26568,2716,0,810,18770,13918,1274,0,139876032,26,1,593,254,0,214,0,0,0,6,5,7,38,5,265,402,17,7918,0,0,0,7877,0,744,2443,7210,5154,0,586,202217968,52,1,100,119,116,180,0,0,0,4,3,10,363,9,589,577,21,21360,0,1,0,17119,9761,0,585,21610,9394,4019,0,101259972,91,79,216,40,188,269,0,356,0,0,4,15,13,3,198,384,17,5270,0,0,0,2781,211,15811,665,6345,2727,106,4485,Radiant,2225,283,1,2,17,23,7119388,5,Team Spirit,INVICTUS GAMING
6219497713,113331514,63,267,218,36,108,0,0,0,39,0,7,11,96,3,281,328,18,8881,0,0,0,9152,53,240,931,12050,5738,41,95,321580662,81,116,63,249,154,235,0,0,0,7,5,1,450,5,629,607,25,31551,1,1,0,15677,1600,0,1776,25315,9211,699,0,431770905,11,236,156,249,63,116,0,0,0,4,4,2,432,28,581,620,25,24863,0,1,0,21764,5142,0,213,25805,10096,2673,0,256156323,128,226,229,0,0,36,362,0,0,4,5,7,76,2,283,393,20,8118,0,0,0,19000,126,1200,593,14510,13171,62,532,302214028,104,29,151,1,127,116,0,0,0,1,7,10,203,7,343,439,22,15760,0,1,0,10089,341,4787,1860,14550,7562,214,1338,168028715,10,176,156,116,147,117,41,48,0,9,3,13,541,9,713,664,26,30058,0,1,0,25945,13102,0,3558,30450,10724,6444,0,202217968,106,116,48,123,166,30,0,0,0,12,1,13,500,2,681,735,28,32882,1,1,0,42185,522,110,6027,28065,16402,232,90,138857296,69,1,116,119,48,110,0,0,0,4,4,16,332,3,657,658,26,26174,0,1,0,18109,942,0,2994,28830,8488,433,0,139876032,26,1,214,256,254,0,0,0,0,3,4,14,80,2,279,447,22,12523,0,1,0,10282,270,800,2798,11635,5925,108,460,101259972,3,0,1,214,30,34,16,40,0,0,5,19,33,3,257,411,21,9861,0,0,0,7846,151,712,2981,9930,4970,59,620,Dire,2935,135,1,2,17,28,7119388,5,Team Spirit,INVICTUS GAMING
6219558229,113331514,5,254,214,36,218,188,0,0,0,1,12,7,35,2,179,228,13,4715,0,0,0,10774,175,0,1040,6665,7040,97,0,321580662,8,249,50,36,252,147,0,0,0,3,8,1,312,9,444,471,20,16489,0,0,0,11816,769,4009,789,17345,5242,423,1470,431770905,13,1,36,77,48,273,41,0,0,5,11,4,302,0,456,533,22,14484,0,0,0,10308,178,0,1954,14765,6878,67,0,256156323,128,1,29,36,0,190,0,0,0,2,14,9,46,3,216,288,15,7101,0,1,0,11017,126,0,726,7890,7199,97,0,302214028,19,63,1,178,249,252,0,0,0,5,10,6,249,8,434,574,22,15440,0,0,0,24623,963,0,2555,15335,12642,607,0,138857296,129,1,116,96,63,131,0,178,0,7,5,19,253,13,540,714,25,20678,0,0,0,16317,1529,0,5023,17190,8216,627,0,202217968,17,96,98,116,63,41,0,0,0,19,1,18,328,4,696,815,28,28002,0,1,0,38263,5449,0,5477,23940,21406,2682,0,168028715,67,208,147,63,139,160,376,0,0,22,0,27,358,6,802,864,28,31651,0,0,0,60249,11416,0,4751,29700,31129,5582,0,139876032,110,100,214,40,110,0,0,0,0,5,5,22,109,3,362,613,23,13746,0,1,0,13597,1125,7767,3166,14755,8320,507,1862,101259972,3,593,1,214,188,36,43,593,0,1,5,28,30,4,304,455,20,9592,0,0,0,12190,1934,720,2192,10520,8087,993,450,Dire,2450,0,1,2,16,55,7119388,5,Team Spirit,INVICTUS GAMING
6219661981,87278757,68,37,180,102,30,36,12,0,0,7,8,33,34,5,356,635,23,12168,0,1,0,22669,867,1001,3993,9950,11097,408,912,89117038,114,37,0,40,160,188,0,0,0,6,6,26,30,2,320,642,24,11116,0,0,0,14386,1055,808,3061,10235,8739,484,433,121769650,106,166,119,48,116,123,40,0,0,20,3,22,323,8,706,889,28,27554,0,1,0,65749,4992,330,2499,26455,31391,2322,174,73562326,7,1,63,232,36,108,0,0,0,8,7,25,166,13,458,585,23,16520,0,0,0,26879,3148,0,1645,18610,14377,1683,0,72312627,10,108,176,29,26,116,41,0,0,10,3,20,356,19,685,784,27,24018,0,1,0,42441,17990,0,3968,24340,20090,8760,0,19672354,129,214,43,1,36,569,0,0,0,3,15,13,73,8,301,391,18,7626,0,0,0,15729,270,800,201,9665,7991,176,450,111620041,70,174,63,116,1,26,8,0,0,14,5,6,288,6,574,759,25,19270,0,1,0,40649,1261,0,220,22240,19901,757,0,88271237,91,116,79,178,269,31,0,0,0,5,8,15,200,3,389,525,21,13158,0,1,0,13049,218,22574,1253,12625,9372,126,8295,103735745,100,569,1,36,214,0,0,0,0,1,12,12,49,4,239,353,17,6229,0,1,0,12571,0,0,129,7625,6907,0,0,94054712,74,96,92,229,36,185,0,0,0,4,11,13,182,17,393,499,21,12221,0,0,0,20276,1105,0,331,12855,13256,575,0,Radiant,2435,139,1,2,51,27,1838315,2586976,Team Secret,OG
6219755267,19672354,104,218,0,0,36,13,0,0,0,0,11,2,29,3,190,259,11,3389,0,1,0,5356,100,2120,274,5185,3050,50,1286,111620041,56,14,63,149,36,166,0,0,237,1,4,3,217,9,461,664,20,12014,0,1,0,13029,791,0,1904,10870,6625,562,0,88271237,114,63,11,28,162,168,14,0,0,1,10,3,131,8,353,368,14,8294,0,0,0,4761,0,0,659,8085,3463,0,0,103735745,103,50,21,34,244,218,0,0,0,1,11,3,31,2,209,232,10,4255,0,0,0,7655,0,636,1080,4545,3947,0,598,94054712,123,41,63,166,36,20,0,0,0,1,6,2,112,16,319,328,13,7432,0,0,0,12512,0,110,752,7275,5643,0,52,87278757,58,269,29,229,237,30,0,0,0,4,1,23,46,5,293,444,16,7621,0,0,0,5085,1112,4930,876,7835,5373,570,2008,89117038,21,102,0,43,88,0,0,0,0,3,0,28,28,2,275,508,17,6698,0,1,0,11556,1127,0,1123,7345,7540,544,0,121769650,34,259,1,41,119,178,0,0,0,13,0,18,212,17,615,755,21,17152,0,0,0,37382,134,2843,1247,17305,26103,101,993,73562326,97,1,63,178,100,131,11,0,0,7,2,28,158,7,473,701,20,12576,0,1,0,13379,4486,0,1841,11675,9104,2460,0,72312627,70,1,156,36,63,174,0,0,38,15,2,15,217,16,677,664,20,20112,0,1,0,24173,11228,0,962,19005,18136,5379,0,Dire,1678,201,1,2,5,42,2586976,1838315,OG,Team Secret
6220692458,898754153,109,147,156,63,116,149,0,596,140,12,0,6,491,12,841,718,23,30947,0,1,0,28507,15772,400,4897,25840,15725,7111,161,173978074,49,63,178,30,210,600,0,0,0,4,3,15,289,15,562,747,24,18772,0,0,0,17509,2159,0,2192,18245,9979,1140,0,118134220,97,1,29,164,100,36,11,39,0,3,2,16,151,9,388,517,20,13602,0,1,0,9278,797,0,1287,13465,6311,439,0,157475523,128,1,254,187,36,162,0,0,0,7,4,14,63,1,353,542,20,11825,0,1,0,14533,1687,200,2000,11840,11226,770,61,111114687,3,21,36,214,40,232,216,0,0,1,6,13,29,3,264,339,15,6050,0,0,0,7181,0,184,320,8280,6830,0,125,184950344,104,151,36,29,1,11,0,0,0,0,8,6,153,21,328,383,16,8902,0,1,0,7633,0,2259,597,8595,3439,0,1416,94281932,25,48,249,77,116,41,0,0,0,7,3,3,380,10,636,670,22,19178,0,0,0,17261,1287,0,1023,19920,10200,928,0,136829091,5,9,180,244,218,40,0,0,0,1,9,8,22,2,205,245,12,3685,0,0,0,8694,18,426,405,6575,5181,15,423,121404228,63,43,40,267,34,108,0,0,0,1,4,8,83,1,256,351,15,7954,0,0,0,9802,0,400,534,8530,5646,0,328,375507918,10,36,176,63,596,123,0,0,0,6,3,5,366,15,610,617,22,18273,0,0,0,18125,91,0,1323,17910,9352,25,0,Radiant,2097,179,1,2,27,15,15,8214850,PSG.LGD,T1
6220754493,898754153,109,141,135,156,116,160,110,0,0,6,4,8,702,24,776,591,26,35853,0,1,0,33438,4395,0,728,38925,12793,1796,0,173978074,43,119,123,30,116,100,0,0,40,8,7,10,377,13,517,586,26,22631,0,0,0,31628,1501,110,1826,24400,15730,654,85,118134220,7,1,63,116,108,123,0,0,0,3,9,9,279,6,407,502,24,18156,0,0,0,22237,1170,0,1476,17705,7421,590,0,157475523,128,102,226,110,29,254,0,0,0,5,5,12,132,4,340,586,26,14755,0,0,0,26362,579,1232,875,17490,11167,232,470,111114687,103,244,108,102,218,40,0,0,0,0,2,14,78,5,278,412,22,10115,0,0,0,17376,93,400,835,13745,7120,74,185,184950344,97,164,110,116,1,29,326,0,40,2,2,17,278,8,430,584,26,20117,0,1,0,15015,1061,0,1362,22555,6027,549,0,94281932,69,48,600,110,116,96,311,65,0,11,5,10,435,5,814,675,29,42668,1,1,0,35327,573,0,4393,38105,13084,313,0,136829091,26,256,214,1,254,36,43,0,0,3,6,15,35,3,298,432,23,17177,1,1,0,11773,20,470,1172,13575,6974,16,375,121404228,135,226,231,269,229,0,0,0,0,2,7,20,277,1,518,607,26,22896,0,1,0,14396,0,12056,3121,24770,7097,0,3944,375507918,94,156,117,249,154,160,63,0,0,9,3,8,734,15,872,799,29,42190,1,1,0,55232,23047,0,4440,43020,19229,9620,0,Dire,3285,0,1,2,22,27,15,8214850,PSG.LGD,T1
6220816055,898754153,70,50,603,174,116,143,0,0,0,9,2,11,378,10,742,736,24,28959,0,1,0,22749,18612,0,3859,26120,13497,9151,0,173978074,106,50,30,569,116,110,36,41,0,11,0,15,290,13,610,767,25,22524,0,1,0,25257,2696,0,4144,19420,16381,1277,0,118134220,97,1,100,116,164,180,11,0,0,6,1,11,238,8,484,616,22,18016,0,1,0,9068,2491,0,3386,15250,5185,1327,0,157475523,91,40,79,269,131,53,39,0,0,2,0,25,82,7,320,640,23,11731,0,1,0,6579,3049,25125,476,12450,4111,1482,5652,111114687,26,1,36,40,593,214,188,0,0,3,6,10,52,2,314,389,17,9446,0,0,0,4211,126,0,2571,9855,3411,102,0,184950344,40,267,210,73,40,102,44,0,0,0,7,2,210,12,358,383,17,10869,0,0,0,20551,561,0,579,11400,7352,291,0,94281932,17,63,98,36,116,41,0,0,0,2,8,4,296,17,439,482,19,14227,0,0,0,12502,0,0,77,16190,7215,0,0,136829091,87,88,29,254,23,60,188,40,0,1,5,4,46,3,214,238,13,5850,0,0,0,5578,0,0,395,8135,4281,0,0,121404228,103,214,0,34,100,21,0,0,0,1,6,4,67,2,210,284,14,7085,0,0,0,9726,0,453,935,7840,5122,0,330,375507918,67,36,147,63,596,40,265,0,0,5,6,4,244,8,424,475,19,13242,0,0,0,20407,0,0,1087,12815,8795,0,0,Radiant,2244,98,1,2,32,9,15,8214850,PSG.LGD,T1
6220901992,277141004,19,63,249,116,156,112,0,41,0,8,3,9,425,10,751,807,26,28611,0,1,0,44420,18009,0,3536,26945,16477,9394,0,138543123,128,226,1,229,36,218,0,0,0,8,4,11,114,7,411,532,21,14494,0,1,0,15718,695,0,1369,14955,9237,347,0,107803494,126,50,256,100,108,273,0,0,0,9,3,13,280,5,576,740,25,21474,0,1,0,29383,686,0,3874,19040,14244,320,0,143693439,75,102,190,34,226,43,0,40,0,3,5,23,45,1,338,457,19,9621,0,0,0,13467,27,126,691,12500,8064,11,86,134276083,97,1,164,29,232,110,0,0,0,1,2,14,252,8,449,707,24,18414,0,1,0,10008,702,0,464,17550,5147,379,0,124801257,99,125,9,63,116,154,178,38,0,2,5,5,367,10,518,676,24,18549,0,0,0,15850,0,0,744,19525,8618,0,0,480412663,15,116,156,36,63,154,0,41,0,9,5,5,320,18,532,611,23,18754,0,0,0,21793,366,0,1529,18690,11191,272,0,56351509,7,1,36,116,178,63,0,0,0,1,10,12,149,10,310,376,17,10003,0,0,0,13476,88,0,993,10260,6437,71,0,317880638,45,214,36,254,102,40,0,0,0,0,5,10,104,0,274,455,19,9337,0,0,0,22942,449,6258,1357,9705,10297,327,2690,187758589,110,34,226,214,30,0,0,0,0,4,5,8,57,2,281,381,17,8497,0,0,0,18377,0,2727,2542,8790,8830,0,874,Radiant,2352,189,1,2,30,17,726228,1883502,Vici Gaming,Virtus.pro
6220981844,124801257,94,141,116,156,154,160,36,0,0,5,0,13,644,7,859,895,28,37290,0,1,0,25739,15103,0,6715,35265,11429,7576,0,480412663,13,534,204,176,48,1,38,41,0,13,1,11,523,6,769,853,29,34727,1,1,0,45950,1130,0,3352,32345,20787,768,0,56351509,7,1,36,116,178,63,43,0,0,4,9,18,164,9,379,486,22,15959,0,0,0,16489,1209,0,2779,13930,7040,572,0,317880638,119,29,34,1,267,232,0,0,0,7,6,17,30,3,350,593,24,13790,0,1,0,29029,53,228,3975,12540,14475,19,102,187758589,75,229,102,43,0,29,0,0,0,1,4,18,52,4,280,366,19,8834,0,0,0,12342,110,1464,2909,10445,8276,77,941,134276083,97,1,36,231,162,164,209,0,0,2,6,8,260,18,365,486,22,13100,0,0,0,8600,1059,2966,345,13285,4739,603,916,138543123,128,34,229,226,162,218,209,188,0,9,3,5,113,6,295,408,20,10552,0,0,0,10306,463,752,927,11765,6960,224,527,107803494,49,41,210,108,63,1,86,0,0,4,4,7,368,17,503,610,24,18149,0,0,0,10821,930,0,1499,18130,7999,486,0,143693439,51,102,0,34,37,43,0,38,0,0,10,16,52,16,252,313,17,8344,0,1,0,11666,0,0,1919,9955,6742,0,0,277141004,6,63,147,116,263,596,0,0,0,3,8,7,436,29,589,621,26,22780,0,0,0,18245,156,0,2105,21785,8277,52,0,Radiant,2757,257,1,2,30,20,1883502,726228,Virtus.pro,Vici Gaming
