,Team_name,Total_matches,Total_kills,Kill_avg,Total_deaths,Total_deaths_avg,KDA,Wins,Winrate,Avg_time,Unique_heros_played
0,MVP Phoenix,21,487,23.1905,542,25.8095,0.8985,8,0.381,2422.904761904762,34
1,OG,19,517,27.2105,444,23.3684,1.1644,12,0.6316,2593.4736842105262,44
2,the wings gaming,25,610,24.4,470,18.8,1.2979,17,0.68,2093.48,58
3,123,33,750,22.7273,678,20.5455,1.1062,23,0.697,2416.3030303030305,49
4,Alliance,18,377,20.9444,365,20.2778,1.0329,8,0.4444,2409.777777777778,39
5,Evil Geniuses,23,630,27.3913,504,21.913,1.25,14,0.6087,2439.086956521739,52
6,Newbee,19,356,18.7368,352,18.5263,1.0114,9,0.4737,2153.7368421052633,43
7,EHOME,20,498,24.9,375,18.75,1.328,14,0.7,2397.4,30
8,TNC Predator,20,461,23.05,578,28.9,0.7976,11,0.55,2540.0,34
9,Team Secret,15,281,18.7333,339,22.6,0.8289,5,0.3333,2617.4,37
10,Escape Gaming,15,192,12.8,341,22.7333,0.563,2,0.1333,2085.3333333333335,42
11,Team Liquid,20,455,22.75,451,22.55,1.0089,8,0.4,2530.15,40
12,PSG.LGD,17,321,18.8824,352,20.7059,0.9119,6,0.3529,2730.823529411765,45
13,Fnatic,23,495,21.5217,556,24.1739,0.8903,12,0.5217,2414.304347826087,51
14,Natus Vincere,15,328,21.8667,356,23.7333,0.9213,6,0.4,2027.0666666666666,34
