hero,hero_pick,hero_ban,hero_contested,hero_Winrate,hero_kill_avg,hero_xpm_avg,hero_lasthit_avg
antimage,3,13,16,0.3333,2.0,633.6667,297.6667
axe,2,0,2,0.0,2.5,375.5,156.5
bane,32,16,48,0.7812,1.3125,393.8125,25.75
bloodseeker,8,24,32,0.625,4.0,622.25,294.5
crystal_maiden,7,2,9,0.4286,3.4286,305.0,22.1429
drow_ranger,4,3,7,0.75,8.5,673.25,419.0
earthshaker,61,48,109,0.5082,3.8197,502.4754,154.0656
juggernaut,8,19,27,0.5,5.75,638.125,375.375
mirana,16,6,22,0.5,3.625,414.0625,76.5
nevermore,9,8,17,0.4444,5.5556,616.5556,336.6667
morphling,30,86,116,0.6,8.1667,687.1667,372.2333
phantom_lancer,4,16,20,0.5,2.75,619.0,297.75
puck,19,54,73,0.4737,5.7368,655.2105,317.6842
pudge,1,0,1,0.0,6.0,388.0,82.0
razor,12,24,36,0.5833,7.5833,672.8333,382.5833
sand_king,18,15,33,0.3333,4.4444,525.5556,215.5
storm_spirit,47,82,129,0.4681,8.2979,634.9149,303.0851
sven,21,52,73,0.381,7.381,709.1905,447.8095
tiny,55,132,187,0.5273,6.9091,662.6364,353.6
vengefulspirit,9,9,18,0.3333,2.5556,469.2222,126.8889
windrunner,8,1,9,0.625,6.125,569.75,193.75
zuus,0,0,0,0.0,0.0,0.0,0.0
kunkka,24,35,59,0.5417,5.5417,673.4167,366.2917
lina,40,73,113,0.575,9.4,712.175,406.075
lich,2,0,2,0.5,2.5,390.0,34.0
lion,48,20,68,0.5208,2.9375,389.5,45.8542
shadow_shaman,7,1,8,0.4286,1.4286,372.4286,59.0
slardar,8,14,22,0.5,3.75,509.5,192.25
tidehunter,63,79,142,0.5238,2.5079,521.2857,198.3492
witch_doctor,5,0,5,0.4,1.6,323.8,40.0
riki,1,1,2,1.0,11.0,674.0,269.0
enigma,1,1,2,0.0,1.0,498.0,213.0
tinker,10,29,39,0.8,9.9,688.4,298.0
sniper,5,4,9,0.4,10.8,615.2,486.8
necrolyte,9,19,28,0.6667,8.3333,591.2222,264.8889
warlock,1,0,1,0.0,1.0,230.0,29.0
beastmaster,11,44,55,0.4545,2.9091,497.5455,220.5455
queenofpain,16,35,51,0.375,7.5,633.9375,338.125
venomancer,8,22,30,0.625,2.25,472.0,216.0
faceless_void,15,67,82,0.6,6.4667,670.7333,362.2667
skeleton_king,11,7,18,0.5455,5.7273,638.0,393.9091
death_prophet,6,8,14,0.3333,7.5,589.0,308.8333
phantom_assassin,5,5,10,0.4,8.0,656.0,361.6
pugna,5,1,6,0.6,1.8,485.0,128.2
templar_assassin,16,37,53,0.625,8.1875,734.25,410.6875
viper,3,18,21,0.3333,6.3333,495.3333,310.6667
luna,23,34,57,0.5652,7.913,688.913,451.1304
dragon_knight,20,9,29,0.35,3.15,574.5,276.7
dazzle,1,0,1,0.0,2.0,362.0,133.0
rattletrap,17,8,25,0.3529,2.0588,337.4706,49.7059
leshrac,23,32,55,0.3478,5.6087,613.0435,328.4348
furion,23,13,36,0.6087,3.6957,519.7391,295.6957
life_stealer,11,26,37,0.4545,7.9091,656.0909,353.3636
dark_seer,9,16,25,0.2222,3.4444,490.5556,262.5556
clinkz,12,8,20,0.4167,6.4167,740.5,350.6667
omniknight,1,0,1,0.0,1.0,497.0,46.0
enchantress,14,4,18,0.6429,2.5714,417.9286,110.0714
huskar,0,1,1,0.0,0.0,0.0,0.0
night_stalker,20,39,59,0.4,4.7,474.75,159.85
broodmother,0,0,0,0.0,0.0,0.0,0.0
bounty_hunter,5,4,9,0.4,3.2,477.8,26.4
weaver,52,76,128,0.4808,4.5,494.6923,160.1154
jakiro,6,0,6,0.1667,2.1667,360.8333,49.0
batrider,6,41,47,0.1667,3.1667,570.5,239.6667
chen,2,3,5,1.0,3.5,402.5,90.0
spectre,25,41,66,0.64,9.72,691.56,339.8
doom_bringer,31,47,78,0.6452,5.6129,614.129,256.8387
ancient_apparition,12,28,40,0.5833,2.9167,400.4167,58.4167
ursa,21,53,74,0.4286,9.7143,625.0,328.2381
spirit_breaker,0,0,0,0.0,0.0,0.0,0.0
gyrocopter,19,22,41,0.2105,5.9474,621.2632,495.4737
alchemist,1,1,2,0.0,7.0,766.0,598.0
invoker,29,113,142,0.3793,5.2069,550.5172,266.8276
silencer,26,26,52,0.5,2.6923,353.0385,47.0
obsidian_destroyer,0,0,0,0.0,0.0,0.0,0.0
lycan,30,47,77,0.4333,3.2333,504.4,287.9333
brewmaster,3,2,5,0.0,2.0,517.6667,138.3333
shadow_demon,10,16,26,0.3,2.3,339.4,60.8
lone_druid,0,0,0,0.0,0.0,0.0,0.0
chaos_knight,4,1,5,0.5,8.5,672.0,358.0
meepo,0,0,0,0.0,0.0,0.0,0.0
treant,13,11,24,0.3846,1.1538,372.7692,39.6154
ogre_magi,22,5,27,0.5455,1.8636,368.8182,32.8636
undying,12,7,19,0.5833,2.5,379.0833,51.5
rubick,18,16,34,0.5556,2.5556,471.6667,91.2778
disruptor,39,14,53,0.5641,2.359,373.8205,51.0513
nyx_assassin,10,7,17,0.5,1.8,444.7,28.7
naga_siren,5,11,16,0.2,3.6,544.2,525.2
keeper_of_the_light,1,0,1,0.0,1.0,388.0,115.0
wisp,60,115,175,0.3833,1.4167,425.1333,39.2
visage,2,1,3,1.0,11.0,654.0,149.5
slark,8,37,45,0.5,8.125,667.875,272.625
medusa,27,59,86,0.4815,4.4444,688.5556,433.1481
troll_warlord,15,27,42,0.4,6.4667,642.2667,376.1333
centaur,5,1,6,0.4,3.0,515.8,248.0
magnataur,44,31,75,0.6591,2.9318,539.2727,200.8182
shredder,11,22,33,0.4545,8.7273,645.8182,308.0909
bristleback,6,5,11,0.3333,5.1667,661.3333,379.0
tusk,8,4,12,0.5,2.625,416.125,70.75
skywrath_mage,10,4,14,0.3,4.0,351.1,36.4
abaddon,8,8,16,0.5,1.25,346.875,36.5
elder_titan,73,48,121,0.6027,2.3562,392.0274,47.1507
legion_commander,29,26,55,0.5172,2.931,459.8966,146.9655
ember_spirit,36,38,74,0.6944,8.8056,702.8333,285.2778
earth_spirit,10,2,12,0.5,2.4,448.8,36.2
terrorblade,23,43,66,0.5217,7.087,609.913,518.4783
phoenix,25,15,40,0.44,3.16,433.2,79.0
oracle,5,5,10,0.4,1.8,357.8,29.8
techies,0,0,0,0.0,0.0,0.0,0.0
winter_wyvern,18,16,34,0.7222,1.8333,415.3333,63.3333
arc_warden,1,2,3,1.0,12.0,834.0,300.0
abyssal_underlord,5,1,6,0.6,2.2,549.8,230.4
monkey_king,48,140,188,0.5833,5.4583,531.9375,161.7292
pangolier,14,11,25,0.3571,3.2143,529.9286,160.3571
dark_willow,10,4,14,0.6,3.8,453.4,57.7
grimstroke,3,7,10,0.3333,1.3333,440.3333,154.6667
mars,41,47,88,0.3171,4.0976,506.0,214.0732
void_spirit,43,30,73,0.4884,7.4186,614.6744,252.0698
snapfire,61,42,103,0.459,4.5902,423.541,76.3115
hoodwink,8,3,11,0.375,2.75,408.625,88.125
dawnbreaker,13,10,23,0.4615,6.0,598.4615,244.5385
marci,0,0,0,0.0,0.0,0.0,0.0
